"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Phase1_TankRep","Phase2_treatment","Phase2_temp","Phase2_DO","Phase2_TankRep"
"77","H3_Nu_B18","hypoxic","ambient","hypoxic",3,NA,NA,NA,NA
"78","H3_W3_B30","hypoxic","ambient","hypoxic",3,"warm","warm","normoxic",3
"79","H3_W6_B66","hypoxic","ambient","hypoxic",3,"warm","warm","normoxic",6
"80","H4_H2_B19","hypoxic","ambient","hypoxic",4,"hypoxic","ambient","hypoxic",2
"81","H4_Nu_B28","hypoxic","ambient","hypoxic",4,NA,NA,NA,NA
"82","H4_W1_B07","hypoxic","ambient","hypoxic",4,"warm","warm","normoxic",1
"83","H5_B1_B09","hypoxic","ambient","hypoxic",5,"both","warm","hypoxic",1
"84","H5_B3_B34","hypoxic","ambient","hypoxic",5,"both","warm","hypoxic",3
"85","H5_C2_B22","hypoxic","ambient","hypoxic",5,"control","ambient","normoxic",2
"86","H5_C4_B46","hypoxic","ambient","hypoxic",5,"control","ambient","normoxic",4
"87","H5_Nu_B35","hypoxic","ambient","hypoxic",5,NA,NA,NA,NA
"88","H6_C3_B36","hypoxic","ambient","hypoxic",6,"control","ambient","normoxic",3
"89","H6_H3_B35","hypoxic","ambient","hypoxic",6,"hypoxic","ambient","hypoxic",3
"90","H6_Nu_B45","hypoxic","ambient","hypoxic",6,NA,NA,NA,NA
"91","W1_C1_G02","warm","warm","normoxic",1,"control","ambient","normoxic",1
"92","W1_C6_G61","warm","warm","normoxic",1,"control","ambient","normoxic",6
"93","W1_H5_G49","warm","warm","normoxic",1,"hypoxic","ambient","hypoxic",5
"94","W1_Nu_G02","warm","warm","normoxic",1,NA,NA,NA,NA
"95","W1_W1_G01","warm","warm","normoxic",1,"warm","warm","normoxic",1
"96","W1_W6_G62","warm","warm","normoxic",1,"warm","warm","normoxic",6
"97","W2_B2_G04","warm","warm","normoxic",2,"both","warm","hypoxic",2
"98","W2_B6_G64","warm","warm","normoxic",2,"both","warm","hypoxic",6
"99","W2_C2_G15","warm","warm","normoxic",2,"control","ambient","normoxic",2
"100","W2_Nu_G15","warm","warm","normoxic",2,NA,NA,NA,NA
"101","W3_B5_G54","warm","warm","normoxic",3,"both","warm","hypoxic",5
"102","W3_C3_G29","warm","warm","normoxic",3,"control","ambient","normoxic",3
"103","W3_H2_G18","warm","warm","normoxic",3,"hypoxic","ambient","hypoxic",2
"104","W3_H3_G30","warm","warm","normoxic",3,"hypoxic","ambient","hypoxic",3
"105","W3_Nu_G21","warm","warm","normoxic",3,NA,NA,NA,NA
"106","W4_C5_G55","warm","warm","normoxic",4,"control","ambient","normoxic",5
"107","W4_H1_G08","warm","warm","normoxic",4,"hypoxic","ambient","hypoxic",1
"108","W4_Nu_G27","warm","warm","normoxic",4,NA,NA,NA,NA
"109","W4_W5_G56","warm","warm","normoxic",4,"warm","warm","normoxic",5
"110","W5_B2_G21","warm","warm","normoxic",5,"both","warm","hypoxic",2
"111","W5_C4_G45","warm","warm","normoxic",5,"control","ambient","normoxic",4
"112","W5_H4_G46","warm","warm","normoxic",5,"hypoxic","ambient","hypoxic",4
"113","W5_W2_G22","warm","warm","normoxic",5,"warm","warm","normoxic",2
"114","W6_B3_G35","warm","warm","normoxic",6,"both","warm","hypoxic",3
"115","W6_B4_G48","warm","warm","normoxic",6,"both","warm","hypoxic",4
"116","W6_H6_G71","warm","warm","normoxic",6,"hypoxic","ambient","hypoxic",6
"117","W6_Nu_G41","warm","warm","normoxic",6,NA,NA,NA,NA
"118","W6_Nu_G45","warm","warm","normoxic",6,NA,NA,NA,NA
"119","W6_W3_G36","warm","warm","normoxic",6,"warm","warm","normoxic",3
"120","W6_W4_G48","warm","warm","normoxic",6,"warm","warm","normoxic",4
