Sample,Assigned,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity
counts_H3_H4_B41,40349426,12049083,0,0,0,0,0,0,9718478,0,0,6650328,0,1216802
counts_H3_H6_B66,43396062,14137366,0,0,0,0,0,0,8708170,0,0,7608943,0,1348310
counts_H3_Nu_B18,49530494,14225003,0,0,0,0,0,0,6635697,0,0,11701407,0,1365678
counts_H3_W3_B30,40059014,14090392,0,0,0,0,0,0,7361465,0,0,7336842,0,1371977
counts_H3_W6_B66,37101146,11343678,0,0,0,0,0,0,6565235,0,0,8221791,0,1162195
counts_H4_H2_B19,50307099,14944591,0,0,0,0,0,0,9750479,0,0,9553421,0,1475140
counts_H4_Nu_B28,56788774,18916164,0,0,0,0,0,0,8572499,0,0,9695056,0,1782513
counts_H4_W1_B07,38771383,13610120,0,0,0,0,0,0,9540235,0,0,7157298,0,1234603
counts_H5_B1_B09,43964895,13513310,0,0,0,0,0,0,8755645,0,0,8468384,0,1367321
counts_H5_B3_B34,43907794,14300254,0,0,0,0,0,0,10230036,0,0,8357883,0,1352182
counts_H5_C2_B22,37896394,11060160,0,0,0,0,0,0,11766841,0,0,8316806,0,1190535
counts_H5_C4_B46,39931760,12123881,0,0,0,0,0,0,6973128,0,0,7122649,0,1198848
counts_H5_Nu_B35,49522560,16856185,0,0,0,0,0,0,6441281,0,0,8712853,0,1629278
counts_H6_C3_B36,41286184,12360450,0,0,0,0,0,0,11479026,0,0,10727246,0,1190568
counts_H6_H3_B35,62369014,18353710,0,0,0,0,0,0,12565862,0,0,11570724,0,1884398
counts_H6_Nu_B45,52163727,14990767,0,0,0,0,0,0,8258985,0,0,9020527,0,1427896
counts_W1_C1_G02,43980259,13749094,0,0,0,0,0,0,10815285,0,0,7917819,0,1236075
counts_W1_C6_G61,70799636,20168513,0,0,0,0,0,0,10902902,0,0,13129248,0,2136085
counts_W1_H5_G49,71018052,20540962,0,0,0,0,0,0,9606735,0,0,12589732,0,2074711
counts_W1_Nu_G02,71155486,23285267,0,0,0,0,0,0,10680313,0,0,9022408,0,2199754
counts_W1_W1_G01,46390184,15481066,0,0,0,0,0,0,8192738,0,0,7814248,0,1452467
counts_W1_W6_G62,63291208,20254724,0,0,0,0,0,0,8667402,0,0,10629638,0,1984237
counts_W2_B2_G04,39665835,9433927,0,0,0,0,0,0,8353282,0,0,9869898,0,1030604
counts_W2_B6_G64,40710891,12132813,0,0,0,0,0,0,9557176,0,0,7611208,0,1253582
counts_W2_C2_G15,45138878,12519148,0,0,0,0,0,0,14536797,0,0,8961213,0,1358611
counts_W2_Nu_G15,50496755,14829884,0,0,0,0,0,0,7496779,0,0,8844455,0,1510629
counts_W3_B5_G54,51830347,15205521,0,0,0,0,0,0,10913730,0,0,9681713,0,1578984
counts_W3_C3_G29,39750706,11411223,0,0,0,0,0,0,12414175,0,0,8893102,0,1132554
counts_W3_H2_G18,41456803,13346080,0,0,0,0,0,0,8306502,0,0,8267362,0,1257649
counts_W3_H3_G30,63191114,18101771,0,0,0,0,0,0,10873171,0,0,10901992,0,2016245
counts_W3_Nu_G21,68619403,19219563,0,0,0,0,0,0,13644432,0,0,11816465,0,1831725
counts_W4_C5_G55,44634263,12954345,0,0,0,0,0,0,16185355,0,0,8161711,0,1377548
counts_W4_H1_G08,44239923,14345595,0,0,0,0,0,0,9190393,0,0,8551543,0,1362320
counts_W4_Nu_G27,61028364,18578385,0,0,0,0,0,0,8033784,0,0,10215008,0,1822069
counts_W4_W5_G56,44130911,11893831,0,0,0,0,0,0,9971775,0,0,10992841,0,1183495
counts_W5_B2_G21,49129869,17659643,0,0,0,0,0,0,14196155,0,0,9801685,0,1565386
counts_W5_C4_G45,36960523,10456641,0,0,0,0,0,0,14371122,0,0,8541653,0,1083678
counts_W5_H4_G46,42535648,13976977,0,0,0,0,0,0,10031329,0,0,8220361,0,1343163
counts_W5_W2_G22,44245432,15029942,0,0,0,0,0,0,7761516,0,0,7736776,0,1407306
counts_W6_B3_G35,40684572,13293077,0,0,0,0,0,0,7903094,0,0,8565210,0,1232012
counts_W6_B4_G48,42992842,12607366,0,0,0,0,0,0,10666623,0,0,9172648,0,1222424
counts_W6_H6_G71,40873706,12476295,0,0,0,0,0,0,7378426,0,0,9111402,0,1261739
counts_W6_Nu_G41,57070533,15742571,0,0,0,0,0,0,8092483,0,0,10768745,0,1635117
counts_W6_Nu_G45,43943755,14080218,0,0,0,0,0,0,5808306,0,0,7096845,0,1310142
counts_W6_W3_G36,38255866,11849432,0,0,0,0,0,0,20331170,0,0,9099159,0,1275840
counts_W6_W4_G48,43336160,12335320,0,0,0,0,0,0,8081493,0,0,8686568,0,1280306
