"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction"
"LOC111112448",24.3273166864946,3.82693452971143,2.21846923638826,2.8248734442188e-05,0.0167693940373745,"Up"
"LOC111113921",62.1192607244602,-1.04414056757163,0.995346218454446,0.000136128039518841,0.0487373759961,"Down"
"LOC111110198",262.100366805319,1.00217236498089,0.28719671938363,1.36450135050752e-06,0.00132840408750773,"Up"
"LOC111129171",35.6590308512593,22.7594051415926,3.97786370175188,3.7794521699734e-09,5.78202189832074e-06,"Up"
"LOC111103459",280.039689874919,1.26617467517831,0.476393804128626,3.81268420518008e-06,0.00314077193486719,"Up"
"LOC111135260",1479.39168264693,4.16955439524782,2.1430858707287,1.96303111503229e-05,0.0128706735984984,"Up"
"LOC111137387",7055.50433514986,3.11955538381801,2.0070000613285,3.92777641915396e-05,0.0210312788363599,"Up"
"LOC111100804",820.905851081845,-3.87026608419796,2.71232691736922,4.53049973776749e-05,0.0226209517069778,"Down"
"LOC111134492",1007.5444456,-0.739794467724727,0.461960010033359,0.000118808899856063,0.0438732589158131,"Down"
"LOC111104602",189.711759668133,3.61536685134424,3.28219935081306,8.37848510026217e-05,0.0345096911302721,"Up"
"LOC111101935",279.798799289529,3.21460508842525,2.93850537128809,9.03880438407628e-05,0.0367581858793947,"Up"
"LOC111122366",1172.47846038676,-0.616273712150471,0.315334314482126,8.26212958648598e-05,0.0344723944448097,"Down"
"LOC111119492",51.9020740739304,-1.9083228562291,0.963952180041214,1.22620898794745e-05,0.00937962289423514,"Down"
"LOC111119724",15.1320911867311,24.4491351436509,3.97158390533116,2.45419184900579e-10,6.06506319484684e-07,"Up"
"LOC111119726",13.8432650309648,24.3329975323613,3.97180925648021,2.98245635812897e-10,6.84409824411496e-07,"Up"
"LOC111122209",596.97177356863,-0.96129409956727,0.597316378404894,5.56737743249943e-05,0.0241706938883661,"Down"
"LOC111120398",25.7356481070151,3.19955024608275,0.992359884807718,2.5905927322019e-06,0.00236943017219951,"Up"
"LOC111127619",39.3500887732458,20.6372414581456,4.05632380503255,8.74372019901701e-08,0.000108042114936084,"Up"
