"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction"
"LOC111119645",653.221023566992,-5.02053783285452,2.44175669377112,5.70846029570195e-05,0.0119673258337451,"Down"
"LOC111111234",734.079086037086,-1.79888433363476,1.21652854321253,0.000167537884561812,0.025869520111484,"Down"
"LOC111104630",30.3945050372986,1.70106516095085,1.63879462609678,0.000464711674352869,0.0491074745315837,"Up"
"LOC111100092",5501.68048979701,0.422501693577472,0.538961730890038,0.000467828737570132,0.0491379299869581,"Down"
"LOC111129171",35.6590308512593,-20.5754018958683,4.24110477546047,1.34993656729386e-07,8.33720823960687e-05,"Down"
"LOC111121183",21.4604169355867,21.1312647604026,3.10687319431399,2.82125948538243e-12,5.80803286057397e-09,"Up"
"LOC111111721",37.9581052610109,-4.71027373142215,1.1561903990314,3.02210461226328e-06,0.00127839164968069,"Down"
"LOC111111747",124.872184652791,-7.68702588782906,3.16593110387444,1.9010385712278e-05,0.00553371089134306,"Down"
"LOC111106320",28.3174332287058,-4.46009030250523,1.32769902947556,1.12500640326153e-05,0.00377610844920827,"Down"
"LOC111130465",271.57997252461,3.45830241781566,1.49859545149121,5.35901097311108e-05,0.0114921013090049,"Up"
"LOC111130574",126.521497562413,-1.02451052145371,1.07559948292013,0.000445879454212888,0.0476592908951916,"Down"
"LOC111136934",284.783817350424,-4.84741126624413,1.82069283260142,2.72441182004524e-05,0.00712964720364382,"Down"
"LOC111106632",195.012512612033,-4.15489557698516,1.37519007358156,1.91744515988895e-05,0.00553371089134306,"Down"
"LOC111129668",39.2184709889838,-2.90129818809271,2.52756912147551,0.000345126209384289,0.040677470785446,"Down"
"LOC111120021",13.2616055762802,19.5350088725822,3.35118919136534,1.40195990404133e-09,1.74291252854214e-06,"Up"
"LOC111112115",47.8371419147331,-3.22620656887904,1.33788241428237,4.66725072223003e-05,0.0108364437821401,"Down"
"LOC111135260",1479.39168264693,-4.99189335663464,1.66492400388665,1.67850915246753e-05,0.00503226821632985,"Down"
"LOC111134528",1293.89047514596,-6.37981755640149,1.63456760404683,2.29096421380976e-06,0.00102528949162964,"Down"
"LOC111109942",90.3977105746184,-4.34045385548575,0.959306671392133,1.08341279756536e-06,0.000531044241092353,"Down"
"LOC111113657",1733.32600461783,-5.15094568222733,1.61275556443346,1.22252251860333e-05,0.00397384161836536,"Down"
"LOC111122596",922.516709596393,-1.19255302562699,0.694579503490267,7.32613864840291e-05,0.0142888998525371,"Down"
"LOC111100839",568.590758760279,-4.05158246404907,2.89462383628002,0.00017464924964684,0.026437102103404,"Down"
"LOC111120117",42.5081410069815,2.29725226680762,1.9891506698995,0.000368134574199751,0.0424178942212251,"Up"
"LOC111134586",144.775287339537,3.09668848630351,0.942822033575759,1.39513070869977e-05,0.00435168043279281,"Up"
"LOC111104602",189.711759668133,-10.2794447441509,2.20118615861455,4.83720696459292e-08,3.19144727942358e-05,"Down"
"LOC111115950",226.12757779625,-3.32337388034993,2.19768327905867,0.000174357936100463,0.026437102103404,"Down"
"LOC111108404",153.710112812751,2.107003778564,1.34643824994711,0.000154700346728804,0.0243292454207851,"Up"
"LOC111101969",159.782504276043,-4.15147907269135,1.08479512491756,5.55148586019664e-06,0.00209060833369357,"Down"
"LOC111118398",539.168156224309,1.04165763564736,0.966291799900074,0.000300047957469344,0.0373608101881184,"Up"
"LOC111120933",298.890228935124,-4.62547420533526,0.92593804745705,1.72051878758735e-07,0.00010217234646288,"Down"
"LOC111120913",2359.28781795868,1.03563034727796,0.650131366361888,8.169169867789e-05,0.0151429441826139,"Up"
"LOC111119004",10.2369926977596,-20.6120255779096,3.01035289541499,2.15702819958308e-12,4.91395070272388e-09,"Down"
"LOC111121348",312.573879532104,-4.96019530580367,2.26746506464081,4.8976423466564e-05,0.011039357347792,"Down"
"LOC111121160",29.0560498174849,-2.47713818350734,2.24873684681315,0.000406676922964993,0.0453364020980469,"Down"
"LOC111120756",1343.17422004503,1.57996601389141,1.31613842076079,0.000290997734733848,0.0365284961324441,"Up"
"LOC111119664",11475.758646063,-0.307981848550938,0.130746879447975,8.18935129046801e-05,0.0151429441826139,"Down"
"LOC111120799",144.47072580574,-4.03233017068947,1.01070039093608,4.17667088356683e-06,0.00169383144021438,"Down"
"LOC111118679",93.7734532334846,-1.8956873563911,1.69492417230185,0.000390254186262779,0.0441430376256213,"Down"
"LOC111122008",202.334553786291,1.58825297407853,1.10479380927792,0.000167548705385259,0.025869520111484,"Up"
"LOC111117990",50.5733127749158,-1.69689796402821,1.36129886444038,0.000270982035990804,0.0349562649171519,"Down"
"LOC111119837",1090.38369202137,-5.4048956831421,1.77626683621368,1.41444203823609e-05,0.00436779701407306,"Down"
"LOC111121445",57.193186350195,-22.1577366661751,4.13755513796015,1.50113072342321e-08,1.21986622998181e-05,"Down"
"LOC111118035",191.2165756569,-3.1365821436632,1.58076518356969,8.55905810624028e-05,0.0156392730367278,"Down"
"LOC111118702",427.837586857467,0.846703482402748,0.276844459727522,3.53482095205864e-06,0.00147507122972393,"Up"
"LOC111119078",26.3975342155364,-3.02673318645581,2.44470851735838,0.000287798829170537,0.0364230649376483,"Down"
"LOC111120520",400.674513896652,-2.07812644346341,1.59790461040913,0.000263092495921838,0.0342797311142041,"Down"
"LOC111119797",28.8471908616727,6.7927265843493,3.1979964325528,3.41995346712108e-05,0.00851678734392733,"Up"
"LOC111120444",29.2546603004675,2.86104777459227,2.02882869663842,0.000217939069692353,0.0303151282527021,"Up"
"LOC111118806",273.290377475315,3.16852056311921,1.40218325303588,5.75908883572911e-05,0.0119673258337451,"Up"
"LOC111122942",201.434363446015,1.08533524995818,1.12055839268269,0.000441105802554234,0.0475962614513208,"Up"
"LOC111123238",38.8200284753127,-6.36590815960828,2.67383067612662,2.66131975532757e-05,0.00708461672797546,"Down"
"LOC111122910",11.2709309807136,-3.2450923358018,3.25105255257855,0.00039342573170117,0.0441781330724805,"Down"
"LOC111124157",12.3254671625841,-3.49189860065409,2.39891621201144,0.000184807276720836,0.0275693174161324,"Down"
"LOC111125216",33.3538019036447,-1.95939116692148,1.53551350864007,0.000271680815418279,0.0349562649171519,"Down"
"LOC111125215",381.156364736188,-1.88522373504239,1.7989512243092,0.000465948511585299,0.0491074745315837,"Down"
"LOC111127169",27.1923965755131,2.79410282327758,2.14262722111016,0.000265363027928852,0.0344302953884157,"Up"
"LOC111123543",399.508204213818,-2.25985287156925,2.06396141628566,0.000420520329149121,0.0459421566501646,"Down"
