"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","DEG_group"
"LOC111113275",13.5960521600357,-17.7058625100905,5.12049769981276,1.71758864188105e-06,0.000720533163449253,"bb"
"LOC111115655",13.7060108133962,-3.2857551044729,2.36524654152958,0.000480219600371073,0.0395956067368461,"bb"
"LOC111111518",499.70343169386,20.0390156437774,4.74455666622602,4.05760192651238e-07,0.000242399607919311,"bc"
"LOC111112428",55.4729594300867,15.7057205857889,4.31377449627611,9.52975804961864e-07,0.000464201845180039,"bc"
"LOC111113494",17.5531390463195,15.1581413974889,5.22457169877385,4.15465273248027e-06,0.00144554521775594,"bc"
"LOC111114752",24.6003753773016,10.8771341034406,6.4601974869148,3.68552041876223e-05,0.00752349199207605,"bc"
"LOC111115090",120.64164955823,-5.1956709834504,2.36490551208589,8.70757168804236e-05,0.0127050292528478,"bb"
"LOC111111573",162.73884785474,-23.6109019318143,4.16786804844303,2.2409875152659e-09,2.36513822361163e-06,"bb"
"LOC111113642",45.021739814449,18.8858962036216,3.35144942553285,1.67743118184645e-09,1.89681521712937e-06,"bc"
"LOC111113654",7.08810672827933,2.57018305137705,1.90749086331994,0.00057084634411687,0.0437668076013708,"bc"
"LOC111111626",58.5868433495892,4.91730826607161,1.18666168110477,3.76879597077971e-06,0.00137158181640031,"bc"
"LOC111115545",58.3783320044006,4.83158814693675,1.46326077045273,2.08662350070249e-05,0.00478744009269872,"bc"
"LOC111115518",4.61892483803276,-11.5822307770606,7.305999325977,4.14591670497488e-05,0.00803236920690308,"bb"
"LOC111111770",7.08210513424354,-2.94761450512194,2.0807376732612,0.000488090331205923,0.0398966379931494,"bb"
"LOC111111776",3.77884483640521,17.3249698465637,3.09485812933738,1.14925842179786e-09,1.39953154426784e-06,"bc"
"LOC111115761",9.17912802123842,-16.4599745431871,2.70967706906474,5.7374500330027e-11,9.08295714724658e-08,"bb"
"LOC111113706",24.7669747910125,-3.72421698534086,2.4163806051459,0.000338700784829452,0.0323699316591938,"bb"
"LOC111115430",10.6345633236428,19.140396643107,2.29559935667025,2.20860698944264e-17,1.16548190832888e-13,"bc"
"LOC111111149",5.85252453344511,-16.9220359685215,3.15258546373778,2.93245671496031e-09,2.99507885513139e-06,"bb"
"LOC111113775",23.0205480385984,15.527258830783,2.93048705461449,1.86367443234384e-09,2.03474689230589e-06,"bc"
