"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
474,"LOC111109516",59.6892992406835,-2.6173519056598,1.62103877131397,-4.16190690018859,3.15601026478124e-05,0.00630321305905612,0.0293924627344036,7.46654529813696,24.6902159132619,67.6605417988642,22.4576023233036,35.6204356377132,31.5231295815883,106.939759525831,16.4342698993979,25.0103550929154,11.8015062836653,9.03365635118783,398.726249366451,198.649965466354,18.0013937185072,38.2243688972081,20.7536471463408,12.7821126632686,101.442938760316,81.0323912329259,19.2288250779417,12.6582744796092,26.6930493007874,22.5692000630156,23.9831903871725,558.903498115762,342.936795827924,15.252132417711,31.0591092393591,16.607494076272,41.2906577803132,84.8082376027062,104.546065812411,35.0905041077328,7.41941591933075,298.871264045581,61.5800555183759,98.4062483105891,11.2331332335346,9.28540205758679,29.8610757013624,29.5060131089523,14.2194742055994,91.6175485155077,99.6030059093732,23.8604754826405,13.8778677851916,0,93.0085230205405,93.6532968440145,12.1633518572211,17.521634124366,130.2672511729,0,21.8608865395209,15.6195415323792,8.54982505201485,34.1764859806506,45.2460657502026,106.669327360403,13.9890957254489,128.238719142299,15.4110501297518,32.3041683433312,16.2389111675878,28.7122029406542,39.0155178261672,18.1699309266816,71.8772593104924,18.5370178368389,10.5838358462014,48.540281567682,21.110229241971,82.8969233786872,19.6806775385474,6.32396310822889,38.5090356276851,37.5534147699198,156.018525284258,37.3552508174841,6.06807882154145,3.51789947186858,112.74844910162,27.344817187627,14.7243084686054,15.9379652437302,28.1447958738879,222.948462351222,68.2275165090347,4.93706781770076,38.8979582637104,21.9528835743801,27.2791522618697,145.259100473701,15.4205482184918,3.20653254973403,200.535892113181,"CW vs. BW","CW"
570,"LOC111105495",3.6584184986205,33.3486572983496,5.58039504706866,6.32245464484163,2.57440600060366e-10,1.42638701504414e-07,4.33749443678337e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00069685925362,0,0,0,0,44.5678151781093,0,5.42497477697539,0,0,0,0,0,0,0,0,1.00708921415398,0,0,4.52780698164295,0,0,0,0,0,0,0,0,0,0,126.679551205125,0,0,0,0,0,0,8.08690805739967,0,0,0,0,0,10.1263662164891,0,0,0,0,0,3.23041683433312,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0,0,0,0,7.03579894373716,0,0,0,0,11.802656334211,0,0,4.93706781770076,0,0,0,0,110.146772989227,0,0,"CW vs. BW","BW"
1028,"LOC111127657",148.433905535733,-6.69636220273122,3.31685276708848,-4.11422014203141,3.88490555976059e-05,0.00758262930618727,0.0155635024773645,8.39986346040408,0,36.6494601410514,6.9100314840934,0,0,106.939759525831,167.424124600116,2.17481348634047,0,0,346.902413241899,35.547888557137,0,30.3158787805443,0,0,8.95084753767491,8.10323912329259,1.74807500708561,0,2.76134992766766,573.398739100991,63.6075918964139,0.947294064602986,1334.13476054347,0,0,0,2.01417842830796,61.9752505558238,127.546200291142,14.7153726903396,0,316.5821537668,118.193977527205,84.4726202312136,12.7308843313392,0,42.6586795733748,55.6399104340243,1.01567672897139,81.0867958125758,21.2744284466622,12.3150841200725,3460.70197717041,1648.64622052656,0,5.78106770642065,505.792714729444,0,3.1264140281496,90.6358885001173,19.5597405879924,36.7518624291276,3.79992224533993,0,0.983610125004405,3.28213314955088,2.62295544852166,0,189.748554722569,541.63322255652,0,0.897256341895444,0,5.73787292421524,84.1720536662345,57.9281807401215,1048.85813235856,64.3686342527957,97.1070545130667,5.71702919853015,0,4.02434015978202,274.041044234224,0,9.49677979991137,75.8091854825413,77.8736782097819,0,331.480440358763,3.90640245537529,167.321687143243,265.964795004747,0,65.6997884223409,25.1792025211914,0,379.00574718487,145.437853680268,8.39358531134453,70.9138915698381,560.647074515168,79.094469560106,140.375124479227,"CW vs. BW","CW"
1333,"LOC111112764",237.416264214113,-10.2915717848199,4.46342206859079,-4.14162247131592,3.44857647482872e-05,0.00680836201513312,0.0119770026010777,5.59990897360272,1.97521727306095,356.157574191243,3.4550157420467,309.093457630479,0,59.9905968071732,63.6827958601667,0,0,0,619.770774877295,969.202726249001,0,0,0,0,14.9180792294582,29.7118767854062,0,0,0,0,0,0,69.693606894062,0,0,0,0,11.9601360721765,171.455547932354,0,0,6985.83906441356,98.3294434890196,100.147951820511,0,0,3.19940096800311,0,4.06270691588555,32.645333379089,40.6148179436279,0,0,0,168.015396424202,157.245041614642,0,0,673.221154061547,0,0,0,0,7.59477466236679,51.1477265002291,4580.21681019825,0,1270.82468395934,0,24.7665290632206,0,17.9451268379089,0,2.86893646210762,175.91013462831,0,0,53.8163991293866,0,772.751780001326,4.07186431832014,89.6852949894279,0,5.4623148756247,298.470222282929,17.578941561169,0,0,2.2549689820324,0,0,7.96898262186508,0,2654.91767968968,0,0,1.99476709044669,0,0,478.09688187407,2.20293545978455,0,1321.42598381949,"CW vs. BW","CW"
1334,"LOC111105721",392.380623127162,-7.58084874612363,3.20451168524848,-4.20760170415496,2.58095254247358e-05,0.00523442016505706,0.0111961734468525,0,0,258.425680481773,6.9100314840934,597.504081664866,0,87.3776083930567,16.4342698993979,19.5733213770643,3.93383542788843,4.0149583783057,1742.97310067881,541.582537429323,0,0,3.95307564692205,2.13035211054477,11.1885594220936,74.2796919635154,5.24422502125682,1.80832492565846,0,7.05287501969238,0,4.73647032301493,118.368506947058,0,28.8406014365477,0,0,6.52371058482356,176.682851222975,13.5834209449288,0,10912.1219294864,44.695201585918,236.000825594422,1.49775109780461,3.0951340191956,0,0,5.07838364485694,10.5307527029319,23.2084673963588,1.53938551500906,9.49538322144688,0,818.074965922604,694.884338311762,10.1361265476843,0,852.468891675457,0,9.20458380611406,0,0,12.6579577706113,174.09899212578,6172.05138773042,0,2308.29694456138,0,111.987783590215,4.99658805156547,19.7396395216998,0,7.65049723228699,608.119443903245,0,0,119.240256894523,2.1110229241971,368.748383305195,10.8583048488537,172.471721133515,0,1.36557871890617,54.2673131423507,8.7894707805845,0,1.75894973593429,11.274844910162,2.92980184153147,1.33857349714594,9.96122827733135,0,7732.11116531123,0,0,4.98691772611671,0,4.19679265567226,285.943111168702,8.81174183913819,17.1015069319148,2065.51968876577,"CW vs. BW","CW"
1337,"LOC111104524",130.910909348639,-7.14810375802885,2.06145033714349,-4.53779878852305,5.68444582278374e-06,0.00133748001989224,0.00258935366066545,0.93331816226712,3.95043454612191,77.9975690181351,17.2750787102335,116.053677400291,1.1675233178366,74.9882460089665,59.5742283853172,13.0488809180428,0,3.01121878372928,967.730817427858,682.728565523837,0,7.90849011666374,3.95307564692205,0,29.8361584589164,18.9075579543494,0,8.13746216546308,0,1.41057500393848,0,3.78917625841194,155.980929715282,3.51972286562561,24.403585830925,2.075936759534,1.00708921415398,5.43642548735296,38.6820443505921,10.1875657086966,10.2016968890798,4800.75804505809,61.5800555183759,111.469024635004,5.99100439121843,11.3488247370505,7.4652689253406,6.74423156776052,18.282181121485,7.37152689205234,11.6042336981794,6.15754206003625,3.65207046978726,18.3795565276093,212.019428821017,322.583578018272,1.01361265476843,1.34781800956661,368.916855321653,0,63.2815136670341,3.67518624291276,5.6998833680099,12.6579577706113,52.1313366252335,1728.04310323854,0.874318482840554,577.074236140346,0,11.8448617258881,0,8.97256341895444,7.00278525085052,1.91262430807175,101.195615081877,0,0,51.7059521047048,3.5183715403285,119.104774969378,7.46508458358693,102.333221205886,0,1.36557871890617,165.51530508417,27.4670961893266,0,4.39737433983573,7.89239143711341,0,1.33857349714594,18.9263337269296,0,968.264094945647,2.43669701817981,0,9.97383545223343,3.65881392906334,0,160.128142254473,0,9.61959764920208,7.3881644462751,"CW vs. BW","CW"
1385,"LOC111104064",21.4411784694808,-3.1405696374904,2.80720320902889,-3.83998706409532,0.000123040793445286,0.0211334866821623,0.0621388500373328,1.86663632453424,0.987608636530477,62.9618930628319,19.0025865812569,3.44713893268192,70.0513990701962,24.1266530637544,4.10856747484946,3.26222022951071,0.983458856972107,3.01121878372928,4.2305172346573,121.281031547879,2.25017421481341,0,0,0,5.22132773031036,41.8667354703451,6.11826252479963,5.42497477697539,1.84089995177844,2.82115000787695,18.7694533464828,60.6268201345911,23.2312022980207,0,86.5218043096432,0,0,13.0474211696471,3.13638197437233,13.5834209449288,0,354.217794424392,7.94581361527431,11.3210728144925,0,12.3805360767824,10.6646698933437,0.843028945970065,4.06270691588555,2.10615054058638,6.76913632393798,40.7937161477402,0.730414093957452,0.918977826380466,5.00045822691078,4.62485416513652,4.0544506190737,5.39127203826645,38.5591063471784,0,5.75286487882128,3.67518624291276,0,20.2527324329781,63.9346581252863,6.56426629910175,48.961835039071,526.619658117146,0,8.61444489155498,0,9.86981976084988,25.0099473244661,0,1.89150682396033,0,2.11676716924028,7.38656458638639,0.703674308065701,19.0567639951005,15.6088132202272,4.59924589689374,15.2245024574569,0.682789359453087,5.42673131423507,7.69078693301144,0,2.63842460390144,4.50993796406481,13.6724085938135,2.67714699429189,3.98449131093254,1.81579328218631,47.3900113210328,3.24892935757308,0,12.9659860879035,0,0,25.1629937828458,2.20293545978455,0,24.2753974663325,"CW vs. BW","CW"
1490,"LOC111120346",60.7418807832528,-2.55601018913992,1.91798379107159,-4.02736326786286,5.64058496294145e-05,0.0106464491564266,0.0440280095389975,35.4660901661506,16.7893468210181,110.888110170361,57.0077597437706,153.972205659792,10.5077098605294,23.4745813593287,102.714186871237,8.69925394536189,19.6691771394421,3.01121878372928,114.223965335747,189.240230260053,13.5010452888804,2.63616337222125,35.5776808222984,10.6517605527238,59.6723169178327,39.1656557625809,20.1028625814845,49.7289354556077,49.7042986980179,159.394975445048,2.08549481627587,81.4672895558568,206.868325225232,19.9450962385451,74.3200113941807,18.683430835806,3.02126764246194,44.5786889962943,48.0911902737091,4.52780698164295,0.927426989916344,1613.90482584614,23.8374408458229,60.9596228472676,5.99100439121843,89.7588865566723,13.8640708613468,10.9593762976108,69.0660175700543,44.2291613523141,24.1754868712071,11.545391362568,10.9562114093618,39.51604653436,76.0069650490439,82.0911614311732,14.190577166758,2.02172701434992,29.1798642627296,51.1826193883015,18.4091676122281,3.67518624291276,17.0996501040297,8.86057043942792,53.1149467502379,52.514130392814,1.74863696568111,150.312597027449,2.88957189932846,35.5345851776643,3.7474410386741,52.0408678299357,19.0075599665943,8.60680938632286,89.8465741381155,142.503324620699,24.3428224462632,58.0372931787502,0,57.1702919853015,21.0379656446541,81.6366146698639,26.866769042571,7.51068295398396,9.49677979991137,26.3684123417535,6.06807882154145,29.9021455108829,12.4023294011782,27.344817187627,6.69286748572972,16.9340880714633,15.4342428985837,261.722107977522,58.4807284363154,7.40560172655114,24.9345886305836,35.6734358083676,45.1155210484768,36.6007182295939,6.60880637935365,5.34422091622338,198.424987985674,"CW vs. BW","CW"
1913,"LOC111122337",84.1549350370349,-6.05225855500466,5.73569794750374,-3.64773156868109,0.00026456583043222,0.0393435731905092,0.0668129543079805,0,0.987608636530477,23.4932436801612,0,184.99645605393,0,7.82486045310955,0,0,0,0,8.4610344693146,95.1428781970432,0,0,0,0,2.23771188441873,81.0323912329259,0,0,4.6022498794461,1.41057500393848,0,0,1813.14002697409,0,18.8573163238966,4.151873519068,0,101.117514064765,157.864559376741,0,0,1861.85728194321,16.8848539324579,0,0,0,0,0,0,1.05307527029319,52.2190516418073,0,0,0,2.00018329076431,0,0,0,366.832579302886,0,0,0,0,6.32897888530566,5.90166075002643,1370.29058993749,0,23.1250149272998,3.85276253243795,0,0,0,2.00079578595729,0,0,1.15856361480243,0,49.5955050800229,0,168.65236135664,1.35728810610671,170.172098185068,0,4.09673615671852,8.1400969713526,16.4802577135959,0,0,0,0,5.35429398858378,0,0.907896641093157,436.20351329587,0,0,0.997383545223343,0,0,609.630713011673,0,4.2753767329787,384.184551206305,"CW vs. BW","CW"
1994,"LOC111114907",8.30111529381901,-19.3338956854166,6.83415612174128,-4.2958668399661,1.74012018153332e-05,0.00368991410345881,0.00630462545695309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71313565325618,132.352905680446,0,0,18.4089995177844,0,0,0,2.21249545695435,0,0,0,27.1914087821574,0,0,0,0,0,0,0,0,0,0,0,0,148.48361311134,0,20.0120116951178,0,20.2175121803702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.370284596213,0,0,7.00278525085052,0,0,0,0,0,0,0,135.050166557618,0,8.95558968085699,0,0,8.7894707805845,0,0,0,17.5788110491888,0,0,0,6.46227427104992,0,0,0,106.105603942837,0,0,0,0,0,"CW vs. BW","CW"
