"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","DEG_group"
"LOC111134671",613.020976481396,1.70518476609083,1.86025106313716,0.000100067290403105,0.0238716080550517,"bb"
"LOC111120923",146.529937020505,-5.24369211506995,4.18471597001568,7.88653031809523e-05,0.0200487771064449,"cc"
"LOC111136853",86.6892658043248,-1.96376432580926,2.65993375378891,0.000204651552724939,0.0404614550107394,"cc"
"LOC111120760",103.711699723383,2.61607586398859,0.940894394903898,3.29428393745936e-06,0.00138942019219226,"bb"
"LOC111125595",123.169520404231,17.3074508651535,9.17572845685315,2.72157092108228e-05,0.00890394326485892,"bb"
"LOC111114504",6.39852811627338,7.26818071929963,7.70092433798845,0.000207076917117249,0.0404614550107394,"bb"
"LOC111112854",55.7391220353635,22.3717755436094,3.24359535271228,1.54674716697805e-12,3.32086616750188e-09,"bb"
"LOC111099906",5.15563560191574,17.357437502372,3.29920274729437,5.35365483592539e-08,3.78343189185132e-05,"bb"
"LOC111105587",129.178849367889,-2.19577314790249,2.87557107382286,0.000197740757391965,0.0399575911642869,"cc"
"LOC111119065",7.5112489563482,18.8628540790351,3.00066515779004,1.35645645647133e-10,1.79219200741165e-07,"bb"
"LOC111118627",53.2249147901692,-1.4747705724553,2.11165610628838,0.000209657050300175,0.0404614550107394,"cc"
"LOC111118721",187.898440734406,3.40110188926494,3.14608818598,8.7937388742517e-05,0.0215773227005925,"bb"
"LOC111120415",32.3720069921919,-1.42529635334122,2.03044186524287,0.000204147801845002,0.0404614550107394,"cc"
"LOC111119972",4.75001433869289,17.3569066328403,2.25034753855659,5.98224448787681e-15,2.28335625163938e-11,"bb"
"LOC111127438",4.58651437767328,-14.0048893261505,2.50949867894362,1.37033246528371e-08,1.12080144874824e-05,"cc"
"LOC111123405",4.31576529906034,16.8068050887203,3.62220766776112,5.01475366023938e-07,0.000239259469078532,"bb"
"LOC111123832",51.1598728418215,23.5680853387905,3.44031693617295,1.85725523216761e-12,3.75296657267186e-09,"bb"
"LOC111125699",23.9999228524239,2.0573243697363,2.99726998830111,0.000271315025425123,0.0485427799656449,"bb"
"LOC111127273",5.79146742046696,16.5367038893746,4.55671073334321,3.35706439077658e-06,0.00138942019219226,"bb"
"LOC111124056",95.2480269982472,4.47090373641809,3.83297536778247,8.67597566146169e-05,0.0214415191311174,"bb"
"LOC111123476",5.49793131604731,20.6296214594597,3.52602041281727,1.66277940039219e-09,1.84257412781525e-06,"bb"
"LOC111126872",1151.75284849648,1.61488461251166,0.392009293680928,3.13165648980778e-07,0.000165505636519811,"bb"
"LOC111124260",6.04779530253042,2.22795402405978,2.78680899744845,0.0001712632251858,0.0356559655247431,"bb"
"LOC111127338",6.73916726440724,-15.6876226429545,3.30049858615036,3.88846640899536e-07,0.000193589272582331,"cc"
"LOC111123549",105.174848774569,3.42166651860937,3.43136012197343,0.000115111833556249,0.0265390718545254,"bb"
"LOC111126103",522.507346531132,1.00171939901495,0.399869199689747,9.41727749551245e-06,0.00366846263058795,"bb"
"LOC111126100",206.790931697246,-1.15941831183252,0.935223769187066,6.38713421561783e-05,0.0171510444080407,"cc"
"LOC111124365",6.37573895048345,-18.7438811569108,2.67634713662517,1.06595342019928e-12,2.44117545937905e-09,"cc"
"LOC111124681",251.749812191686,-2.91732455794991,1.59382685657862,1.51424672696225e-05,0.00541847953797991,"cc"
"LOC111124397",13.2007239576919,2.91280823798673,0.743518557098799,4.15830685292756e-07,0.000204065938588239,"bb"
"LOC111126880",5.20388894339251,-13.2131611546238,2.80525872620791,4.74851889204538e-07,0.000229748057717666,"cc"
"LOC111123611",3.32219442863094,17.5534006707735,2.41994066235986,1.93436936241152e-13,5.53745469479671e-10,"bb"
"LOC111128422",5.11605844805309,-9.39343337418616,6.00613687206494,5.77979184923169e-05,0.016142065821529,"cc"
"LOC111129018",643.447966796442,1.0716578363849,1.37903678603252,0.000164275794333242,0.034620871698991,"bb"
"LOC111131652",214.264050608629,-9.08174879088304,1.71871091951846,6.84435658611517e-08,4.61014387149468e-05,"cc"
"LOC111129380",898.020886080072,1.38500227048067,0.346051558256429,5.59965874955432e-07,0.000263506133376287,"bb"
