"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","DEG_group"
"LOC111122523",13.2452996839943,-5.65320867014345,1.1281149945214,-5.20045661266023,1.98799523803686e-07,2.96009742563175e-05,3.96864649745098e-05,"HH"
"LOC111125753",10.0208402287327,-20.2614327985053,2.08292372364599,-9.82123145612854,9.12222868090874e-23,8.18745363635673e-20,3.63075048931358e-18,"HH"
"LOC111120908",12.4261032122891,-5.01069271602515,1.27467630992468,-4.42433063569243,9.67417627964201e-06,0.000875580699640093,0.00120859397389897,"HH"
"LOC111122297",13.5759998326814,-6.17112928311427,3.22446705068003,-3.65224658791267,0.000259956080073749,0.0123885559045176,0.021651369006686,"HH"
"LOC111132545",267.953553529018,-1.22980356760639,1.02032794589572,-3.40862634665968,0.000652908424364963,0.023918508049497,0.111602142232174,"HH"
"LOC111130831",109.446627174081,3.09693998684714,1.72463406010677,3.57736583186136,0.000347074265869394,0.0152783604966022,0.0301341618605855,"BH"
"LOC111115085",359.983348345178,-2.0993208040182,1.05864318419881,-3.7984137578385,0.000145625081550726,0.00807970984906383,0.0305698019195696,"HH"
"LOC111110267",1993.22688821901,-1.88765977984111,0.807287985916751,-4.04796568385486,5.16647187597143e-05,0.0036054832134884,0.0250733192693456,"HH"
"LOC111103508",36.5287656726742,-18.7645757626462,2.52073623184857,-7.62407056881461,2.45798882632104e-14,1.01820611496486e-11,8.7991985393014e-12,"HH"
"LOC111123914",58.7189575323397,-1.77025992301111,1.74313319906327,-3.13128515210951,0.0017404308006752,0.0475359759937585,0.109345155520904,"HH"
"LOC111123006",31.8461557923892,-3.91020508550617,1.78368239919831,-3.72555376290006,0.000194886907891931,0.00997938332947097,0.0181459648647613,"HH"
"LOC111104777",24.5973214820299,-1.85760734522351,1.29532767485537,-3.48829134070517,0.000486118078797007,0.0195246720398624,0.0607014445800833,"HH"
"LOC111104770",95.0841639245379,-2.88416684718177,0.612734315323654,-4.94125838574701,7.76199619944679e-07,9.99194658168627e-05,0.000542126652276185,"HH"
"LOC111105569",122.872215551521,-2.34488070145466,0.56323434084218,-4.74158457281927,2.12053101788112e-06,0.000242966233045237,0.00240390445885299,"HH"
"LOC111134535",395.053234615545,-1.05545225254154,1.02836127312427,-3.2417959209153,0.00118779046560495,0.0369736972390765,0.152219308219103,"HH"
"LOC111104327",586.045014865831,-3.53285894285557,1.03119402812531,-4.23338013626048,2.30204901473486e-05,0.00182755542297538,0.00368414575295551,"HH"
"LOC111099722",349.843926981514,-1.91101678801998,1.3859380587896,-3.43709056491894,0.000587998960351527,0.0221431636455923,0.0647440357843163,"HH"
"LOC111122352",2.12339050975864,15.0948762193911,3.48656838515731,5.01138454413593,5.40398025588739e-07,7.30577431163086e-05,0.000107345068793082,"BH"
"LOC111118560",482.09908086681,1.59087497662629,0.932363692780537,3.75084023435011,0.000176242976972267,0.00929961649907138,0.0527366084590342,"BH"
"LOC111103757",267.733234607473,-6.44824140010094,1.57342653769722,-4.56857993612275,4.91039793630016e-06,0.000505286202929282,0.000557221283209285,"HH"
"LOC111106151",51.4723839112015,2.51954785556607,0.608765692361169,4.68401333672583,2.81311692150848e-06,0.000309165377043743,0.00213851419905353,"BH"
"LOC111111714",16.9071412503272,-5.90936126764112,1.92331693437376,-4.07379386038061,4.62534250528065e-05,0.0032559791217456,0.00461083827454325,"HH"
"LOC111111762",56.365442504811,-6.08752125683207,2.70797113962911,-3.77447226357218,0.000160346746401171,0.008622368347546,0.014600890933097,"HH"
"LOC111112890",98.5522383040476,-2.320634188033,0.986176468287309,-3.94246379423732,8.06488278839781e-05,0.0051094985838416,0.0196734898566928,"HH"
"LOC111125009",165.503081049156,2.19605410449965,1.90023976634773,3.22397092318991,0.00126426235972794,0.0385373406652544,0.0834307549899191,"BH"
"LOC111124624",11.3083031874916,-2.78504220697371,2.12128381435012,-3.30874015167541,0.000937167726084884,0.031217346801576,0.0588082951890228,"HH"
"LOC111112607",172.507464588917,-4.12446762380793,0.978762194235948,-4.57490464746366,4.76436926529167e-06,0.000493402356829613,0.000811821969296325,"HH"
