"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","DEG_group"
"LOC111110154",6.25362804756157,2.29373769191746,2.83975009162084,3.78338777590558,0.000154708096934512,0.0336362819360401,0.129724216082883,"CW"
"LOC111118716",532.237957572142,-1.74737871820628,2.39358500305114,-3.74328747164894,0.000181628231518717,0.0378138970250361,0.144543795841686,"CC"
"LOC111105495",3.6584184986205,-31.9051733746085,5.73891695178748,-5.88130277730588,4.07049770014102e-09,2.63829692443857e-06,8.9973935203992e-06,"CC"
"LOC111136853",86.6892658043248,-1.65012266672635,2.52251594345971,-3.66358188796729,0.000248712653258479,0.0466873063646736,0.166100164713553,"CC"
"LOC111123118",2.88828401095995,-16.9521289735732,12.6353598523447,-3.93913551248894,8.17757339220957e-05,0.0197828169837453,0.0456963132417183,"CC"
"LOC111107367",9.650504284012,-25.3344494303733,9.92134443794268,-4.38744470015451,1.14690141035603e-05,0.00382508322801458,0.00787369090613862,"CC"
"LOC111101587",10.9346648336567,-19.5948920461625,1.99965120932061,-9.8597694030549,6.21920571453833e-23,2.3755961589556e-19,0,"CC"
"LOC111119985",27.5097416538187,-12.1212038592534,5.53541791597049,-4.22225085752088,2.41874692345307e-05,0.00741864234950535,0.0131891789554719,"CC"
"LOC111114190",23.2921464189283,-42.7905528948613,5.78642187629346,-7.84543281599832,4.31462786391534e-15,8.23422757673442e-12,2.65652448904079e-11,"CC"
"LOC111121240",114.174517645864,1.94877379550081,0.88309249210572,4.44445876709282,8.81134042781575e-06,0.0030574461250134,0.0140374652883012,"CW"
"LOC111112854",55.7391220353635,22.1234300184237,3.27977297057583,6.86032028893172,6.87063272882875e-12,7.15212046971895e-09,6.19741619769751e-09,"CW"
"LOC111099906",5.15563560191574,17.9866405700914,3.31670675830089,5.53949772928303,3.03340379099782e-08,1.68070140368318e-05,2.1371060199985e-05,"CW"
"LOC111119065",7.5112489563482,21.7047355785483,3.01412946497652,7.30408072387071,2.79168746413841e-13,3.42500170600295e-10,5.55461659769213e-10,"CW"
"LOC111122207",208.195925323478,-3.58631245337637,4.2994445174868,-3.72252610368809,0.000197239509804897,0.0403307835762966,0.125651921748599,"CC"
"LOC111118279",16.0977180481479,-18.6067966679296,2.47898743208972,-7.57714367621647,3.53245522847566e-14,5.77842390517122e-11,4.93443164511299e-11,"CC"
"LOC111121582",122.203535360831,-2.75310989416328,1.72662016134296,-4.23056814234455,2.33101814924695e-05,0.00721397616783164,0.0343367449864759,"CC"
