"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","DEG_group"
"LOC111109550",162.359720332877,3.87513996596657,1.71499786567736,3.83167512982218,0.000127273728619395,0.00932503729120468,0.0179900725045843,"BC"
"LOC111132366",2012.74899616812,-1.1038189686028,0.49076480280267,-4.3033466542814,1.68237304563219e-05,0.00202078644897478,0.0988106359125547,"CB"
"LOC111112448",35.7260520835508,6.25412166997714,1.73944037029947,4.35889470117174,1.30720987366118e-05,0.00172710715765274,0.00244906526961967,"BC"
"LOC111118727",156.741036662287,1.1163539028859,0.778480724643914,3.67844656775495,0.000234658837100935,0.0144055868800761,0.122434991496089,"BC"
"LOC111132676",155.166279002759,1.2953491478941,1.35625351622359,3.20056396370516,0.00137158922255222,0.0478073563860679,0.148914457853652,"BC"
"LOC111123006",31.8461557923892,4.47565980478429,1.72994897136876,3.94622207006056,7.93939827002696e-05,0.00673306817592758,0.0115957532548244,"BC"
"LOC111104770",95.0841639245379,2.04702040542628,0.890571115689486,4.0686122283329,4.72939801411716e-05,0.00450771620159704,0.0288438431538599,"BC"
"LOC111108825",86.3717868308312,7.46338060720388,2.30266747553867,4.27796601083685,1.88608811018155e-05,0.00215340611053272,0.00352767140188958,"BC"
"LOC111131341",74.2943051415663,3.16667693328894,1.36812452231008,3.89353692609979,9.87931560321915e-05,0.00780846054436986,0.0185319466602793,"BC"
"LOC111104350",167.806827466539,2.36351927773039,1.37640385627398,3.68382224996662,0.000229762490871973,0.0141676638216876,0.0428436456713968,"BC"
"LOC111104327",586.045014865831,3.59374692315428,1.03461143945041,4.31806178853652,1.57405369651812e-05,0.00197128872047275,0.00458778802556511,"BC"
"LOC111099722",349.843926981514,4.6428329357796,0.819378571424469,5.76833699479101,8.00575956202402e-09,2.63923766267093e-06,8.61195427691749e-06,"BC"
"LOC111103757",267.733234607473,6.62880703061312,1.55494699600108,4.71953443995757,2.36385024101157e-06,0.000401991395459605,0.000482642906398707,"BC"
"LOC111104556",26.2260654413922,3.83543382619535,2.75665589747517,3.43560519487078,0.000591231879454099,0.0277664146177927,0.056218397742618,"BC"
"LOC111111133",1395.57822184588,-1.85459546704938,0.359836499979206,-5.83255488766105,5.45850402946572e-09,1.83718462183403e-06,0.00259776208225515,"CB"
"LOC111112067",135.995430013731,-1.14693456168681,0.951220033282879,-3.47291280372054,0.000514842592374059,0.0252812750793286,0.133633252396246,"CB"
"LOC111112607",172.507464588917,3.62802295800427,1.1555598860472,4.1844265053825,2.85886918245005e-05,0.00303858296559682,0.0066186913085621,"BC"
"LOC111132794",325.926717217682,4.40652298996019,0.983427935092477,4.77328006274883,1.81249466810539e-06,0.000323555332713554,0.000538277038315889,"BC"
"LOC111127585",3777.45065589264,2.93411012457381,1.38207563002075,3.82968515294539,0.000128307314329653,0.00933724692185906,0.0238729864916365,"BC"
"LOC111123118",2.88828401095995,23.5129794158735,9.29930160566318,4.21097989450553,2.54265377510379e-05,0.00276618471809356,0.0101786225216597,"BC"
"LOC111100718",87.0292310004378,-2.00553459281029,1.47641085875041,-3.48976932990422,0.000483437638374804,0.0245819768901903,0.0745449340052604,"CB"
"LOC111109066",233.783995223318,-2.56589492653514,0.817860021149187,-4.32714604472852,1.51053810337804e-05,0.00191399986895089,0.00905637673424025,"CB"
"LOC111109105",1034.55812095278,1.43057824755266,0.702987162385368,4.09736658187006,4.17876869503048e-05,0.00410395730410729,0.0590828199913121,"BC"
"LOC111101916",1443.49078834511,1.91694016967761,0.463647532493228,5.11282406166246,3.17377871980521e-07,7.32485458683043e-05,0.00636825258325692,"BC"
"LOC111110396",22.7300927348711,5.62895146288759,2.4036257133442,3.87297585651091,0.00010751448196163,0.00833069646681589,0.0144129234838901,"BC"
"LOC111125873",184.534274325571,3.76421581902613,0.645870230471877,5.89567890098107,3.73143975663087e-09,1.31050597800543e-06,1.23570424492549e-05,"BC"
"LOC111136736",191.599206564446,4.25837656601452,2.13337596290178,3.71783121037262,0.000200940448496143,0.0128566075868492,0.0241964989891067,"BC"
"LOC111123744",635.853190368074,-1.16348981456275,0.521715597405646,-4.29243061440436,1.76727785653801e-05,0.00208403338768612,0.0873611162374132,"CB"
"LOC111113188",160.383244289453,1.14535099873517,0.601167011972987,4.0517267381315,5.08410236679005e-05,0.00477536138294632,0.0981571460655197,"BC"
"LOC111102200",2051.73494639398,-1.84531604735929,0.517243664734052,-4.83919656494093,1.30365062349959e-06,0.000249244114176895,0.0111106030105482,"CB"
"LOC111135375",207.737294179137,1.05302947427549,1.02539129969319,3.29776722140474,0.000974568917010049,0.0388756744166811,0.165827625037006,"BC"
"LOC111119470",30.556715934486,3.67969299043996,2.73582132868678,3.40816299008564,0.0006540181674467,0.0295966120565411,0.0614660898735556,"BC"
"LOC111113377",191.719541180385,-24.0140450087423,2.37107855452865,-10.2237101813902,1.55281271426545e-24,5.01729316106311e-21,0,"CB"
"LOC111114614",94.2136569621175,9.59942857468407,2.79959297356287,4.48229328326671,7.38451614531051e-06,0.00107051838331623,0.00176554523882643,"BC"
"LOC111124154",347.225533873991,2.83889807875609,1.84869572484648,3.53259503495546,0.000411502292609118,0.0218325953636998,0.0499323469294062,"BC"
"LOC111124678",19.0081943700315,2.45318057944687,2.42151097369004,3.18336332688278,0.001455748204042,0.0496691449005292,0.106076617613253,"BC"
"LOC111114907",8.30111529381901,19.3089211712289,6.64465105617994,4.29634495442912,1.73637314141757e-05,0.00205508983781477,0.00566760085417591,"BC"
"LOC111125951",944.645540815317,1.3024689455543,0.448703996033539,4.75842209167512,1.95112170924759e-06,0.000340771316472968,0.0504238313825096,"BC"
"LOC111120958",25.1938435959829,2.11997757694191,2.00348171374529,3.23290102203488,0.00122540011196204,0.044834629143897,0.10276484285435,"BC"
"LOC111125505",39.607220754025,4.24977434976498,1.68845336524678,3.92295961932652,8.74678158241406e-05,0.00713679948761062,0.0130010731482528,"BC"
"LOC111129222",41.6390289770207,4.8406228494025,2.04750902618342,3.86371607825136,0.000111675016892016,0.00845042499015912,0.014986352094713,"BC"
"LOC111100797",306.572276265843,3.23807758975322,1.20249164209302,4.04248255370738,5.28882488773482e-05,0.00491055232608045,0.0119897571069297,"BC"
"LOC111107367",9.650504284012,29.7428212011277,7.0589865484772,4.88958603544374,1.01048251429956e-06,0.000200304911162781,0.000714875561931587,"BC"
"LOC111099121",39.0159367804621,6.38799304237702,1.89910280605262,4.26994677242745,1.95519622883018e-05,0.00220523990472751,0.0033333192496691,"BC"
"LOC111107680",40.4576334309851,4.45149684594977,1.60243825445972,4.01698453346483,5.89475913098044e-05,0.00536522710651011,0.00913841789235646,"BC"
"LOC111126691",30.7433020312111,5.39273089970155,2.02050056311682,3.98281939452292,6.81025091840748e-05,0.00597951134306152,0.00956027612456547,"BC"
"LOC111107723",8.42724497745194,15.2116472435515,13.0782947456668,3.64631006213503,0.000266032951180038,0.0158593924088159,0.0742600746515886,"BC"
"LOC111113440",11.871569866978,21.3867003557105,3.8348002036614,5.84587109760793,5.03924166218015e-09,1.71392565628108e-06,2.4992998664773e-06,"BC"
"LOC111114190",23.2921464189283,-42.5057854743956,5.60039947507576,-8.00350701191543,1.20924792807015e-15,1.22100030637108e-12,5.23389742514868e-12,"CB"
"LOC111137176",82.1570009428861,5.76867784439325,1.29429800962407,4.79190703556112,1.65203453011461e-06,0.000301575636737475,0.000380112819290836,"BC"
"LOC111136993",60.730134160758,2.82784272721603,1.35494364975191,3.82370294753966,0.000131462287178574,0.00944737804153997,0.026165207620808,"BC"
"LOC111099678",38.6245627428399,4.27077046106941,0.886982885232659,5.00354267241477,5.62861992220001e-07,0.000120441283646493,0.000239103048705135,"BC"
"LOC111119208",366.561618512814,1.55937364826649,0.884516699579955,3.86853767847294,0.000109490019171157,0.00840316391790794,0.0627939019982839,"BC"
"LOC111122831",14.365698606045,5.8555875396047,1.77416009186384,4.22509757835808,2.38837266169598e-05,0.00262272289078603,0.0041457486082224,"BC"
"LOC111122402",44.9213230929336,6.93871841262338,2.14377857649881,4.24731057552713,2.16351950641256e-05,0.00241053375074814,0.00397647188373388,"BC"
"LOC111134424",381.648282496571,1.29930865931876,0.566324904760775,4.31962628855748,1.56293647609648e-05,0.00196498211981141,0.0678899858472139,"BC"
"LOC111109253",115.016381016031,24.4853360070521,2.33157816140498,10.5964804186607,3.09406182580466e-26,1.24965289566968e-22,9.11631110535935e-23,"BC"
"LOC111115068",990.028260864977,2.8943135104615,0.805316028381902,4.45270558145248,8.4794988242812e-06,0.0012123056925281,0.00487303039905409,"BC"
"LOC111108378",117.654008330908,6.0023651145185,2.74384367796703,3.83229289891313,0.00012695446148982,0.00932278546635812,0.0172072991171616,"BC"
"LOC111105587",129.178849367889,3.99508607631847,2.3877970146954,3.57592394080115,0.000348993115996927,0.0192764737941834,0.037062460388264,"BC"
"LOC111116201",125.597858634624,3.70821154330592,1.99660909762717,3.66384202969539,0.000248460055611848,0.0150055941249989,0.0316524136978589,"BC"
