"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111109550",162.359720332877,3.05692034789158,1.79837427693475,3.58036296660496,0.000343117251084665,0.0339035519871456,0.0533884567259716,"WC vs. BC","BC"
"LOC111112448",35.7260520835508,5.10063377271904,1.85630086552951,4.13575371275834,3.53791482233157e-05,0.00649508896729292,0.0102447512287949,"WC vs. BC","BC"
"LOC111104770",95.0841639245379,2.43927253648885,0.645927989583348,4.33458935750586,1.46032461944003e-05,0.00320983325025353,0.00444134077098675,"WC vs. BC","BC"
"LOC111104327",586.045014865831,2.88813043192421,1.19672843907016,3.83707836567035,0.000124506749711332,0.0172658265661924,0.0198553218017674,"WC vs. BC","BC"
"LOC111133946",64.1045448191581,-1.3908805945706,0.840527453077404,-3.59733112733024,0.000321499094075145,0.0325416089173418,0.0756958507049772,"WC vs. BC","WC"
"LOC111099722",349.843926981514,4.13229173651736,0.806032658488758,5.32247740262793,1.02363503455513e-07,4.79343066688562e-05,2.38770564836911e-05,"WC vs. BC","BC"
"LOC111122352",2.12339050975864,16.3914032670885,3.48359473148427,5.32806715036737,9.92634276259996e-08,4.79343066688562e-05,0.000149461089732126,"WC vs. BC","BC"
"LOC111106064",28.9303352003414,4.23256585149559,2.24371579774696,3.77194193622663,0.000161981954752494,0.0202860424031311,0.038259078326939,"WC vs. BC","BC"
"LOC111110995",615.839743360353,5.60817614824179,1.44741652407651,4.63928148748365,3.49622581646453e-06,0.00106572219203571,0.00124178345710545,"WC vs. BC","BC"
"LOC111123884",421.412607731181,1.00951746662869,0.707517857557673,3.54247537662392,0.000396390427759219,0.037669915033318,0.127550846124238,"WC vs. BC","BC"
"LOC111124994",18.0098443990442,-2.71105621589038,1.08227024737344,-3.86775343923198,0.000109842643540195,0.0155663405939791,0.0181417939432992,"WC vs. BC","WC"
"LOC111099826",1017.68207398772,1.37818814268944,0.914214382255227,3.52181528413051,0.000428602672055071,0.0392880492529445,0.0849933433752822,"WC vs. BC","BC"
"LOC111112607",172.507464588917,3.50142026425019,1.06536759724807,4.16255288875094,3.14709217237193e-05,0.00594670526406475,0.0066615706193958,"WC vs. BC","BC"
"LOC111132794",325.926717217682,2.73942733324024,1.42882264583614,3.65062204423941,0.000261605965686831,0.0281758345243573,0.0408072600659134,"WC vs. BC","BC"
"LOC111127585",3777.45065589264,2.77495613670651,1.3181819012185,3.72338093062037,0.00019657258860189,0.0234371103701685,0.0319673829636519,"WC vs. BC","BC"
"LOC111123118",2.88828401095995,22.435179775756,11.5737889686573,4.21671893628193,2.47882616105329e-05,0.00502254491201053,0.0368515145360424,"WC vs. BC","BC"
"LOC111106696",716.34154629508,1.1514558021631,0.583517472849014,3.78145168557763,0.000155916484813264,0.0199123222956575,0.0842278354309062,"WC vs. BC","BC"
"LOC111109105",1034.55812095278,1.84021625296917,0.519852385210382,4.26013052074666,2.04307560499172e-05,0.00423165486364663,0.00938283472422331,"WC vs. BC","BC"
"LOC111125873",184.534274325571,3.43186258599154,0.637947388055534,5.50040966517396,3.78909843564449e-08,1.97467031538886e-05,1.00048556774045e-05,"WC vs. BC","BC"
"LOC111106833",6.74598781000701,21.3411737225081,6.34339792521007,4.63075246927223,3.64339228001876e-06,0.00109001525888598,0.00630686882744098,"WC vs. BC","BC"
"LOC111109459",58.0797414288575,-3.74291189970782,1.78033631767373,-3.77719783793624,0.000158602745144209,0.0200180206966975,0.02971578842614,"WC vs. BC","WC"
"LOC111113377",191.719541180385,-25.6073376797041,2.37888041253635,-10.8477947046984,2.04294984499654e-27,1.65024381104208e-23,0,"WC vs. BC","WC"
"LOC111120051",649.99049876706,1.49985585743446,0.729873772987421,3.76158863046659,0.00016883757194934,0.02066405601233,0.0499633259165928,"WC vs. BC","BC"
"LOC111125374",23.8794762593996,3.60697764983608,1.5938458954346,3.81833052057526,0.000134357838685889,0.0179611263095576,0.02344202258285,"WC vs. BC","BC"
"LOC111125529",1.64145217450622,-26.612750670987,9.44278336755588,-4.49236943481412,7.04351010439911e-06,0.00180892492220934,0.0111548906092743,"WC vs. BC","WC"
"LOC111129222",41.6390289770207,4.93009721452482,1.77648413522576,4.1204340248322,3.78159345277977e-05,0.00671534516037296,0.0100990375472006,"WC vs. BC","BC"
"LOC111135743",113.970142254906,-3.99892226241553,1.20920160336575,-4.20110152476991,2.65619434766821e-05,0.00520147245863682,0.00622110563886377,"WC vs. BC","WC"
"LOC111104172",35.6457535566591,3.82932836577111,1.98501891460492,3.73156559369602,0.000190293445627728,0.0228005259828048,0.0365727094796738,"WC vs. BC","BC"
"LOC111100797",306.572276265843,4.16342613296337,0.87159718400043,5.01992412754725,5.16918926562219e-07,0.000208777092951898,0.00011043230481015,"WC vs. BC","BC"
"LOC111126691",30.7433020312111,5.85173514462434,1.70373478604872,4.48739894241885,7.20979920156513e-06,0.00180892492220934,0.00342321955671801,"WC vs. BC","BC"
"LOC111107723",8.42724497745194,10.5450798289337,13.5222727640739,3.64712848187102,0.000265187340660457,0.0283724111393379,0.21198252117596,"WC vs. BC","BC"
"LOC111119985",27.5097416538187,22.2006156158428,3.25452647149102,6.92736070761434,4.28764361320763e-12,4.61793509287839e-09,5.79693076685864e-09,"WC vs. BC","BC"
"LOC111113440",11.871569866978,21.824070998171,3.82319773316832,5.87856009780338,4.13850557567884e-09,2.72896436032161e-06,4.94213133654375e-06,"WC vs. BC","BC"
"LOC111102971",6.92217278260624,21.2453892494893,3.08711780251957,6.98189454661827,2.91225702685931e-12,3.24475644120176e-09,3.95438153429438e-09,"WC vs. BC","BC"
"LOC111099678",38.6245627428399,3.66335633378325,0.896807931711848,4.51543527166291,6.31868451072274e-06,0.00170135846021635,0.0013176542640534,"WC vs. BC","BC"
"LOC111119227",29.417517304101,3.52841680098048,1.00399720940522,4.25053525557831,2.13260262785823e-05,0.00438895054195714,0.00479827007987608,"WC vs. BC","BC"
"LOC111119208",366.561618512814,1.91558087360061,0.744864968742864,3.91594310809122,9.00514836064457e-05,0.0133470343431554,0.0209621050427356,"WC vs. BC","BC"
