"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","DEG_group"
"LOC111110550",17.1291990326481,3.38368865298061,0.883602507112721,4.83907572107269,1.3044434459345e-06,0.000711273670710188,0.00347186806920233,"wb"
"LOC111135743",113.970142254906,4.89629158508865,1.38090523213208,4.72623183830069,2.28724499230144e-06,0.00109126999966027,0.00485345456953797,"wb"
"LOC111125595",123.169520404231,-16.2911649147158,9.59771712119885,-4.14310593268647,3.42633579305902e-05,0.0114273288507926,0.0350844990719276,"bb"
"LOC111109225",19.1079232386802,2.22808539537718,1.95218376296784,4.02966640969024,5.58560626622452e-05,0.0161240963409533,0.0879007445140752,"wb"
"LOC111118010",22.9066537551945,-16.9684971940528,3.58754676047108,-5.08174994823713,3.73973502246119e-07,0.000225381364020327,0.00035420568219204,"bb"
"LOC111118940",232.860277590768,1.2178269857938,1.28002191745125,4.00443684040233,6.21653968280088e-05,0.0175041451789816,0.117723998599929,"wb"
"LOC111121218",45.9485606320818,-1.38601062262543,1.32915044212499,-4.04788321569013,5.16829207344836e-05,0.0154383625484433,0.101436725168859,"bb"
"LOC111121252",56.1116693717683,-1.66565636197971,1.81041206346833,-3.92120332362053,8.81078786890359e-05,0.023250569426505,0.122475734123814,"bb"
"LOC111121582",122.203535360831,3.40654221900342,1.51568427250486,4.41808642839282,9.95786032328567e-06,0.00393186687155758,0.017298208550121,"wb"
"LOC111120415",32.3720069921919,2.98718360929191,2.37209168165939,4.05265124863417,5.06404641464866e-05,0.0153488131228,0.0716311800030996,"wb"
"LOC111121434",139.161443228262,1.98702406271754,1.52871103511801,4.13871165627658,3.49261572461121e-05,0.0115363784011389,0.063720077258578,"wb"
"LOC111127438",4.58651437767328,16.881269366561,2.46012716088815,6.95909833803645,3.42457416258867e-12,5.11482485361939e-09,8.70517613665482e-09,"wb"
"LOC111126779",917.537205578414,-23.7107188243432,4.80404509069406,-5.31595284853295,1.06100624176319e-07,7.00917046481714e-05,0.00018834445956932,"bb"
