"Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.Actual_tissue_growth_mg","GS.Ratio_tissue_shell_mg","GS.P1_trtmt_code","GS.P1_temp_code","GS.P1_DO_code","GS.P2_trtmt_code","GS.P2_temp_code","GS.P2_DO_code","GS.P1_both","GS.P1_control","GS.P1_hypoxic","GS.P1_warm","GS.P2_both","GS.P2_warm","GS.P2_control","GS.P2_hypoxic","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.Actual_tissue_growth_mg","p.GS.GS.Ratio_tissue_shell_mg","p.GS.GS.P1_trtmt_code","p.GS.GS.P1_temp_code","p.GS.GS.P1_DO_code","p.GS.GS.P2_trtmt_code","p.GS.GS.P2_temp_code","p.GS.GS.P2_DO_code","p.GS.GS.P1_both","p.GS.GS.P1_control","p.GS.GS.P1_hypoxic","p.GS.GS.P1_warm","p.GS.GS.P2_both","p.GS.GS.P2_warm","p.GS.GS.P2_control","p.GS.GS.P2_hypoxic","MMgrey60","MMlightcyan","MMblue","MMyellow","MMblack","MMmagenta","MMpink","MMcyan","MMred","MMbrown","MMgreen","MMsalmon","MMturquoise","MMmidnightblue","MMpurple"
"LOC111099029","GO:0005261;GO:0005886;GO:0030001;GO:0098655","green",0.145711423078724,0.0593796913388366,-0.109564792112494,-0.124997538629562,-0.0198521471624248,-0.128608602418795,-0.0537024096850873,0.215505222692482,-0.167680485905828,-0.0713240639623938,0.101132639601771,-0.0782093545853349,0.046679506218979,-0.0137044824898523,0.258861697614471,-0.0699286305394047,-0.182445244516255,0.165772906553485,0.573939417111802,0.298491500818531,0.235146999232437,0.851009826167617,0.221788784073349,0.611158958886621,0.0391031054252365,0.110114515130734,0.499279463609743,0.337443149662045,0.458670854689414,0.658595313505991,0.896837334343022,0.0127172153533972,0.507732383878337,0.0817417276748473,-0.0260171978019473,-0.0809848535993524,-0.107588523233163,-0.0374341250384564,0.0372572573819401,0.00963871484197574,0.148573298836187,0.150462602855644,0.00147633352806619,0.103308711900311,0.208844293275634,0.0721723088585305,-0.0587058384306219,-0.0635885259901058,-0.168151336519309
"LOC111099039","GO:0004930;GO:0005886;GO:0007189","black",0.0227533860288437,-0.0671030109798049,-0.113811162335399,0.0133370335992832,0.0382313200279456,-0.00433850411250021,0.153361218937107,-0.12279201388081,0.232768588825417,0.0951792857348627,0.0546220594535512,-0.0987677852727694,-0.0489247784032118,0.124661089216987,-0.264348414593408,-0.000718669085374421,0.14451795144991,0.829543792558446,0.525072197201566,0.280041045666898,0.899588761701286,0.717486190917199,0.967260269515615,0.144420365164783,0.243575962699637,0.0255570391220734,0.366793121636655,0.605058858197298,0.348919370202313,0.643270234765275,0.236419528842004,0.0108858497578303,0.994575238600954,0.169304494534567,-0.18885907128797,-0.173202137312611,-0.0348784081509671,0.0377166239786194,0.164221650535129,0.134078072876943,-0.125964252181367,-0.169428680470811,0.000101463316938098,-0.0741806715991933,0.0412211322644687,-0.0735312046858626,-0.00807358751624947,0.0755456078361943,0.00981989919795079
"LOC111099040","GO:0005515;GO:0007169;GO:0035556","black",-0.0212941099421307,-0.0359904819850414,-0.0095295338760452,0.192841238491786,0.101326210136162,0.163054335469239,0.159981295208951,-0.0468011233927104,0.202209144092501,0.322071964013098,0.012031075369855,-0.12903250476601,-0.197485196520341,0.0348324554809492,-0.0880730820064279,-0.146361563988071,0.201169427667694,0.840326261609648,0.733405456260485,0.928162952077892,0.0655181977016837,0.33651446786166,0.120425152448363,0.127674698321344,0.657761521609791,0.0532334435340826,0.00174307752458789,0.909377055101309,0.220256454440579,0.0591682425940118,0.741677149567088,0.403807190495077,0.163872158914561,0.0544958438406492,-0.0389951138552991,-0.236602524500622,-0.137467418194222,-0.214879482995676,0.216081323449362,0.20969501406458,0.072644070608691,-0.0935078969948775,-0.10937022683418,-0.0371083484307022,0.245392736099314,0.129594446610664,-0.109145431979705,-0.00785290239961494,-0.0659064307722783
"LOC111099041","GO:0016020;GO:0022857;GO:0055085","black",-0.0481211954587653,-0.100765554607412,-0.0119296543141651,0.126701429284187,0.143778181134529,0.0685193913830087,0.350176092828133,0.331613568539318,0.225784764663733,0.103830012751698,-0.142840461502872,-0.023180281660358,0.0628548730847687,0.26898961286919,0.108251634210212,-0.376100536704939,-0.0122455101689537,0.648738381305598,0.339208734152209,0.910137801997276,0.228775718332403,0.171521214118564,0.516343278533226,0.000621924561633912,0.00124170008699359,0.0304590654085102,0.324648059957062,0.174361693884502,0.826395361153795,0.551690562611896,0.00952104262019526,0.304355120700579,0.000220120867875173,0.907768875775797,-0.0113391732509474,-0.359010861174409,-0.493192864994414,-0.308758545633188,0.383034109143174,0.0458936171236987,0.0178513347995951,0.0740872461868575,0.253396501055092,0.198579201899204,0.461996198851528,0.118254474914003,0.00986115355803081,0.276834705035002,-0.247062909433691
"LOC111099043","GO:0005222;GO:0005223;GO:0005886;GO:0017071;GO:0030553;GO:0044877;GO:0098655","green",-0.0505753391416825,-0.0356795676605821,-0.0782274070907547,0.0281268161877061,0.123770983563806,-0.0307266634633447,0.161421279446116,0.185095487315164,0.087980129503675,0.156816967082435,0.0470306872811415,-0.189949108637997,-0.01139850234768,0.051165355014815,0.159397960506646,-0.267219436385931,0.050457796897956,0.632098298367452,0.735623351578625,0.458566833324195,0.790126042218581,0.239809176951751,0.771235753792311,0.12423717178124,0.077329316064086,0.404305466691869,0.135483598037041,0.656188801838974,0.0697444890208911,0.914123215178077,0.628124515556355,0.129087754234929,0.0100227875604034,0.632891204906177,-0.0232350436049619,-0.341764933785078,-0.373707956649266,-0.428992241197087,0.197692946956262,0.099713237127779,-0.0101012090966505,-0.0614279547481613,-0.000553677658437211,0.164247190467898,0.454777823283213,0.173544945988642,0.0955537847134171,0.0184036052550496,-0.155316539796828
"LOC111099048","GO:0000302;GO:0005737;GO:0006629;GO:0031409","yellow",-0.0319433443544996,-0.17166731650203,-0.142415747696668,0.0199437805426895,-0.0519719559802541,0.0480961715316721,-0.0402240706291902,-0.116194396062299,0.0130788837447127,-0.0256903866988782,-0.020818614192617,0.0808306597436392,-0.0342231230533368,-0.0124669562360762,-0.119714965834409,0.107908081518422,0.0281648619936675,0.762440314669915,0.101790811343988,0.175659512401977,0.850330088441624,0.622709143947074,0.648908963043579,0.703429772362808,0.270027020010414,0.901522478615237,0.807939927703039,0.843846134947045,0.443703339065265,0.746041444033011,0.906108504732992,0.255680832026085,0.305901506111333,0.789848698800782,0.0802719474958786,0.0511003319249286,-0.0469422583102653,0.0264777046455422,-0.0618729368623557,-0.127597289204639,0.0107993401048808,-0.00624134429849575,-0.0653833675348197,0.0794578404610374,0.0326733862969292,-0.0128136583256285,0.108991598677619,0.0544295069199754,-0.0219638259849821
"LOC111099050","GO:0005515;GO:0006886;GO:0031462;GO:0043161;GO:1990756","brown",-0.158057854487151,-0.0841353662441679,0.0330225270893098,-0.181982376790881,0.0237441687530177,-0.213569234991377,-0.00170501626159489,0.0709625273897876,-0.0373536174099853,-0.0784706454249601,0.141832893205223,-0.169250297647701,0.103263533213646,-0.109729056255656,0.190455524856882,-0.152276456230151,0.0691736534425835,0.13237920587025,0.425230671353836,0.754663979388466,0.0825325661255509,0.822240804173746,0.0409412535112018,0.98713040215452,0.501462414781344,0.723707603611449,0.457166524707298,0.177452081481608,0.106776097273748,0.327309078380726,0.297763269870406,0.0689889695644884,0.147315277077977,0.51233629555671,-0.145880348639744,-0.14293122369004,-0.540198554368792,-0.298186461517539,-0.0739323243099949,-0.514056206519312,0.0872612681941253,-0.0763950222079222,0.166591377344013,0.611536819713995,0.387432706019512,0.122687979083389,0.145542796117101,0.306939180853721,0.207353313128223
"LOC111099053","GO:0001731;GO:0003729;GO:0003743;GO:0005850;GO:0006413;GO:0031369","blue",0.104424323369673,0.00922804918278736,-0.137071277970387,-0.0717085463266204,-0.172113945890245,0.00660144216303897,-0.305828154125856,-0.21555837271763,-0.234184361089097,-0.0801080451507588,0.112206273628134,0.08653379235391,-0.118163584327678,-0.0903736777738179,-0.154844000443,0.43391034682184,-0.181474228830078,0.321871233218525,0.930429887561065,0.192600409499784,0.496963423148849,0.100889877032158,0.950201498540136,0.0030300481930602,0.0390536297324478,0.0246497587182152,0.447801815321567,0.286922634511508,0.412105120501493,0.261937143053577,0.391590288183314,0.140532879468193,1.55279111897343e-05,0.0834077782509797,-0.20347670723012,0.00993050615043701,0.78271121188667,0.208288950460294,-0.196636103184219,0.462452513687969,-0.0155029773005583,0.194375738348657,-0.0899308074921174,-0.629509965468127,-0.547537312230168,-0.00912804416727911,0.101348558319662,-0.63068523192219,-0.105946739309554
"LOC111099054","GO:0005615","turquoise",-0.114021810696474,-0.170614743130738,-0.174260760615274,0.0336282475349443,0.110871111189862,-0.0181778672481386,-0.0157350471710448,0.32463094921607,-0.179750976420749,0.101240389535895,-0.00730792539235404,-0.120715006389285,0.0279001631072993,0.158870091543852,0.21042777724441,-0.00592007671960064,-0.374248763705976,0.279146064846053,0.103938954043651,0.0966462289186103,0.750309935269885,0.292732497512902,0.863448332268479,0.881655489941571,0.00159320726100801,0.0864309841202198,0.336926004583073,0.94488002685606,0.251702488441131,0.791778821152077,0.130376718066888,0.0440768331764544,0.95533584657111,0.000237767094007955,-0.371012799696282,-0.288005845869315,-0.023016082313733,0.0430633611240662,-0.115513803296528,-0.091932935941937,0.0250101455178323,0.0307602866573528,0.115187130404169,-0.0314369902454644,-0.0871796081225065,-0.117126784415715,0.749817481953354,-0.0446731743689252,0.0912794392185292
"LOC111099056","GO:0003723;GO:0006396;GO:0008173","yellow",0.0691898068571394,-0.0162175972114969,-0.137641889579605,0.0175766165683275,0.180005169132077,-0.0705433786953235,-0.00975795454167722,0.041564742011509,-0.0316703809545404,0.0756397189142311,-0.0519035962400437,-0.155948469467814,0.131489634862062,0.0662333680123295,-0.0189496118619953,0.0566310866568536,-0.105306728370196,0.512237567148106,0.878053695583832,0.190737352811532,0.867923423254893,0.0859796453676335,0.503999433230484,0.926445783124883,0.694028401403001,0.764411000570178,0.473609473070966,0.623167326639944,0.137689040241766,0.21152139758219,0.53046821438526,0.857710586056116,0.591827170482788,0.317776534550548,-0.0390562719169996,0.112348868115177,0.226224331011768,0.288138953153518,-0.160416685814526,-0.0697426899736352,0.0916771803676752,0.152302542191159,0.126553383454049,-0.0622775835554168,-0.246459942274303,-0.283579279781566,0.133678133213868,0.00108633481871112,-0.148705562282018
