"","MEroyalblue","MEdarkturquoise","MEmagenta","MEpink","MElightyellow","MEmidnightblue","MEsalmon","MEgrey60","MEbrown","MEred","MEdarkgrey","MEblue","MEcyan","MEorange","MEdarkgreen","MEturquoise","MEblack","MEtan","MElightgreen","MElightcyan","MEdarkorange","MEgreenyellow","MEdarkred","MEwhite"
"B1_Nu_O03",-0.0968025048415363,-0.0431217465444949,-0.155433447487416,-0.150797151015486,-0.130042461628212,-0.00776100307448766,0.33139104727681,0.00023990470121645,-0.111494705321959,-0.0933996830215993,-0.0573980838416866,0.247354035106446,0.113683290792154,-0.0450103365751928,-0.0378371268873916,-0.277539848017957,-0.0335469180256482,-0.0967276631192202,-0.106390077745439,0.0945573764138705,-0.0526370420575126,-0.104232979057432,-0.0982702529557812,-0.00501784529034783
"B2_Nu_O12",-0.0862721686203599,-0.0497569102917443,-0.183926262990497,-0.13768315574656,-0.0366119304752627,-0.0674123473325298,-0.0739690017942187,-0.0520701670335999,-0.130040828988962,-0.221669537258354,-0.0266534415196594,0.0597762021839098,0.278520915090713,0.0101624914517468,0.971136250988038,0.25471134053207,-0.0856597452099361,-0.172491770442242,-0.0587720425976784,-0.0367285969312004,-0.0477407081921909,-0.0900136141860268,0.00227985400496195,-0.0527848633341262
"B4_Nu_O32",0.0101021242652874,0.112189615655527,-0.0344831776311187,-0.125034948037848,-0.0284927552837996,-0.0410473202142733,0.0026109093146756,-0.0798428713904487,0.1010270161767,0.0441376220283257,0.103371739073779,-0.216711698636199,0.0888575134236653,-0.0463449788611445,0.00786857890809964,0.128393971427188,0.660201448495895,-0.0519511753027271,-0.062702378940527,-0.0438911972137171,-0.196736567207532,-0.0450903179609707,-0.0419452389044749,-0.0780267771241969
"B5_Nu_O36",-0.142419391142381,-0.0190964745878304,-0.111902260501163,-0.147262848976745,-0.0702620656273004,-0.138861512332924,-0.0343725126897946,0.964984815458182,0.227191224499488,0.448019599949198,-0.0711947650165505,-0.20812573431186,-0.302640468138087,-0.0362236945869939,-0.0595681860666758,-0.288546912363414,-0.0354933250550291,-0.0788073332353635,-0.0729024547384298,0.142906173663818,0.0141268729602227,0.373158025220705,-0.0950470469347819,-0.018554897660002
"B6_Nu_O47",-0.0186603677759489,0.923005639568957,0.335705039398421,-0.128987188850531,-0.125268464343706,-0.0932110820749362,-0.0929165111924905,-0.0354971729186659,-0.0701192547547896,0.128229737932251,-0.133340795278014,-0.103161992056667,-0.229090942580949,-0.0425960697058552,-0.0513850806244856,-0.263803905152459,-0.0209698529740299,-0.0872918450765278,-0.030132414265728,0.111686160930913,0.262505955113917,0.38761455099801,-0.0717476256281999,0.0174919093241455
"C1_Nu_W01",-0.102470948860389,-0.0948382762010536,-0.134015305155986,-0.148741317138784,-0.165572632269016,0.00161594647293407,-0.0865785224165072,-0.0777336819471254,-0.279518070960674,-0.221745725894109,-0.0787888076020241,0.356926789015862,-0.0692749109316522,0.96907564571773,-0.0323620802292499,0.0862251053816342,-0.0989250825363217,-0.13173957713306,-0.0560386927274659,0.113227118184495,0.274459018230826,-0.0404306893603762,-0.0864202967452513,-0.0993006805981446
"C1_Nu_W05",-0.0711647037008662,-0.11968781336777,-0.170255738746657,0.243776261206359,-0.109684465116793,-0.113605581297164,-0.0566343460270297,-0.0565079249858093,0.0325844391676075,0.116148245141348,0.610903605706484,-0.0825954590579983,-0.0443142722411426,-0.0769518543685116,-0.0847758853454917,-0.029118791077107,-0.116721208971982,0.323531625610551,-0.0051079921761734,0.174885397891141,0.00166314755495453,-0.0667382959775673,-0.0517957799220686,-0.0835183797943558
"C2_Nu_W15",-0.0329287827116903,-0.00144141337170818,0.35531686786511,0.326340032601515,0.0951992661341513,-0.0189172696989876,-0.0435561982845734,-0.0451917147682818,0.190887994874335,0.225810682765935,-0.0888334338990107,-0.222984922440822,-0.156019217375356,-0.0489060739078146,-0.0376387761141745,0.00930963584795401,-0.0782525213190381,-0.118146941224695,-0.087576717166072,-0.152953961422448,-0.0475694001390862,0.108897236942673,-0.0280888269018188,-0.00671240755281692
"C3_Nu_W21",-0.00925861169032988,-0.0758899870696622,-0.0598802912110604,0.162360223943339,0.0868546023483993,0.00161731114923043,0.0464256442184023,0.0317653828981758,0.0288085964112701,0.0508390291172435,-0.0827862211342617,-0.0449881339143452,-0.0776246439470224,-0.02989734757663,-0.0522021959061415,-0.0600280664063627,0.025392298400061,-0.0574536570141502,-0.023736224922024,0.033060292263498,0.0850284777314845,0.0515402125761847,0.951277792913368,0.0419292754326802
"C4_Nu_W29",0.537914989133893,-0.0997924894673692,-0.172239737627587,-0.119686025451201,-0.292100023019128,-0.128963140487913,-0.0464040364557079,-0.0746929426965622,-0.255332231762048,-0.12576117072195,-0.075490350181587,0.14180267949519,0.0212669870191628,-0.0609117317836103,-0.0181117501614603,0.0495661620286608,-0.0916767223004935,0.385544209660118,-0.0376992698980802,0.194348995416403,0.152044258367095,-0.000226555011530156,-0.0259779642854768,-0.0469997704815927
"C6_Nu_W42",-0.0464413644910996,-0.0736848143339511,-0.135270191431455,0.430779418883115,0.239643756740311,-0.0472683729638283,0.890006360367054,0.0197158721387354,0.52481867552705,0.248485922264529,-0.0785692409467953,-0.227657152234583,0.189150653465937,-0.0461200493570724,-0.0494878981748448,-0.00473194036961487,-0.0294630820441939,-0.111118456162631,-0.0970588956014993,-0.217302967324935,-0.633315153362183,-0.361100514789496,-0.0125285792444055,-0.0578217888924659
"H1_Nu_B08",-0.0349218596617084,-0.057976740737573,-0.104572194416151,-0.0915615881859293,-0.0868581880415929,-0.0983039963894506,-0.0255725809048204,-0.0387051873213546,-0.162422671422423,-0.105108806792192,0.0438907319164469,0.0151069669284717,-0.0205925770901105,-0.0296625032794375,-0.0201110999269293,0.308537283329715,-0.0278210863927736,-0.0588479638357116,0.0493391381076969,0.134788715507038,0.0615023574992497,-0.0322926471722025,0.0224170980146288,0.958690996257194
"H2_Nu_B14",0.770329767507111,-0.00516030905543588,0.372642847529943,-0.131416051554513,0.241346802887274,-0.0662938325478857,-0.108411102706462,-0.0419347726374895,0.481559775922563,0.449825467580439,-0.100964046462538,-0.301669670994221,-0.182283284119607,-0.0961671957720361,-0.0912734903720512,-0.172803774073527,-0.115054656887035,-0.0451250833629857,-0.0272074897762,-0.238499620900078,-0.206300657750822,0.058209358943634,-0.0621772598837293,-0.0934718272834263
"H3_Nu_B18",-0.0705114237708149,0.00066990910730114,0.207304375405588,0.46316027738597,0.45968333973079,0.389950878937042,-0.0969012701291818,-0.0817106812423336,0.168562694903676,-0.128868265116523,-0.117184717323182,0.0287665599108508,0.0804263953211179,-0.0414133716414708,-0.0396462728470567,0.18780903610791,-0.09339204231798,-0.179610832324415,-0.115985820106938,-0.439032517413297,-0.279384676412986,-0.267792654639008,-0.0797280332515021,-0.0867912810671188
"H4_Nu_B28",0.00997823649926038,0.0918616385439329,-0.0458652606679905,-0.135017785973667,-0.18897514175369,-0.122502159206493,-0.029382954472669,-0.0708331749999345,-0.122508016035732,-0.0175477334354806,0.0421851738851038,-0.101303767976429,0.0311204500255966,-0.0303179175510374,0.0176219840626967,-0.0081303106346743,0.666152463001553,-0.0186868311681083,-0.0195202067603304,0.174927897289763,0.0471654819124514,0.0397465593251938,-0.0043721219371753,0.00746211811640498
"H5_Nu_B35",-0.0373838662159524,-0.0538209551904785,-0.0805277094754709,0.215931209020618,-0.233313187631456,-0.128904393199621,-0.0580884840902682,0.019877248183443,-0.0759732946584105,0.141849501423424,-0.0425407118113588,-0.105621325420589,-0.227318141377377,-0.0482853992943639,-0.0486616589412333,-0.247267063957392,0.0218409797316163,0.0205349926865302,0.93021379044794,0.256834655128987,0.231956224210512,0.30043847581614,0.104709258860808,-0.0200813557881561
"H6_Nu_B45",-0.043437132609291,-0.0406497605450939,-0.186679471775418,-0.0830699906333869,0.222073570670679,-0.0349868530978025,-0.0687343121178246,-0.0681064656486527,0.105865737867472,-0.0113833833947672,-0.0675577552587149,-0.22304596065644,0.0974452337644408,-0.0298065620313199,-0.0638919692378442,0.581329734247778,-0.125821939335597,0.411694295026171,-0.00775320851445536,-0.204603580743197,-0.202721997794337,-0.126817966617073,-0.0412715819400158,-0.0774505014629186
"W1_Nu_G02",-0.0893778982996271,0.0087249519360943,0.3752159538114,-0.134623544979714,0.113733315849634,0.0740050734496875,-0.0999264036310144,-0.0431988767025444,-0.0809406803686602,0.0454688117290141,-0.123723940053576,-0.0393649886728138,-0.43547563130759,-0.0457294703187516,-0.0437546450740475,0.0792857750741532,-0.0827353197977793,-0.0734483044920749,-0.0742178713083664,-0.148040875509419,0.298950231920642,0.344146981630262,-0.0547539900732056,0.0184062228500743
