"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue"
"LOC111116054",8.73976335174402,0.0166087573677645,0.110337551485915,0.937142751647995,0.348685132978922,0.864830473860238,0.989891639912743
"LOC111126949",670.509082397718,-0.000494886243452047,0.0985595316557501,-0.0152991449329143,0.987793524648807,0.998585104820698,0.994935044828033
"LOC111110729",160.018312911164,0.104780885565902,0.0893521559357743,2.16302112731758,0.0305395546806531,0.509109868101492,0.995266986634821
"LOC111112434",13.0480739457338,0.000886438897186049,0.103973975534327,0.0437394287782617,0.965112109656654,0.9952069136693,0.993486804031633
"LOC111120752",403.233516656779,-0.056187997309778,0.098285496096449,-1.5104206562135,0.130936121141772,0.697016606344945,0.994066590150987
"LOC111128944",0.818973590319367,-0.0182061558508077,0.192299999458772,-1.39188729558955,0.163956529555232,NA,0.956972162280306
"LOC111128953",0.075797254910217,-0.00114311564475082,0.160870116019197,-0.133521230863356,0.893781174798503,NA,0.98268397318768
"LOC111105691",17.385312926618,-0.00623507661331309,0.1166096323495,-0.499199001238988,0.617639198130174,0.943170267516344,0.988941258412495
"LOC111105685",0,0,0.385067276398671,NA,NA,NA,0.995992606384046
"LOC111105702",0,0,0.385067276398671,NA,NA,NA,0.995992720301654
"LOC111133554",2.1345059622363,0.0147413613562591,0.151188734751626,1.16015973974113,0.245983775246463,0.806947053878491,0.969527962783514
"LOC111125466",2.66363967308813,-0.00195431001835376,0.130885092085357,-0.193799549378912,0.846332839866804,0.982444996566382,0.987693263481996
"LOC111128964",0,0,0.385067276398671,0,1,NA,0.995992834212786
"LOC111113860",671.838462818893,0.00576990156707327,0.102044616795967,0.233684527346673,0.815229900601872,0.975058989889497,0.993925488878152
"LOC111109550",32.7661216465863,-0.023331005580519,0.138884566819978,-1.44656891858761,0.148017696597338,0.717332268227982,0.968761828096638
"LOC111109753",30.2884888292859,-0.0114447194911599,0.113796619485714,-0.774300764096313,0.438752951933822,0.895565468255807,0.988959426406461
"LOC111109452",4687.80528259107,0.0344949213273578,0.0991076918610566,1.0342751885536,0.301007532614476,0.841722056373377,0.99415259732679
"LOC111124802",2919.80298211291,-0.036657397023354,0.0650281479907101,-0.728637087752763,0.466223685591383,0.907819942928139,0.995992948117442
"LOC111101273",1215.16632332556,0.0123078751102656,0.0876031421647027,0.26413538274872,0.791675600251467,0.971567278054191,0.995815356510579
"LOC111101250",1363.50601086619,0.0501355742930973,0.076168750271066,0.976153942569464,0.328988183239304,0.856045583518576,0.995967501423754
"LOC111101262",12612.7169998288,-0.0289599395386292,0.0831267490537748,-0.58665780161379,0.557433554023689,0.93458556003896,0.99591645418069
"LOC111133260",2871.43659757596,0.131658427767655,0.0797836121280655,2.52660724346119,0.0115170219636761,0.388750392124942,0.995819699744138
"LOC111113503",2.79602364865157,0.0286616086075759,0.132973556662018,1.56921417733287,0.116598041837833,0.68104128765996,0.970004417696105
"LOC111102393",725.433327168891,0.0813958713116829,0.0934010119397159,1.83642717486996,0.0662945035512685,0.602376549633436,0.994858197189398
"LOC111119377",198.674014516254,0.00944774356763088,0.101926862802455,0.37415072997619,0.708292177934653,0.959869890081873,0.99383540837746
"LOC111101799",6091.88839489586,-0.0279732340648598,0.0940249403278024,-0.692712061818876,0.488490268043693,0.914620031571252,0.995243831912621
"LOC111117743",88.7028189743659,0.00271313584085748,0.124457748789849,0.254378010103691,0.799203537734992,0.972079049601715,0.988325644117841
"LOC111117672",2499.76327612603,-0.114059089472616,0.0928500205261535,-2.39470721598122,0.0166336415928052,0.437440611129548,0.994839375691051
"LOC111114053",3313.64618427262,-0.0507121024845318,0.0780675677359613,-0.992511442990021,0.320948100218425,0.852959610665766,0.995993062015622
"LOC111109809",239.408119311793,-0.0133493881299953,0.102377647944351,-0.538543710495635,0.590201736745281,0.940371884410164,0.993546423408382
"LOC111102064",1776.88647868159,0.0113108373617205,0.0976049617147779,0.32923562744221,0.741977595850311,0.964705630013117,0.994918247961107
"LOC111112773",596.81183503887,0.0125560278989064,0.0964849615249541,0.345558230618614,0.729674741317591,0.963555421114679,0.995078963937805
"LOC111135169",216.447825510063,-0.0215119057112347,0.0909236850356637,-0.491362655563848,0.62316997218602,0.943267948739217,0.995589785850118
"LOC111135172",463.632368938505,0.00610253322236508,0.0940923488362709,0.153104820693002,0.878315614337958,0.985962858908436,0.995442203643776
"LOC111135178",0,0,0.385067276398671,NA,NA,NA,0.995993175907327
"LOC111114201",1072.14509782894,0.0827350376693455,0.0946287824369523,1.89954655198247,0.057492651993628,0.585294031452172,0.994653262489837
"LOC111114212",5875.62976790252,-0.0946862036413201,0.0921524572886767,-2.04688671828957,0.040669208463586,0.547228270526272,0.994975302271161
"LOC111138315",2308.05621414639,0.049842771344474,0.0935369662388152,1.18872388847809,0.234548337079372,0.798463321354523,0.995087024558812
"LOC111138321",9683.05665063257,-0.0110698587628607,0.0885970289580422,-0.241662467393036,0.809041714306964,0.973664222634042,0.995777881717165
"LOC111121058",55.9236551953479,-0.00567322282466686,0.10324870915242,-0.257363287245748,0.796898341071132,0.971912888611568,0.993498455730997
"LOC111138070",1291.06761622088,0.0664389577170521,0.0821064171694486,1.32308038619791,0.185808646576678,0.756224175684316,0.995867492811082
"LOC111108931",29.2914687878683,0.0155915970260129,0.105720293715012,0.764850950121348,0.444360304452781,0.898545347069075,0.992011916123844
"LOC111108878",0,0,0.385067276398671,NA,NA,NA,0.98599987573074
"LOC111108901",1737.94276596691,0.0157650387049395,0.0912127652017872,0.363200297497854,0.716455265407194,0.961653947504327,0.995604088651558
"LOC111130095",2582.53429577159,-0.00813558364101738,0.0942277754219528,-0.204979670801932,0.837588008137195,0.98067941520633,0.995411941982739
"LOC111103204",975.577323839754,0.0264935250135698,0.0876513937317026,0.567488205380067,0.570382537689163,0.937598932921557,0.995762906966441
"LOC111103224",1039.39595574137,-0.0302436397476522,0.0986625451352859,-0.899940238510265,0.368152054850652,0.872010123598342,0.994347694297714
"LOC111131060",324.093641947533,-0.00499810793990138,0.100435271620357,-0.176226876498476,0.860115706808738,0.984246683548126,0.994432906670319
"LOC111131074",397.496599381999,-0.0385314884468765,0.0942634405233834,-0.951240712466472,0.341482195691194,0.861708536555452,0.995096423745255
"LOC111131094",67.4989205353032,0.022434508069014,0.102477420384385,0.856321554866027,0.39181994177086,0.877666993552087,0.993236286417078
"LOC111131052",342.225660282296,0.0201774685510984,0.0967383429388059,0.558036861637054,0.576819213291316,0.93800746164135,0.994936136423261
"LOC111116497",408.958801451096,-0.0139082315854641,0.0947626771215965,-0.356454961821713,0.721499875124691,0.962313951458804,0.995296831338949
"LOC111115921",53.1719011925383,0.00286720195286774,0.104336993867293,0.145698799630848,0.884159169013363,0.98722122122933,0.993238217808242
"LOC111116467",607.34150751699,0.0585730942230336,0.0962850591384305,1.47869499870483,0.139221849594535,0.706084983152876,0.994515175337316
"LOC111104259",80.8951093818688,0.0648736928498225,0.245325637308912,2.36262628109509,0.0181459580499451,0.447326218990599,0.862789626991331
"LOC111114340",5.69578025777908,0.0108792273985073,0.108967226696621,0.65993797910632,0.50929363067697,0.920268530722702,0.990831914567602
"LOC111134965",884.179316059897,0.0319538242728773,0.0854943124274094,0.663337352427292,0.507114519071018,0.920123708707081,0.995836736998574
"LOC111111519",9415.38321198747,-0.0354664111367321,0.0838948668757231,-0.722873333693606,0.469757707905808,0.909201404854347,0.995881016677525
"LOC111113087",4.66115712199616,-0.0155738303859322,0.130838859742995,-1.11932278400755,0.263002459202718,0.817430166881001,0.978190724474547
"LOC111136780",1154.49894288626,-0.073319926187262,0.0831648764577692,-1.46753710597881,0.142230002929247,0.709107768807998,0.995809759074132
"LOC111136794",1025.99492799143,-0.00424701422306949,0.100970454201344,-0.156658124818703,0.875514291048706,0.985684938422274,0.994312145999421
"LOC111118408",1365.42197431921,0.0141079653668808,0.101174030330559,0.516299776487503,0.605645052319939,0.942654653780598,0.993958991492455
"LOC111133372",2478.49543724113,0.0723419548836993,0.0800193305858616,1.42110798045009,0.155285370315856,0.725213755691335,0.995914797425786
"LOC111118838",104.655619110782,0.017909370650712,0.105210933061364,0.830664551980058,0.406163156931456,0.883811889393304,0.992157200771792
"LOC111118844",337.718415030341,0.0575141231059066,0.0900384636944,1.26248502439506,0.206774311674389,0.773432765168101,0.995440582073211
"LOC111110627",14.7333937860835,0.047232727832444,0.115821727031496,1.81268293716034,0.0698807376630659,0.607877684601217,0.984999896873583
"LOC111137104",5519.25323198313,-0.0890669440152063,0.0808217420600206,-1.74685716296164,0.0806621180214115,0.635017953627891,0.995861669644541
"LOC111105880",2144.56569358019,-0.0533059932696766,0.0960435331396846,-1.35405932836847,0.175717450553767,0.746287227353161,0.994624932226994
"LOC111102585",195.689805330528,0.0104533579276833,0.109127837374455,0.642822147942436,0.520339510158617,0.923253875003655,0.990798398409624
"LOC111099747",179.162432836887,-0.0210989888474311,0.0919519189997609,-0.494253373284429,0.6211272499827,0.943170267516344,0.99551271416032
"LOC111128995",24.3872734452841,-0.0106800309033223,0.104105065371297,-0.503189202040149,0.614831255815972,0.943170267516344,0.99292069418218
"LOC111124195",0.165702446358896,0.00325109522089106,0.164141854327184,0.374646936503937,0.707923060951241,NA,0.979183301228245
"LOC111129046",0,0,0.385067276398671,NA,NA,NA,0.878650889499107
"LOC111129066",9.57156134090527,0.0159965044728337,0.123661309209546,1.08884186931491,0.276223624430444,0.824224766601045,0.982948335571402
"LOC111124462",1.51343179345762,-0.00921003547897237,0.139877738368272,-0.817048476273732,0.413900725653203,NA,0.978643112056393
"LOC111115406",936.655872449929,-0.03414095879989,0.108684641755729,-1.41451829172221,0.15720978054069,0.726241608772439,0.990070521832446
"LOC111135942",51.8652824458089,-0.0136487960731917,0.103729498807923,-0.608428942315504,0.54290302071597,0.930031891389606,0.992970278159435
"LOC111135933",0,0,0.385067276398671,NA,NA,NA,0.995993289792559
"LOC111114441",5.10587304401863,0.0266296464142032,0.178538455605175,1.64368250993795,0.100241800568431,0.660340245331164,0.951775823602841
"LOC111114430",507.651258761013,0.0313736206877418,0.135161415876815,1.6495979027782,0.0990252042370076,0.657819219893587,0.967259754239482
"LOC111111547",105.488783942181,-0.0372454671439294,0.191237130611743,-1.91261503719139,0.0557973531918337,0.581881539179404,0.940765414087167
"LOC111103592",57.5345640985621,-0.0182558324138669,0.112798608416576,-1.04728872714252,0.294966433680101,0.838426344324107,0.988722941645375
"LOC111129108",0.613233821787371,-0.00348738844235158,0.164219983729128,-0.399811184737955,0.689295592076456,NA,0.978776948200386
"LOC111129120",13.1930345416174,-0.00517571921591623,0.107878245669585,-0.330360677363665,0.741127450038594,0.964351981794548,0.991749931499535
"LOC111135210",1880.14378086729,0.0590569152288992,0.0896943654601234,1.28705636083392,0.198074644327562,0.765902689421344,0.995462011204465
"LOC111113958",522.958391815473,0.0227164494448475,0.102738524249252,0.878353294257018,0.379752022325265,0.874841146631469,0.993122417407261
"LOC111103230",1115.84778901452,0.0533538851960284,0.0960985085832145,1.35729226809524,0.174688363109881,0.745989526264606,0.994612404822116
"LOC111101640",578.119323404808,0.0620229211570568,0.105695683457996,1.8803025640836,0.0600668540573686,0.591741964697536,0.991521360376854
"LOC111103171",118.415077074139,0.0109509350542557,0.111919089164507,0.72076051857994,0.47105687057483,0.909249579370193,0.98970932913104
"LOC111103163",2.59277933979174,0.0173260618102408,0.179986784119909,1.33508887779336,0.18184725922364,0.751680949601966,0.9600931578686
"LOC111103177",10.2914722162432,0.00818379754337354,0.107660397468931,0.494236901150875,0.621138881746299,0.943170267516344,0.991552500391123
"LOC111115024",0.795624002496166,-0.00165616193332053,0.152341606430628,-0.183441319284386,0.854451757782594,NA,0.984057080112294
"LOC111115591",1.25001316346572,0.0056195070751882,0.121011606998599,0.483417928434317,0.628799020830767,NA,0.988027775723933
"LOC111119406",1146.67333554502,0.0193574632056996,0.100694907309593,0.670837193535526,0.502324250559653,0.918485105001324,0.993975992023988
"LOC111102439",61.5479078819985,-0.0155086381736091,0.101317121607165,-0.570471463179383,0.568357971813262,0.937086813804769,0.993862973407485
"LOC111102448",5463.45956533224,-0.0660275909882915,0.0952329735685562,-1.59486251575708,0.110742983482247,0.677514647898497,0.994659337900961
"LOC111129274",22.771369051253,0.00269439738773924,0.105304095512171,0.148948849146204,0.881593995061294,0.986583202743102,0.992889625894273
"LOC111113346",1675.38684738547,-0.0234601105462048,0.0975441611687692,-0.67080621250955,0.502343989290145,0.918485105001324,0.994735314498083
"LOC111100652",3667.61691769677,0.0473444855597092,0.0767188814426541,0.923238200285802,0.355883085573632,0.867990144117413,0.995993403671316
"LOC111134791",1413.15314839451,-0.0278019291092295,0.0883068122225713,-0.601712311637358,0.547365653336845,0.931640586531152,0.99572435288983
"LOC111128971",2860.23464616217,-0.0447474337217596,0.0855495329132893,-0.926197928347765,0.354343128967198,0.867257955129854,0.995792499843967
"LOC111104153",1868.77278897975,-0.0731564493376996,0.0840474230391158,-1.47468105758296,0.140298311075836,0.707230626709043,0.995772563868918
"LOC111134573",374.972761342442,-0.0120914117295242,0.0887935326161988,-0.264875558022969,0.791105327892511,0.971567278054191,0.99576608844491
"LOC111129318",0.113096018186628,0.00103180261988408,0.160783172258628,0.120562852820291,0.904037293311038,NA,0.983055633912722
"LOC111134552",543.097297623627,0.0116891591478329,0.104491898632089,0.560579880172184,0.575083970553023,0.937922975190278,0.992717689308996
"LOC111134566",580.007234937037,0.0038268589140176,0.0999957969382536,0.130513097802382,0.896160492227133,0.988399448282451,0.994569456444844
"LOC111121766",6.13503035494439,0.0135490064623061,0.117982402546467,0.927602936890825,0.353613573724426,0.867240999945634,0.987245237047054
"LOC111121733",8575.55422323228,-0.0340612747603604,0.0726399839289684,-0.6621842555477,0.507853143233153,0.920123708707081,0.995993517543601
"LOC111129336",6.7594958122856,-0.00819409618444438,0.118094047234658,-0.640773866544926,0.521669614381675,0.923253875003655,0.988137892818134
"LOC111109736",97.2124936040044,0.00995361581122393,0.122172413219022,0.779402428203825,0.435742693907121,0.894950994922331,0.985934368573463
"LOC111109754",936.851204687955,0.0116204308226694,0.10424214601875,0.54797951175873,0.583705970984825,0.93934531217464,0.992821283122426
"LOC111109763",1006.29763500551,0.0244410547616521,0.102208326971318,0.905217472795166,0.365350186990333,0.871198655529806,0.993297563769954
"LOC111129344",132.719749841921,0.0239833616282455,0.104511757011924,1.00135239725721,0.316656469333666,0.850636630704045,0.992293015267008
"LOC111109745",31347.5758622238,0.0356230062372457,0.0949646204347182,0.902455232397874,0.366815092294537,0.871880643206267,0.995027936050182
"LOC111132141",89.4769426436606,-0.019508253197986,0.0976424277128274,-0.563866095068687,0.572845265917705,0.937730728620266,0.994774921474618
"LOC111132148",92.8986946131047,0.00219689104297552,0.108312694533548,0.147774062399643,0.882521079776824,0.986889823555938,0.99196921127963
"LOC111132134",3491.80966029785,0.0272958516401385,0.116286318777918,1.38525879426632,0.16597334857967,0.735809567697972,0.985677200883837
"LOC111132126",676.80165046304,-0.000900922761503266,0.0992292958723158,-0.0290990944931138,0.976785557983201,0.997376494565649,0.99480093345045
"LOC111099207",6467.91212480564,0.0136862617518206,0.0950707858845947,0.354862882678671,0.722692316426499,0.962396664650908,0.995262692161114
"LOC111115013",13.1010875145336,-0.0113731388273602,0.113216383072377,-0.762274043869157,0.445896462063988,0.899834801993289,0.989172988711829
"LOC111132349",3960.81944877472,0.00480715954994904,0.0966919745868579,0.134060440929149,0.893354780769699,0.988171426633119,0.995159895584322
"LOC111129373",0,0,0.385067276398671,NA,NA,NA,0.995993631409413
"LOC111132366",3186.07934715914,0.0134155331820046,0.0958148569065527,0.358374577302566,0.720063014301206,0.962097101381095,0.995173484222792
"LOC111103463",910.592895169241,0.0103836145909561,0.10019971418929,0.356622122734257,0.721374713527872,0.962313951458804,0.994358318042094
"LOC111131773",85.3143800472847,0.0331798820519621,0.100833516346627,1.08459008970647,0.278103246256552,0.825256975292405,0.993629154306778
"LOC111131721",642.55135041667,0.0307144422339059,0.0913837992301299,0.706227788980208,0.480046491604827,0.912270171237651,0.99549593953377
"LOC111131752",4466.88416182379,-0.0338102349138774,0.091674243585967,-0.781362717704285,0.434589192208377,0.894950994922331,0.99544926611125
"LOC111131766",186.20374562124,-0.0143692847633299,0.0971831086074372,-0.408247186529052,0.683092208696451,0.954989296027037,0.994944489729101
"LOC111129378",51.885472893929,-0.000432776157177752,0.0997125945272426,-0.0144674468876982,0.988457050165546,0.998638688614037,0.994720924775618
"LOC111131682",3118.80260200699,0.0531581472675298,0.0910379681209908,1.19346067238123,0.232689005545916,0.798179156275707,0.995371874300158
"LOC111128103",5382.804220422,-0.0249913419323062,0.073846515354806,-0.486057140252721,0.626926653643866,0.944902466162405,0.995993745268753
"LOC111100789",3434.10597495216,0.0143581414781466,0.0993324134837951,0.460918873077474,0.644856810711118,0.947531669401037,0.994489243007982
"LOC111100985",1614.30168412634,-7.86545749965387e-05,0.0921631523909986,-0.00186102007452097,0.998515121672316,0.999847116180344,0.995635798112318
"LOC111103238",3242.55372662741,0.0762610010434642,0.089714441253052,1.63590800383087,0.101858842628482,0.661893284664201,0.995358464328575
"LOC111103245",85.3462179682593,0.0246323791506354,0.122138597073388,1.37707037890555,0.168490489670852,0.740156099585389,0.980917383513411
"LOC111112387",3255.0477600828,0.00357132693986358,0.100445069560581,0.126181694340144,0.899588101339062,0.98868681954612,0.994467843433255
"LOC111114799",2813.87651860652,-0.0925505691853233,0.0773385566601821,-1.79279478499533,0.0730057436873498,0.614299529682836,0.995945581258351
"LOC111129421",30.3222240929404,0.0101806684328011,0.0989434272243181,0.320711485129001,0.748429042826833,0.964994355239533,0.994676677996372
"LOC111129446",6699.02671930702,-0.0373691369302968,0.0757841638076658,-0.727916816637073,0.466664508253722,0.908285954443495,0.995993859121621
"LOC111100566",2011.49784930739,0.0604426203658171,0.0952552910830956,1.47913992483264,0.139102921567981,0.706084983152876,0.99470784717243
"LOC111136882",1331.35147157433,0.0176563388085268,0.0915644778208473,0.410068368395125,0.681755795700347,0.954906000422974,0.995568016945578
"LOC111136873",1122.89594064417,-0.0123398358689354,0.0913242579792999,-0.285295825167825,0.77541751104639,0.969569613880313,0.995616664019083
"LOC111099831",3373.23397358796,-0.0152914007716977,0.0952248714075575,-0.398488813811163,0.690269902327892,0.956687435281016,0.995229022819385
"LOC111129522",39.2398417042539,0.0122097954486799,0.106451845071981,0.652522881443411,0.514063916865243,0.921791943670277,0.991833373556154
"LOC111100662",20.5059748248456,0.0168138334758835,0.104268525343002,0.751348071938601,0.452443205459601,0.903037081203941,0.992617680366444
"LOC111100672",6.71759678923761,-0.00246018892865432,0.107418497881796,-0.157487380424376,0.87486075275296,0.9856703234031,0.992197614652253
"LOC111123745",488.170006804463,0.0103063541013162,0.0937950638697974,0.255758961657045,0.798136963993718,0.971956289462926,0.995432900821109
"LOC111129531",0,0,0.385067276398671,NA,NA,NA,0.995993972968018
"LOC111105302",2231.87949390599,-0.0717473338384762,0.0998789483118559,-1.87506168727074,0.0607842375460573,0.592088940293079,0.993551123507268
"LOC111122009",15.0211055070185,-0.014405736264201,0.107392823522293,-0.774175787553373,0.438826844501961,0.895565468255807,0.991293457034362
"LOC111137770",15006.8689809163,-0.0640042439916538,0.0736481874073175,-1.24127301285841,0.21450491063823,0.779648808156515,0.995994086807945
"Trnag-gcc",0.0512288124817956,-0.000458703146714977,0.160475801669149,-0.053666470573097,0.957200896894286,NA,0.983858259132417
"LOC111119645",483.864230602819,-0.900203213661382,1.48132840824141,-3.5443137898902,0.000393636451412384,0.0913989719573847,0.369089043894736
"LOC111134776",5719.74257167702,0.0172909558326651,0.119368138225373,1.10104824898809,0.270875658546687,0.82126639537653,0.985374121529481
"LOC111103288",197.089261443913,-0.0450323666211001,0.0957156857244137,-1.15227313783315,0.249208851686558,0.809588809442773,0.994784392841409
"LOC111101379",86.4243165349442,0.00281081943271606,0.102380970715035,0.118274380455141,0.905850256331636,0.989777421837558,0.993928099088118
"LOC111101405",735.316222718159,-0.0234973347313074,0.0986144498002461,-0.709518915547344,0.478002517489448,0.911698360817639,0.99448342311161
"LOC111101397",318.186916615685,-0.0251153792225849,0.0991896191816408,-0.779250279696807,0.435832297097631,0.894950994922331,0.994306407893619
"LOC111129738",0,0,0.385067276398671,NA,NA,NA,0.995994200641402
"LOC111129748",28860.5926062122,0.0216106253759077,0.0876335263900499,0.463296492996975,0.64315185921852,0.947231840762994,0.995782303047978
"LOC111134153",0,0,0.385067276398671,NA,NA,NA,0.99599431446839
"LOC111113132",57.9962233353131,-0.008643769427355,0.104244686126078,-0.419418040026942,0.674910642143578,0.952653420419475,0.992957422962922
"LOC111128935",335.678319316854,0.00988822790004731,0.104666736276064,0.489442792632111,0.62452824636598,0.943865245973358,0.992722880883829
"LOC111136489",36.7567614344325,-0.00150225890235964,0.111030929930969,-0.11335635688334,0.909748038786178,0.990237240299567,0.991319985402199
"LOC111136460",325.012993602156,0.0088504781558935,0.103870857391724,0.415920178958084,0.677468413057632,0.953602849291289,0.993108758162747
"LOC111136481",138.448791521166,0.0311176601896093,0.103538649095484,1.1616357964391,0.24538343517368,0.806880878852679,0.992588236104607
"LOC111119489",312.526699895179,0.00677535314728478,0.104674840769986,0.345851946587428,0.729453983589337,0.963465508504727,0.99286329556593
"LOC111129787",8.43479554421628,-0.00596323041214262,0.107414656543117,-0.367820195308188,0.713007309404034,0.960805972024892,0.991854556505491
"LOC111133651",1243.05970434022,0.0106148054519307,0.0672480510533411,0.208931170429738,0.834501970620178,0.979551354005368,0.995994428288909
"LOC111105807",4355.30339255484,-0.079826726712402,0.0572156105718068,-1.68170117379236,0.0926268003197333,0.648045426664349,0.995994542102961
"LOC111106831",3.2642080962868,-0.00550217143817802,0.11514121838714,-0.436052421566394,0.662798696072644,0.950537491250754,0.98948165447359
"LOC111122515",1.97658919568453,0.00896800011454095,0.110764268706574,0.597752706675291,0.550004951279606,0.932388633546097,0.990332795966364
"LOC111122523",9.4085778317945,0.00134473253724458,0.108242895535898,0.0905668164410485,0.927836800180366,0.991943087297793,0.992089537523386
"LOC111129837",0.787011424167405,0.0107122000328519,0.194338947425633,1.08682145433112,0.277115724242397,NA,0.965269330429296
"LOC111129845",2.2980382503573,0.00265985085956334,0.114393601250833,0.217333159338761,0.827948717195207,0.978373111374219,0.990292483836538
"LOC111129861",0.820565348743945,0.00391673088931253,0.165017204525887,0.446248610434746,0.655417672829404,NA,0.978076169342939
"LOC111129869",1.33978682434073,-0.00103114945639563,0.13141710520307,-0.103311153485177,0.917716023786476,NA,0.988020040433198
"LOC111129878",7.60850916340891,-0.00919210007149123,0.111124882385694,-0.615965396786921,0.537917358069298,0.928881098698551,0.99016759269859
"LOC111118123",5.13072210962912,0.00176494206176369,0.113427860064416,0.142284229211488,0.886855503050365,0.987755793784085,0.990711809630502
"LOC111112009",22.0299079036719,-0.00287382687846837,0.103573269812841,-0.13587834390346,0.891917455738887,0.987872192344298,0.993514819104086
"LOC111129927",0.0378986274551085,-0.000458703146714977,0.160475801669149,-0.053666470573097,0.957200896894286,NA,0.983860042327599
