"","MElightyellow","MEcyan","MEmagenta","MEdarkorange","MEpaleturquoise","MEsaddlebrown","MEroyalblue","MEdarkolivegreen","MEyellowgreen","MEmidnightblue","MEsteelblue","MEdarkmagenta","MEgreenyellow","MEdarkred","MElightcyan","MEpink","MEdarkturquoise","MEblack","MEorange","MEgreen","MEsienna3","MEblue","MEgrey60","MEskyblue","MElightgreen","MEbrown","MEdarkgreen","MEwhite","MEpurple","MEyellow","MEdarkgrey","MEsalmon"
"H1_Nu_B08",-0.0337248850854048,-0.0731126060810443,-0.0827362425623241,-0.0394528441903353,-0.0561303268506108,-0.048929541388001,-0.0335253537592778,-0.0625835029576338,-0.103250993044833,0.18612656212576,-0.0423208013508174,-0.0443131117551448,0.0177714350075026,-0.005991611753282,-0.0733492836834278,-0.0408264696680468,-0.071298783714696,-0.0745868467079745,-0.0611153700137673,-0.0738275889583354,-0.169067509050754,-0.15854483304959,-0.122117189837499,-0.0947044821329827,-0.0402449197830628,-0.0533966882646812,-0.116541683293385,0.123366787296672,0.966045746915837,0.625354626455514,-0.0134230777723943,-0.0480890452675825
"H2_Nu_B14",-0.0899575220020615,-0.181304246639049,-0.0148252466793011,0.292963745191778,-0.100018237968472,-0.0864692380969905,-0.0871928369825836,-0.0685691386728964,-0.0322623778671872,-0.26657492099806,0.00365233440401838,-0.199043321193867,-0.238677725851647,-0.0685541051335825,-0.00992426566205873,-0.0783279450058916,-0.0465485384238358,0.0322895266305239,0.0147617693814467,-0.0151500052171602,0.510896745140975,0.601894327313779,0.892507581805345,-0.00599965305042459,-0.0320115122528115,-0.0139300973811871,-0.127853174751556,-0.140894655987091,-0.0933006394778248,-0.170475693878972,-0.0703840215247675,-0.094357567074881
"H3_Nu_B18",-0.0681539566044456,0.0671675359977936,0.226664459844929,-0.10927252767956,-0.125218819731112,-0.106114357298292,-0.100082740333364,-0.0788031134958148,-0.115653291644307,-0.34220077160612,-0.0669185485546399,0.184756496855801,-0.0141907425118939,-0.0861248656457534,-0.0365989694984357,-0.117190385985189,-0.111695692494852,0.03473593588549,-0.348059823247555,-0.151954636815735,0.32505564220294,0.0127084253798402,-0.0733667595302179,0.087083914880978,0.938166025733401,-3.17198976539586e-05,0.506422654981244,0.475442135333946,-0.0250949648299877,0.333587752771875,-0.0403605288051088,-0.094782010698514
"H4_Nu_B28",-0.0558494541577983,-0.198948575892666,-0.100391681841221,-0.0383207358991332,-0.0634764877848942,-0.0272282761032101,-0.0313765649940875,-0.0595992801632712,-0.0472450606302803,0.193955425305908,-0.00207763558785618,0.0152558617545129,-0.0302803260487481,-0.0187522278871532,-0.0524211613656356,0.00326695574158526,-0.0859944156736816,-0.0210819655570236,0.0299080128114159,-0.00560371950664454,-0.172265249409377,-0.119092223766171,-0.119361862653974,-0.0672232243005379,-0.0833838544003991,-0.0310363655990662,-0.147730050961467,0.00886889642693512,-0.0028427983306709,-0.0311285336212702,0.0257964687649729,0.813315376233723
"H5_Nu_B35",-0.0598032894935443,-0.152547503104477,-0.114356425261118,-0.0652442061229555,-0.0229827222896413,0.091195578474747,-0.0468784340528963,-0.0598546518616828,-0.0979363825446987,0.172285000326766,-0.0439115170816089,-0.258831228595375,-0.133076665021373,-0.0270055238987785,-0.0374012382993327,0.952959624318065,0.0281871954366607,-0.0546747595627793,0.285801956088821,0.0368323563689668,-0.123667303854591,-0.0796381355470685,-0.00560591185125885,-0.0521779047590939,-0.108883985204884,-0.0303722811729546,0.0940333488949916,-0.286635627004137,-0.0593057145744459,-0.243620857415986,-0.0472209065256332,-0.0280607771534423
"W1_Nu_G02",0.013942587393009,0.231681375512135,0.0171633112181468,-0.102768075591881,-0.103611740226977,-0.0670645826693918,-0.0524642361750487,-0.0715620082989067,-0.100275724867633,-0.208268981580026,-0.11251114479372,-0.402792204732472,-0.168302428217409,-0.082862374792473,0.0361847615255254,-0.0523746307283958,0.937984786453507,0.0347455904641849,0.321186693502233,-0.012128049122452,0.00458660914063435,-0.113013026452822,0.0595977561812692,0.00775760914949353,-0.0456408999369438,-0.143507255706733,-0.149643833523925,-0.32707959084925,-0.0413055991294595,0.169621489658372,-0.0653191741571673,-0.0953229462320324
"W2_Nu_G15",-0.0582213658747117,0.535258531161043,0.921082195006534,-0.115272483274949,-0.115822055516936,-0.0906590462368652,-0.0783477294235081,-0.142818761665641,-0.144477950492208,-0.328558504934986,-0.0660901793650695,0.263361563978019,0.206687782403863,-0.0757156965506838,-0.0577850433058115,-0.0961483916493358,-0.00960548778822682,-0.123621716288384,-0.279775291992164,-0.131470485009741,0.463146143847134,-0.109488734902171,-0.132648042221997,0.0221837363857306,0.0991979847839236,-0.0581028792812126,0.220012462065081,0.107572222229674,-0.0596091949645618,-0.0631674183338115,-0.0944049400359155,-0.100752736462061
"W4_Nu_G27",-0.0290537481211592,0.00863797422487847,-0.0301390586818875,-0.071084093852886,-0.104499005049555,-0.0271871708964246,-0.089006178554124,-0.101442008403449,-0.0825419246443973,-0.0589032896863974,-0.00380730578668975,-0.119941581561477,-0.0348470166161702,-0.0386308567576583,0.957650836774372,-0.0660429244836828,0.0414824879688905,0.0718816643919626,0.0358518372393698,-0.0991577882210978,0.00577230860686317,-0.10179261672829,-0.0113694305995606,-0.039421804368114,-0.0273164649128546,-0.08790594262919,-0.132199272524036,-0.0965425478239273,-0.050575332711313,0.140380206176081,-0.0182115780608827,-0.0816208312618089
"W6_Nu_G41",-0.0532192303260539,0.148172572515845,-0.0735958294658994,-0.0521532531441596,-0.0969000183600665,-0.0737285913673616,-0.0363093614169697,-0.0203976771727347,0.653678447363543,0.492699978547157,0.965803474105731,0.544423336187072,0.667691915641745,-0.0682703479254811,-0.0851442044957852,-0.0542167779476104,-0.159473103035413,-0.109608363829755,-0.181391288736628,-0.129960833976647,-0.259751022131905,-0.193510208440658,-0.162725076393906,-0.0861241611121092,-0.141466698934033,-0.111005098408332,-0.176087092268333,-0.0201801154943637,-0.0908822952567647,-0.239427793048502,-0.0737195644870002,-0.0760990792622161
"W6_Nu_G45",-0.0376185610596667,-0.120221261075225,-0.104010592192197,-0.00302112524534061,0.658723625849716,0.954188097934682,-0.050843236097425,0.0202843032303838,-0.0281561467787613,0.245170424341497,-0.0301893317558954,-0.124478650789928,-0.0486010994897906,-0.00574500559144386,-0.0183814992638463,0.113497222522737,-0.0573586201941873,-0.0653305344881297,0.127902497593636,-0.0367659267599297,-0.188047314932859,-0.14401246394756,-0.09386918275407,-0.0895607390499539,-0.0749347838349007,-0.0849581595475373,-0.138236182001964,-0.0409381176570624,-0.0178563736304707,0.0171192408512376,-0.0271582009833843,-0.0480299332282878
