"","MElightyellow","MEcyan","MEmagenta","MEdarkorange","MEpaleturquoise","MEsaddlebrown","MEroyalblue","MEdarkolivegreen","MEyellowgreen","MEmidnightblue","MEsteelblue","MEdarkmagenta","MEgreenyellow","MEdarkred","MElightcyan","MEpink","MEdarkturquoise","MEblack","MEorange","MEgreen","MEsienna3","MEblue","MEgrey60","MEskyblue","MElightgreen","MEbrown","MEdarkgreen","MEwhite","MEpurple","MEyellow","MEdarkgrey","MEsalmon"
"B1_Nu_O03",-0.0466670007399857,0.224933988708002,-0.036922674107634,-0.0541625998514161,-0.093488328395249,-0.0883214029496455,0.96498787734871,-0.0542161375920178,-0.0545434352992677,0.055835468882102,-0.059350277158697,0.252692250400805,0.239343937127954,-0.0565314886241012,-0.0913049185627236,-0.0513538278441918,-0.0294528674943007,-0.0726027298170322,-0.135317924629945,-0.0582558127453834,-0.135456937992881,-0.130739068279858,-0.134819333073075,-0.105972444385248,-0.120862912943377,0.0110845625182577,-0.161239538455303,-0.0624949290230013,-0.0958197583854633,-0.252415058465313,-0.0548890360578074,-0.0737209328039186
"B4_Nu_O32",-0.0412118954217089,-0.255805921361195,-0.0453023454806991,-0.067657061033492,-0.087067429521395,-0.0101837585381933,-0.0216006944401651,-0.0912044769362783,-0.0328402632373509,-0.151142690245757,-0.0231452990807787,0.0446662466254392,-0.152022837731884,-0.0188529447878526,0.0214360342387292,-0.0475430920137759,-0.103548740597998,-0.0438521324280916,-0.120992230598139,-0.0123142399698124,-0.00988322703488308,0.0537859292849085,-0.050883942137848,-0.0748239141500077,-0.0427093242532717,0.0275495521668646,-0.134210840135498,0.263312434882462,-0.0253724293837381,0.233568988263486,0.967641160680394,0.487332607237616
"B5_Nu_O36",-0.0530864449942292,-0.124879640992215,-0.0804920849627829,-0.072557120884092,-0.0782444536236711,-0.0525172564164397,-0.0480967669392364,0.0235522955949993,-0.0264496491973561,-0.0516815388970281,-0.0891342389774283,-0.256796972086893,-0.239119020909369,-0.0748198164636386,-0.118938493908802,-0.0515618750625589,0.0332360098565136,-0.0697122400240865,0.379987578510763,0.9450425195993,0.118287767988797,0.275636309162398,0.16590287985468,-0.0410099336472048,-0.127103366684817,0.00267077822613602,-0.145470526190875,-0.241066278443534,-0.0922689270821162,-0.252279042345698,-0.0919196251145117,-0.0871478640212057
"B6_Nu_O47",-0.0562179306936981,-0.104028765697471,-0.124811753302814,-0.0629204384603047,-0.0872174108067829,-0.0513220825048334,-0.0770880346779692,-0.0429480551244072,-0.115384660277728,0.119535324191261,-0.0695696861900136,-0.182579773984633,-0.12310424154883,-0.0550006923832189,-0.0418248147497648,-0.0127229307402481,0.0298631207975924,0.937913106088192,0.474968141953615,0.02914852621648,-0.114735115376493,-0.0758686954656736,0.043180927077619,-0.0267277930551537,-0.081718135930521,-0.0892827439344203,-0.157490674917003,-0.168187898202678,-0.070598804802746,-0.231781094808777,-0.0634871587155638,-0.0548508858893332
"C1_Nu_W01",0.969405324887672,0.507563663328761,-0.0463201799435488,-0.0609926209043985,-0.102553460949236,-0.107451486667822,0.00730497744459931,-0.0685469210913578,-0.0576050008851664,0.0937764843350117,-0.0889617117027337,0.102217389563061,0.358267060871374,-0.0804057348973695,-0.0704359855304845,-0.0682833037741522,-0.0327548392293905,-0.111717584486802,-0.0872233737480408,-0.106799605955595,-0.186051087203295,-0.227220524799169,-0.165152661385791,-0.0941841377271435,-0.0785157319961919,-0.139612252317257,-0.155801978223142,-0.143495959043631,-0.0238963072786697,0.19845805829142,-0.0551675597861123,-0.0838026683023049
"C1_Nu_W05",-0.0432662951020265,-0.0904095065324193,-0.0670556645537933,-0.0634910679802772,0.296456425477317,0.0189347300023167,-0.0329690513843433,0.958984997820779,0.672790437437352,0.0757453822545343,-0.0298136378223688,-0.0123686669120039,-0.0446644880922999,-0.0545708696479946,-0.120918750964102,-0.0803128937141776,-0.0478506408977021,-0.124661135813348,-0.10454511467065,-0.0423177027955822,-0.0982293252923435,0.0668150099776641,0.00124699886073347,-0.049330106270162,-0.0290838394096521,-0.0247335335638948,0.232769426977047,0.0694974471170158,-0.073657264132081,-0.0843495127202835,-0.0569588605343639,-0.0788269096642294
"C2_Nu_W15",-0.0724125651106414,-0.171479212378252,-0.0332054848973169,-0.0668537508981598,-0.11467331652356,-0.0841293572672653,-0.106212898424165,-0.0150151526218626,-0.0774373948377382,-0.18261893233785,-0.0366104005650857,-0.13126380905947,-0.209034250649698,-0.0553312012462925,-0.020416981633072,-0.0901026363857206,0.00305809470345427,0.0505601802011022,0.0220524039333244,-0.0108932358952675,0.00349283637639709,0.190081306725995,0.115041035479095,0.952724611443757,0.05087928100591,-0.0114955468728138,0.26619171434417,0.00702060303242813,-0.0517475650464431,-0.0239288993610386,-0.0513879656729552,-0.0710819317907896
"C3_Nu_W21",-0.0612097705742375,-0.0741968233759926,-0.0310309140601086,-0.0752926993509529,-0.0722688391048426,-0.0201538527913881,-0.0557859535353038,-0.0526742611919233,-0.060367648239917,-0.00863787345770181,-0.0665256473845298,-0.0414971334380483,-0.0634240490816579,0.968825234292733,-0.0150791940819019,-0.0326069956095596,-0.0310081928841458,-0.0820326369309252,0.0229614756613359,-0.0253027648537026,0.0120649132426122,-0.0302189978466689,-0.0212978840432887,-0.0720259080061001,0.0159033765108587,-0.0132176649450639,0.0446536769524662,-0.0515279128410106,-0.0673910970770203,-0.104309461574902,-0.042745461569636,-0.0470363761805426
"C4_Nu_W29",-0.0254867763744029,0.0835627888143781,-0.123351399996626,0.906865073888248,0.574664360738039,-0.051127674970423,-0.0405441301802891,0.00622944504000303,-0.0408183387278455,0.265180406032258,-0.064241628860422,0.0466598870303865,0.195332652682649,-0.0550445826517327,-0.106292487013051,-0.036118284464673,-0.10779064103388,-0.106233385533782,-0.0266294130151813,-0.112677965261965,-0.26899055841018,-0.222150215327783,-0.137923371178425,-0.103875353477396,-0.100356844559063,-0.0998195727873828,-0.151130911916498,-0.0555525028489508,0.00591276581373607,0.0361320898859731,-0.0686944367718409,-0.0612063427795117
"C6_Nu_W42",-0.0981872205449048,-0.26004436713283,-0.0563623880803385,-0.0793121147157326,-0.105671759362071,-0.0717307302491978,0.0160313465774481,-0.0188158944362877,-0.109222641584219,-0.301722952598328,-0.0742768164913934,0.319873421714214,-0.185749891964317,-0.0406152876542421,-0.0590543405203914,-0.0939904375051761,-0.179431131754309,-0.102409972193343,-0.370332536023889,0.0135569588803032,0.282841684143209,0.504368436708898,-0.0463365315978306,-0.0665883123683268,0.0300866070026914,0.951102909398122,0.529552474947986,0.579515608899505,-0.030433446635796,-0.057339086779404,-0.0579855328703212,-0.0758591453986774
