"Gene","GO.terms","ModuleColor","GS.ambient","GS.normoxic","phase1_treatment.GS.both","phase1_treatment.GS.control","phase1_treatment.GS.hypoxic","phase1_treatment.GS.warm","p.GS.ambient","p.GS.normoxic","phase1_treatment.p.GS.both","phase1_treatment.p.GS.control","phase1_treatment.p.GS.hypoxic","phase1_treatment.p.GS.warm","MMlightyellow","MMcyan","MMmagenta","MMdarkorange","MMpaleturquoise","MMsaddlebrown","MMroyalblue","MMdarkolivegreen","MMyellowgreen","MMmidnightblue","MMsteelblue","MMdarkmagenta","MMgreenyellow","MMdarkred","MMlightcyan","MMpink","MMdarkturquoise","MMblack","MMorange","MMgreen","MMsienna3","MMblue","MMgrey60","MMskyblue","MMlightgreen","MMbrown","MMdarkgreen","MMwhite","MMpurple","MMyellow","MMdarkgrey","MMsalmon"
"LOC111099029","GO:0005261;GO:0005886;GO:0030001;GO:0098655","magenta",-0.353805744424898,0.12117252813324,0.0141383160974437,-0.240210407247919,-0.152277052747753,0.393431435743174,0.125922363836817,0.610829852265948,0.952824798734834,0.307672042696324,0.521581825646992,0.0861267840115313,-0.103335723522963,0.499926653860567,0.860944235797213,-0.17731268981304,-0.340048674536158,-0.235413595585182,0.00759091373385635,-0.28740709809033,-0.161464069520551,-0.411089357215202,0.0198710950697354,0.184357883391111,0.169710636473136,0.049778643016976,0.0863821919549405,-0.198157422727154,0.10745285700595,-0.0729860268519469,-0.206316121029398,-0.13647768797637,0.484251924744347,-0.0796904140837225,0.032347082066969,0.210727912094848,0.105792760847078,-0.253432155443313,0.0595116357152257,-0.0352148807396636,-0.244768165197244,-0.134431604943805,0.0719376163244288,0.041425481396036
"LOC111099040","GO:0005515;GO:0007169;GO:0035556","grey60",0.385431893401897,0.221190715536218,-0.481851059035334,0.23796773064771,0.190986157383295,0.00228741030517766,0.0932918014892569,0.348665066669811,0.0314488383017139,0.312347291701194,0.419905361883612,0.992363654816199,-0.234820459515653,-0.252033231844044,-0.0847943577264324,0.248330836752662,0.0620595215873253,-0.0671461233567525,-0.446086414253558,0.202230045277103,0.355165068114146,0.0123867179630295,0.311557501127033,-0.111089178154791,-0.123995033682759,0.257716904390877,-0.303776501257017,0.161209692354129,0.116107484323711,-0.246544344359319,0.0474102798453826,0.0456352065901117,0.217325852528999,0.424104806601243,0.496053287497111,0.0423878680812125,-0.151415246082954,0.130092136493752,0.123516086580687,-0.12941687215595,-0.1207780299282,-0.288994290207776,-0.205769522439128,-0.0978597882447205
"LOC111099041","GO:0016020;GO:0022857;GO:0055085","pink",0.0427145453906887,-0.311341692738175,0.11758187610296,-0.188993207667942,0.249086887170944,-0.157692760894825,0.858089915517766,0.181481984851425,0.621516682073455,0.42486343908433,0.289585650813334,0.506697701362398,-0.0676043685210664,-0.419522438517887,-0.376078282844768,-0.241930448045857,-0.0379882503603221,0.264401690134541,-0.115598171103986,-0.128647343673316,-0.225926665892185,0.230462213944792,-0.178575396068904,-0.537029252744339,-0.395072401937101,0.237039014208748,0.117550611841336,0.802414092020909,0.0950620246588924,0.0206714144068112,0.593442174594342,0.407295774348774,-0.27562885551645,-0.0635572372141283,-0.0100694650743407,-0.0356263237336607,-0.285340300265808,-0.0951518298939105,-0.171128226000504,-0.43014689635785,-0.0459586627590468,-0.216034536342836,0.111643218650619,0.257121877976752
"LOC111099043","GO:0005222;GO:0005223;GO:0005886;GO:0017071;GO:0030553;GO:0044877;GO:0098655","black",0.299927056863117,-0.0642527287775088,-0.225761877517443,0.0587917115467188,0.282370654346605,-0.136040064296468,0.19887225456914,0.787835326351797,0.338535877481226,0.80552164919954,0.227730030250431,0.56739964709932,-0.0861186361580913,-0.19298252112474,-0.036948845628566,-0.0663465945897139,-0.175348911998282,-0.0451173135740288,-0.456870470189474,-0.304373510807226,-0.504461959137494,-0.18085531209919,-0.38104786091681,-0.578268220674283,-0.473858154122879,0.556031500245189,0.0575170380975464,0.073626192252933,0.332420181042349,0.244388770425239,0.407072175508592,0.0979876019054857,0.100321109572226,0.00763771222385654,0.174770113024625,0.237336109223486,0.151903149370724,-0.162191108321373,0.0169138796052201,-0.199144621836524,0.367477146571765,0.316831535344698,-0.156830780750153,-0.0314377610248384
"LOC111099050","GO:0005515;GO:0006886;GO:0031462;GO:0043161;GO:1990756","grey60",0.144297453119137,-0.198125263499696,0.142140344668057,0.0656337010483487,0.0963249715962769,-0.297088777846647,0.543879791689391,0.402402066999853,0.549980956182813,0.783378276733881,0.686225628512953,0.203363249617118,-0.130919945408591,-0.316684372026919,-0.290478144080639,-0.0801272672015118,-0.1539536467514,-0.143039087810027,-0.25957945726561,0.251231186536869,0.0745198104078887,-0.0493629941873714,-0.113302245742738,-0.509980621724683,-0.447908123972557,0.151666489815192,-0.211659409457506,0.0142034288424732,0.228093342907142,0.530982094265827,0.597944155373814,0.4809818788998,0.150034660106911,0.427015393793616,0.548395153849037,0.109117109983489,-0.0905830359363014,0.00568165356806113,-0.00537457470203892,-0.360518942903423,-0.0498603566708978,-0.352455377064898,-0.433845680115138,-0.297874644862661
"LOC111099053","GO:0001731;GO:0003729;GO:0003743;GO:0005850;GO:0006413;GO:0031369","cyan",-0.337720286115413,0.424180017473262,-0.0794777626256596,0.0244885604844994,-0.413927324522527,0.46142948035377,0.145317241957807,0.0623245877425888,0.739076522064718,0.918376238999417,0.0696281934655683,0.0405679836211162,0.264149058255809,0.855341327804889,0.698364017129228,-0.139046629068346,-0.152749100626619,-0.186210261154126,0.289052002639343,-0.0557477604457157,-0.00850265693698617,-0.306359809830817,0.00905304587436608,0.338619352220239,0.441322143443947,-0.1668084393331,-0.00327237286937566,-0.368341577626656,0.25909288029597,-0.0625743141181507,-0.291287135866149,-0.214025583425669,0.324312712177466,-0.177163736394047,-0.144128492775688,0.0283205885617977,0.157379529888366,-0.0841397856388004,0.150425992531426,-0.0265809240141335,-0.228556009925265,-0.0954823358856874,-0.417358218109083,-0.53034024434392
"LOC111099054","GO:0005615","yellow",-0.0483424623766096,0.220013209401057,-0.217422946992351,-0.00341305980967188,-0.0519292177355958,0.256387975880525,0.839610976857964,0.351302476198883,0.357144709883449,0.988605954596936,0.827875478217812,0.275210888047059,0.290430973054227,0.192652647317239,0.0794458372590759,0.0634116786786175,0.479635088915755,0.543955830534115,-0.0852949019002101,-0.000716544021718744,-0.067986048291609,0.200809597588034,-0.100728311682983,0.00857972810083971,0.176028019268521,-0.194485688360614,-0.0907340494500786,-0.142438704812652,-0.0240263064651026,-0.270682255634129,-0.162624797404784,-0.283951527346952,-0.298938182968371,-0.397869523438611,-0.32761175281597,0.0468432749652755,-0.0464938103523614,-0.259712182249766,-0.183218003931901,0.108487788343405,0.524876381612893,0.629859370735188,0.206633491514231,0.0575178553331496
"LOC111099056","GO:0003723;GO:0006396;GO:0008173","brown",-0.0587842395796156,0.079252089003023,0.192461808914653,0.190214752332949,-0.268842321526331,-0.110250654118115,0.805545912743093,0.739792788942717,0.416254343475864,0.421820772684747,0.251736629008712,0.643562667928346,0.12178521859841,0.148675717352242,0.0699620455042636,-0.187879484131134,-0.286659866175265,-0.224687424726743,0.42539861389023,-0.168699074062979,-0.138283804132951,-0.209714304301029,-9.06945675900837e-05,0.535709971928608,0.169550005307595,-0.0599384468630415,-0.11375262315981,-0.210464871973899,-0.194711841353488,0.0571084906308332,-0.380144670601618,-0.00850292306315897,0.20566847015108,0.243681653655749,-0.209691498716922,-0.221295416878992,0.0478732595641768,0.755006216283711,0.342000701579885,0.447823447567301,-0.115710253921505,-0.185257393001514,-0.182177460605936,-0.228199542009884
"LOC111099058","GO:0004930;GO:0005886;GO:0007166;GO:0007189","saddlebrown",-0.0583944222586899,-0.219898155425792,0.171595208147971,-0.152339493564051,0.0941308825549139,-0.0914227800107216,0.806811994222978,0.351560794882631,0.469448063900177,0.521409055339698,0.69303567583796,0.701472435013166,-0.288174465598927,-0.574964134249094,-0.486340512638576,0.106050248999219,0.452744323786808,0.668417829082571,0.126710913364034,0.138843865616637,-0.00526937424396973,0.25215421765017,-0.0892833720297161,-0.309949691176816,-0.363239683477636,-0.0122317108260439,0.00185355244249929,0.419159348282142,-0.218164131946065,0.204658027593448,0.369512380344529,0.191942519749924,-0.109982783191401,0.299240654546159,0.344657984324547,-0.166762000741912,-0.314353090903509,0.17612057579697,-0.150626460049692,-0.175570283961065,-0.108072580879349,-0.401142811201535,-0.0700877593193156,-0.0832220284923886
"LOC111099063","GO:0000209;GO:0000413;GO:0003755;GO:0006457;GO:0061630;GO:0071013","blue",0.361282392011659,-0.423655795569717,-0.0500184529530461,-0.111373517980994,0.532948519286853,-0.368876799157393,0.117565329091176,0.0626833589008432,0.834123096202556,0.640166825603446,0.0155402174380626,0.109491460072336,-0.19305953578386,-0.432555878657665,-0.0448063213419985,0.0658267329679244,-0.102875183597291,-0.0101595613496134,-0.223388321935746,0.0277271485622143,-0.264573223896268,-0.548545442243451,-0.380971254121033,-0.419001566815706,-0.645822105405568,-0.165110259685093,0.0770768514518907,0.0722821041709406,-0.0713662344579643,0.0949321455360799,0.0330175239973738,0.1482680123737,0.593124767530702,0.679168322957661,0.75347415526321,0.295111445769354,0.448656112088339,0.105308946124055,0.319035309357649,0.135154814061937,0.00164451446163472,0.11537394945157,0.0279330419371677,-0.144564992870264
