"Gene","GO.terms","ModuleColor","GS.ambient","GS.normoxic","phase1_treatment.GS.both","phase1_treatment.GS.control","phase1_treatment.GS.hypoxic","phase1_treatment.GS.warm","p.GS.ambient","p.GS.normoxic","phase1_treatment.p.GS.both","phase1_treatment.p.GS.control","phase1_treatment.p.GS.hypoxic","phase1_treatment.p.GS.warm","MMlightyellow","MMcyan","MMmagenta","MMdarkorange","MMpaleturquoise","MMsaddlebrown","MMroyalblue","MMdarkolivegreen","MMyellowgreen","MMmidnightblue","MMsteelblue","MMdarkmagenta","MMgreenyellow","MMdarkred","MMlightcyan","MMpink","MMdarkturquoise","MMblack","MMorange","MMgreen","MMsienna3","MMblue","MMgrey60","MMskyblue","MMlightgreen","MMbrown","MMdarkgreen","MMwhite","MMpurple","MMyellow","MMdarkgrey","MMsalmon"
"LOC111099064","GO:0004521","darkred",0.193209091180747,0.0268126948211781,0.00205251242846611,0.240651696323561,-0.0327014707894966,-0.223876375398639,0.414411989505184,0.910657959650764,0.993147824869433,0.306757109557613,0.891137735679803,0.342692823181468,-0.0459366627399837,-0.107706815309053,-0.0800290495079285,0.0126468169747292,-0.265294599467227,-0.196759398978843,0.120010563371107,-0.209847602441329,-0.235591495405264,-0.211078771506575,-0.14924378546732,-0.0486629455686583,-0.146505002324659,0.764030762225424,0.240227131639443,-0.212927676165527,-0.0946528857518403,0.195206349603357,-0.0173200784297569,-0.160852874571854,0.217751842110718,0.19650943277548,0.301939736068851,0.0198088254079379,0.0898698099459791,0.0452255068358661,-0.00344323372603799,-0.0308247956416226,-0.194568642258834,-0.162462713382359,-0.0801978673141936,-0.0684834478767142
"LOC111099066","GO:0008757","purple",0.282270981067166,-0.311138966557358,-0.0712128366785363,-0.093499330883362,0.423255057715344,-0.258521066126242,0.227901245569435,0.181781526658496,0.765439130954155,0.695000131381622,0.0629586689806403,0.271096743769229,0.288183551443558,0.0554466277689884,-0.0945382453454265,-0.0196797793944542,-0.0861109216762143,-0.129761818227921,-0.214971667723399,-0.0231902370443466,-0.0722458677343465,0.266680224334115,-0.0684308469463271,-0.139045901485395,0.0793529565539453,-0.0733534599772236,-0.262396607713572,-0.0155567208930918,-0.0131814760591893,0.164253519682927,0.109712344162141,-0.111649347488703,-0.262856153085608,-0.28198896286897,-0.0969768862291277,-0.0976522983842392,-0.0505306801619883,-0.289942522615058,-0.241528130789336,-0.0457797258694286,0.833198238794219,0.592752861457554,0.0349915833443998,0.103893482599302
"LOC111099067","GO:0000463;GO:0005634;GO:0008650;GO:0030687;GO:0031167","cyan",-0.234650286879434,0.332543740207544,-0.0341987973557743,0.0764239622151051,-0.350472173892352,0.301184150376314,0.319341010057118,0.151980266333576,0.886183533170008,0.748786314474192,0.129781466370367,0.196904493891196,0.484192049017287,0.907548855370043,0.59990820161219,-0.0582948126633783,-0.110246526184619,-0.149223113289971,0.310449529208036,-0.296522112532054,-0.316340488502436,-0.184172444603227,-0.197515848824823,0.208319184753285,0.445498202736394,-0.0703118603769866,-0.0199024119599828,-0.169270784529257,0.254483379716641,-0.0878691660111247,-0.164007710360196,-0.198387172070227,0.0850870005986987,-0.441374715555113,-0.363995294149244,0.0464170845715562,0.117410695472749,-0.227121563931062,0.014289177639561,-0.140654177181796,-0.0747689242890076,0.0888064196070299,-0.313793243317618,-0.409932200651061
"LOC111099684","GO:0005886;GO:0008253","brown",0.152891119348847,0.298432921219145,0.026519343863441,0.513114519895165,-0.367370842855809,-0.200156043149019,0.519883907244119,0.201228086827486,0.911631745841515,0.0206832065642877,0.111059726763752,0.397497272484736,-0.129568052032407,-0.102565467190387,-0.0313031519713319,0.364607463642943,0.4863322416197,0.142918220298565,0.287741095464602,0.362938403409496,0.14690866234427,-0.0223491242844274,-0.13797301368516,0.369147991758487,0.0287892716807589,-0.0990432186795334,-0.360422456047309,-0.0450856687931116,-0.280597368747235,-0.258376513216306,-0.37472513699815,-0.0726242774595889,-0.0167766753973462,0.209574047138729,-0.211446894546085,-0.124067204136575,-0.120947040104951,0.61993002513646,0.371656953441008,0.420585913371141,-0.223990926639805,-0.254110958333232,0.0147489296024074,-0.0712160052174946
"LOC111099688","GO:0005634;GO:0005737;GO:0051726","sienna3",0.109435402286455,-0.147386907995476,-0.112942991012102,-0.139785649749832,0.27366693127418,-0.0213994388144571,0.646032482828472,0.535195571213449,0.635431847135124,0.55667592350674,0.242997313901466,0.928645763396837,-0.211949674633931,0.0287743630186594,0.537019508706267,-0.0135571886825875,-0.175667071552489,-0.0687691713958238,-0.181712914305325,-0.0804711258220586,-0.17764352949627,-0.638116278793008,-0.154967025979838,0.0665938141296127,-0.255683344812191,-0.0432253483204077,-0.170403450024508,-0.133762769915037,-0.122504520851048,0.030655554373373,-0.257350178634567,0.0629559377630201,0.900806968338742,0.631367266338027,0.582588710074057,-0.0115410598829205,0.469363642392508,0.295095443149559,0.469154123664787,0.297435017153416,-0.175187861492762,-0.150332351519153,-0.216792681108133,-0.337568551129027
"LOC111099690","GO:0009226;GO:0050577","cyan",-0.259644110411247,0.405322321537692,-0.185550096026106,-0.00381017916817975,-0.294276057000568,0.469712208234542,0.268946257988422,0.0762381489490472,0.433502388856644,0.987280321827609,0.207879851290809,0.0366508400248044,0.459736549007236,0.889619149348078,0.482350087427869,-0.0146357115627578,-0.0685018899788789,-0.167791475017258,0.217081082948218,-0.145911639635994,0.250851840080064,0.237559357615321,0.460117980395138,0.646268167331786,0.909347726273418,-0.12696461805294,-0.0537885325503316,-0.210853458488236,-0.0410940497345006,-0.239052894612411,-0.4137248560814,-0.383905852701024,-0.127103012213381,-0.560213959054263,-0.478086765551596,-0.229448775899896,-0.000255062323634896,-0.255211711555018,-0.122214130303677,-0.021517835349762,-0.035079056639949,0.0282026054941876,-0.238927580233492,-0.269019843780353
"LOC111099692","GO:0005515;GO:0005737","darkturquoise",-0.20369096341007,0.0671533852754059,0.0823226659263879,-0.076370852174782,-0.153199787061147,0.157976678635755,0.389038712709202,0.778481040080306,0.730064981376212,0.7489555090591,0.519031413946267,0.50592307679894,0.356374313739038,0.341185488228132,-0.162474330936699,-0.13187403119125,-0.131142672015555,-0.0588207505992278,0.122871766986666,-0.115024429898602,-0.194855825665016,0.0947606279606421,-0.219901566498391,-0.53076877526805,-0.0618389202985361,0.0466043689659189,-0.0292147813372462,0.256326624181211,0.825527481884064,0.221578585470003,0.642109113327416,0.124997329833116,-0.276698251666471,-0.312863934443325,-0.00711462561278685,-0.119959781935105,-0.360095813866036,-0.32773276721512,-0.419105167296286,-0.719653836295977,-0.107083910936357,-0.101755488147155,-0.223505534075738,-0.121755638869833
"LOC111099693","GO:0003713;GO:0042800;GO:0044666;GO:0045944","orange",-0.212085055337831,-0.290992071638031,0.24475665489042,-0.332509616436653,0.108227924095012,0.0175706644174332,0.369358967080029,0.213236679513395,0.298325271967699,0.152024881565335,0.649697106732641,0.941389117228062,-0.124347571647235,-0.303162771711503,-0.478035551266238,0.110974643792544,-0.00285412333085918,0.150245430760619,-0.0821298260874234,-0.230319577136102,-0.272090674830371,0.172253864632075,-0.149127065432423,-0.816217451942074,-0.43525234263833,0.03834684932614,0.217670465785801,0.3500183312845,0.489725761435548,0.447528070542633,0.876514759136953,0.316841310338543,-0.214880344122497,0.0264365577335886,0.467171279589869,0.091052922407131,-0.429858321822579,-0.400902371601214,-0.5946061049812,-0.759025195880317,0.0619682873808236,-0.141186103622913,-0.0347326473694835,-0.0705700316798067
"LOC111099696","GO:0000030;GO:0005515;GO:0005783;GO:0035269","cyan",-0.409994531226093,0.224313883899957,-0.0427770090387629,-0.238917514090786,-0.218201323416461,0.510563562167108,0.07259363659606,0.341725607782449,0.857884411306366,0.310362110063648,0.355383268786121,0.0214327723081529,0.364701848529479,0.743878758326886,0.269769820132766,-0.0497327596857318,-0.00186081293577128,0.038420524074692,0.110666110339502,-0.260799685024961,-0.183183381167817,0.131623028009289,-0.0236487892701127,-0.168264771246517,0.354213005906939,-0.16047611535807,0.0570377085483863,0.0320315510922228,0.628399329700194,0.288084645811337,0.343318660542786,-0.209050239586092,-0.203681320305064,-0.616423551496396,-0.236279128719074,-0.0768448588282685,-0.0700770246468277,-0.534741898272141,-0.351927875952692,-0.536914654214185,-0.028366151712918,0.0543213126609279,-0.374793318908639,-0.344575969870531
"LOC111099700","GO:0004252;GO:0005777;GO:0016485;GO:0031998","blue",0.449924856974835,-0.381710731032754,-0.100890596158834,-0.0140098925104738,0.531750982016304,-0.423725564863713,0.0465372636874978,0.0967696281645424,0.67212968084588,0.953252858154948,0.0158182347135076,0.0626355198946928,-0.185564757693803,-0.562035942432481,-0.22801076132345,0.224624048318126,-0.0293810203920651,0.00176236864637381,-0.241114021566384,-0.0357870999897374,-0.103526767414969,-0.111264174928714,-0.0948939777231044,-0.237488798135949,-0.446498918714477,0.0147813521255142,-0.163662719880186,0.384618116704351,-0.274515429790179,-0.170797313971358,0.120329933876781,0.383106092212702,0.337036024547953,0.652873462914823,0.609259902937414,-0.0602170992525008,-0.103720864161234,0.316113137627319,0.0902526642063309,-0.0311051384518618,-0.146856452744137,-0.331499429588237,-0.0057300437615136,0.256358777749665
"LOC111099701","GO:0005515;GO:0015347;GO:0016323;GO:0043252;GO:0055085","blue",0.0404205827137863,0.00569394039013819,-0.0374946060229082,0.0173348869673111,0.0280941939534156,-0.0118036805130075,0.865642993956896,0.980992591544829,0.87529325263753,0.942174337205606,0.906405445150664,0.960608397945258,0.0351215454235567,0.132406840941225,0.20034004759228,-0.0975884517654259,-0.329890504584472,-0.247451349110662,0.164162653796877,0.0112431277795863,0.183786440842961,-0.367673534475692,0.235915336728841,0.199004382006974,0.0898078636896504,-0.201366659306595,0.0312282954546683,-0.317352520142846,-0.153892724120037,-0.164843990351474,-0.329412487274066,-0.0166613192761462,0.45919875787284,0.452406426179574,0.508004078418137,0.513140613866893,0.2655287080378,-0.0455754156385677,0.203409825419805,0.0771720833576952,-0.229930984371818,-0.147838239285627,-0.127607316195506,-0.353908842566124
"LOC111099702","GO:0008270","brown",0.305428843158877,0.0743576066217595,-0.00402743279449438,0.408788446737345,-0.0817100028441945,-0.34719064166429,0.190356582842353,0.755377259353123,0.986555116139129,0.0735216985208304,0.732002827616247,0.133661508735526,0.229669984760799,-0.316497235460447,-0.397710452029324,0.0828278370522621,0.0838839041331457,0.133894102647454,-0.109687879650536,-0.262199361815657,-0.522995986175544,-0.0195953538899892,-0.415937477831791,-0.170199342671815,-0.334663488916002,0.0776967970285372,0.00422662655359464,0.176936090411119,-0.101113696665531,0.165238297535744,0.142195895810805,0.112902371522355,-0.164873313151648,0.147795996934623,-0.164057389146027,0.0748910852612032,-0.141193300296796,0.549501144455335,0.158271486284905,0.169067875545629,0.192074776983028,0.158459363335845,-0.0107338414339825,-0.00555247257087976
"LOC111099708","GO:0005515","skyblue",0.111831476464184,-0.00629971787190996,-0.104594700176342,0.0232696798630982,0.103858270078331,-0.0318641391964786,0.638783805993121,0.978970803565548,0.660770242233376,0.92242690651665,0.663023080169775,0.893909919500723,-0.138563039448594,-0.209515076101162,-0.120448743512949,0.0727718742224174,-0.204421725525697,-0.183053138959701,-0.203306546806262,-0.139856079206105,-0.206194507132587,-0.265273282249423,-0.127038394067657,-0.478955856030636,-0.416298043316127,-0.156847515945755,0.0212008148782469,-0.159682750470267,0.475400069692877,0.287811706611024,0.327603644675345,-0.0315085222704897,0.106828225063042,0.265328684764406,0.476564108567457,0.696706765984117,-0.0740682053439282,-0.152073352189332,-0.0806169947455818,-0.262587430502927,-0.0272473189972358,0.036226732538745,-0.021991897856328,0.143332007278511
"LOC111099717","GO:0004222;GO:0005615;GO:0006508;GO:0008270;GO:0030198;GO:0030574;GO:0031012","orange",-0.121065994671721,-0.11773691473897,0.23978846485872,-0.0499447537457573,-0.0862376790699739,-0.0824128574241702,0.611145852685329,0.621053711506717,0.308548405437194,0.834364264375972,0.717719449300707,0.729779839354913,0.206171269878732,-0.147402882133785,-0.426327431165234,0.161179174280089,-0.0445512194409754,0.00881329442356092,-0.106715264420854,-0.118089835524513,-0.219510116121681,-0.0532262717682795,-0.205641514545887,-0.62826468715975,-0.390647632201173,-0.19498529561595,0.0966257399622556,0.0258180632154718,0.406800350781702,0.468287621048859,0.706727929690469,0.455214739838364,0.0377853157515556,0.34366672378063,0.599388262773733,0.0717184802822656,-0.330233888543775,-0.0842989434040818,-0.395754493187796,-0.596936010844832,-0.282159011206925,-0.312965496766319,-0.240958435615201,-0.189736474927676
"LOC111099718","GO:0004558;GO:0005975;GO:0030246","darkgreen",0.503720356752263,0.123701681483074,-0.406318931092235,0.326477859671324,0.233218939036385,-0.203389278351264,0.0235505744859173,0.603347410285469,0.0754495557059809,0.160054830113236,0.322387196646409,0.389756667563053,-0.0638603732239548,-0.17228446552609,0.158512915228268,-0.0536101057125391,-0.0774722502545615,-0.143070228682123,-0.273143009123405,0.297499896579784,-0.0986978530675281,-0.588211358200547,-0.388170304824551,-0.109442834073926,-0.457758731037413,-0.139540628163697,0.0173398454160833,-0.0580573263564578,0.00100817933897742,-0.156598434123051,-0.27911589153438,0.038137396317637,0.597541764462464,0.63432012554343,0.35378333726999,0.149435516897376,0.362049209097052,0.580433933272108,0.701233184055277,0.409890808915249,0.151304327068198,0.196388600741681,-0.306351323061328,-0.397651590973542
"LOC111099722","GO:0005515;GO:0016020","darkturquoise",-0.109166455423739,0.260789710835718,-0.0470403278966447,0.123545119086028,-0.25617057273543,0.168876701974668,0.646848044882648,0.266763636977993,0.843879637055539,0.603809501144985,0.275632372922453,0.476621066298714,0.000388353577589378,0.0947786018788048,-0.337362144959495,0.164637859249692,0.255584233687748,0.127688200662595,0.162963952016778,0.144432994167948,0.0778806540540179,0.123524035773948,-0.0297316666610819,-0.307461487546376,-0.0307947233365982,-0.0649659054993062,-0.00264163433551088,-0.0412396473735816,0.605947424678203,0.346221747868614,0.369436962437206,-0.220100252725168,-0.331721657327534,-0.217772475581685,0.0175896086031512,0.202667612368412,-0.017060219407543,-0.235477619715747,-0.143272391977286,-0.363846382743875,-0.285058865345874,-0.119336984647229,-0.281250814520289,-0.237542779678025
"LOC111099724","GO:0005515;GO:0008175;GO:0030488;GO:0031591","greenyellow",-0.134942413542285,0.0826169516913991,0.0588472271033764,-0.00543951243971812,-0.149280390786166,0.100676289799024,0.57055928233098,0.729134717800266,0.805341380194825,0.981841781154734,0.529904923917902,0.672789024838543,0.124641121150349,0.232781908148004,-0.148773795819468,-0.0723230468978199,-0.146355017156119,-0.154813824791665,0.427482185141781,-0.106578938997889,0.394255228483537,0.458796476074317,0.689385068820703,0.726438443097242,0.714549755923944,-0.149344873644413,-0.252208110129524,-0.107748763141637,-0.268377113109769,-0.172523032566658,-0.383578161341932,-0.195741107463843,-0.350184165845181,-0.211466127359969,-0.395463201210739,-0.208887688634957,-0.207948835275041,0.2297101733837,-0.101910487367108,0.206096254656355,0.211617477293769,-0.065154526693554,-0.0870439985458461,-0.130779816585976
"LOC111099725","GO:0000813;GO:0008333;GO:0015031;GO:0036211;GO:0043130","darkgrey",0.052538402451734,-0.327592583165843,0.164782088593838,-0.15477080238441,0.224156050175831,-0.212581201978252,0.825885702410434,0.158549217507456,0.487527627786825,0.514702758997943,0.342074352131969,0.368213786460759,-0.212185700216096,-0.24090522443852,0.155351346677942,-0.0663300918658056,0.0333794024888564,0.0993514539547969,-0.0517660253942261,-0.025583061278163,-0.0700485320477178,-0.273376577908925,-0.092716852308627,0.164610417617692,-0.15166168562157,-0.016066798837744,-0.0914722746203354,-0.00442735432252201,-0.277912798702111,-0.0296487515629705,-0.343122631543889,-0.225735322784673,0.166751964134416,0.0155290737264293,-0.100593304247543,0.139757078255128,0.597393002892872,-0.0310362104194505,0.313264645542982,0.514874676589214,-0.173563004306086,0.233418783655902,0.654244235434085,0.454481075639606
"LOC111099729","GO:0000712;GO:0000727;GO:0003677;GO:0005634;GO:0006308;GO:0008821;GO:0031573;GO:0043130;GO:0048257;GO:0048476","steelblue",-0.283961907377363,0.264948929763408,-0.223852569743261,-0.21603541637122,-0.097616998791722,0.533033539472036,0.225007969121901,0.258933258960098,0.342745497001054,0.36029707780505,0.682226240577089,0.0155206295195596,-0.0701277033381847,0.223656588202763,-0.0403395331043616,-0.00239726604998745,-0.0175048669285151,0.0722940593598532,0.0179951541285011,-0.279208365973196,0.368189932486619,0.611518092817636,0.82373426240419,0.42259186626919,0.691347371086933,0.196683881997786,0.19113250143377,0.115545490110286,-0.114769577035602,-0.176117253199655,-0.0794238811653763,-0.234356310201212,-0.412102807261596,-0.496638066139035,-0.348059417862623,-0.160901144952545,-0.234826209425812,-0.279606616907613,-0.348115983782179,-0.191140272470688,0.0283443247880703,-0.143144739393632,-0.126262271260629,-0.0153328852607344
"LOC111099731","GO:0005515;GO:0005680;GO:0010997;GO:0031145;GO:1904668;GO:1905786;GO:1990757","greenyellow",-0.237423346761696,-0.204869614360545,0.0517395664533782,-0.435000219541879,0.187582302621867,0.224983693653277,0.313488568740499,0.386240800138593,0.828495141601155,0.0552604094301158,0.428392302010474,0.340247931898781,-0.0280553864568324,0.212758100646332,0.0692372879377792,0.0356800335025827,-0.196328860375781,-0.165143601127574,0.261404198898917,-0.323499052826762,0.139074980833103,0.48161649986985,0.526124267503098,0.450686827524888,0.580543658609131,-0.123633777950292,0.106855876313971,0.0876826424911279,-0.261317287504136,-0.0396852713382071,-0.0959571189195367,-0.0989551388788278,-0.230358999415939,-0.347936813650191,-0.239312392080046,-0.424250163769043,-0.313120153038358,-0.125783565926931,-0.424970391328724,-0.133748974778201,0.0166967232494117,-0.254738798131736,-0.0913272501333578,0.386339636058993
"LOC111099735","GO:0016192;GO:0046872;GO:0071782;GO:0071787;GO:0072659","salmon",-0.0408825201433648,-0.15033460425549,0.0787940066076379,-0.138812143780235,0.0999345249369148,-0.0258163458583358,0.864121100186679,0.526969876439734,0.74124733323083,0.559454396924242,0.675072942888085,0.913965857281397,0.108331655556498,-0.227265272469813,-0.349273122914975,0.170160548645683,0.28309266505484,0.238362154727043,-0.198874966014634,0.257101464225372,0.341142170360168,0.430723131299868,0.195450267078312,-0.171571851769407,0.0158527067381959,-0.201005630485295,-0.191996105921057,-0.0534176609905961,-0.0110440322623009,0.224712956193075,0.330132673705388,0.0577855938314043,-0.330863557335581,-0.0618294853228661,0.183515943378091,-0.189759750407719,-0.380736137842821,-0.304628419598379,-0.508359544232457,-0.294738589149468,-0.161321207902607,-0.190503059450899,0.163339476331585,0.585572787890273
