"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"1","LOC111116054",8.73976335174402,0.00391862893411993,0.0885159472206365,0.610168746303506,0.541750030813626,0.986376988701352,0.968931195433391,0.852423460610706,15.2400130413943,10.8742931863067,12.3725449504634,1.04120272983656,13.9466949034799,2.14255279120189,1.04938944715092,1.53590893056254,6.91797913086831,6.32240918533363,6.87608595382982,6.28790942661749,20.3870787735739,27.6308829303459,15.3623933635793,0,2.219589836915,27.1000418028699,11.1388828294047,8.23262178977022,0.989200856370717,2.49445776962675
"2","LOC111126949",670.509082397718,0.00102852562373993,0.0432561587690786,0.254224261292406,0.799322308380868,0.999634105619852,0.979735682397435,555.78009631818,498.157926290576,371.398936516937,1617.42905806966,634.092462470463,457.625926520435,1152.69340166662,567.719690908649,434.662227349199,424.072120722227,1038.13958823178,431.22881910447,821.021316561198,574.660782930115,579.295752470699,762.998870391105,516.68904508748,1007.69378595941,1455.1544185454,250.624863661605,372.297452048498,486.686821334393,411.585531988413
"3","LOC111110729",160.018312911164,0.00189620971940986,0.0296575439788725,0.521894424290761,0.601743840663211,0.990498260713974,0.983740757649582,178.156503267638,168.592644270425,173.152206889653,173.215629306487,191.581302289927,129.006927857189,154.263800966536,168.951700991298,119.032942118597,179.175659489489,235.193621694411,176.813638812767,183.247646147138,173.290169575378,143.871149051111,226.339262223402,187.529272709415,170.908417442455,75.4088119732031,84.4698614563186,128.063005618648,116.725701051745,143.431321753538
"4","LOC111112434",13.0480739457338,-0.00402269997054481,0.0757179316903012,-0.724958123862761,0.468477721084701,0.976962700256115,0.97079305840025,5.96696422427494,1.90500163017429,8.36484091254363,21.3707594598912,18.741649137058,9.58835274614246,18.2116987252161,22.0371783901694,13.8231803750629,12.452362435563,24.0251549042678,7.85838394723408,35.0326382340117,7.64515454009023,5.7167343993819,25.6039889392988,6.55696757725228,17.75671869532,0,9.28240235783721,6.40315028093239,21.7624188401558,0
"5","LOC111120752",403.233516656779,-0.00171555581929515,0.0402548990520597,-0.421774092499323,0.673189917564795,0.997381110221817,0.980701455200031,499.520147917874,397.192839891339,324.555827406693,227.204916363054,343.596900846064,739.174829884437,252.821229361823,163.704753755544,536.800171231608,492.560114117824,212.43294862721,495.078188675747,214.687193280226,354.225493690847,386.832361024842,288.812995235291,301.620508553605,318.141209957816,539.644310683235,862.335179043077,396.080581663389,614.293731806215,313.054450088157
"6","LOC111128944",1.59456897844446,-0.0376268936974204,0.407471776289499,-1.23720597344187,0.21601062444286,NA,0.855555094979701,0,0,0,0,0,0,2.14255279120189,4.19755778860369,0,4.15078747852099,0,0,0,17.8386939268772,1.9055781331273,0,0,1.47972655794333,0,3.71296094313488,0,0,1.24722888481337
"7","LOC111128953",0.075797254910217,-0.00573788199006085,0.347664142662905,-0.212301023786417,0.831872196769703,NA,0.949213367889733,0,0,0,0,0,1.74333686293499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","LOC111105691",17.385312926618,0.000251425327870324,0.125143629201873,0.025378463577279,0.97975308915066,0.999634105619852,0.968742882886109,11.0815049879392,16.1925138564815,2.50945227376309,38.2424116650685,3.12360818950967,2.61500529440249,43.9223322196387,9.44450502435829,0,0.691797913086831,26.5541185784012,31.4335357889363,0,0,1.9055781331273,51.2079778785976,0,118.378124635467,10.6043641837317,0,0,25.7192222656386,6.23614442406687
"9","LOC111105685",0,0,1.19712626867421,NA,NA,NA,0.887658934728187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","LOC111105702",0,0,1.19712626867421,NA,NA,NA,0.887681430686982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
