"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"1","LOC111116054",8.73976335174402,0.0210543408954996,0.179445223164966,0.618577336981071,0.536194835518369,0.909961454404968,0.981589732878237,0.852423460610706,15.2400130413943,10.8742931863067,12.3725449504634,1.04120272983656,13.9466949034799,2.14255279120189,1.04938944715092,1.53590893056254,6.91797913086831,6.32240918533363,6.87608595382982,6.28790942661749,20.3870787735739,27.6308829303459,15.3623933635793,0,2.219589836915,27.1000418028699,11.1388828294047,8.23262178977022,0.989200856370717,2.49445776962675
"2","LOC111126949",670.509082397718,-0.0135661375494725,0.150447651092651,-0.259778790344164,0.795034412272862,0.968975668759594,0.987771284191623,555.78009631818,498.157926290576,371.398936516937,1617.42905806966,634.092462470463,457.625926520435,1152.69340166662,567.719690908649,434.662227349199,424.072120722227,1038.13958823178,431.22881910447,821.021316561198,574.660782930115,579.295752470699,762.998870391105,516.68904508748,1007.69378595941,1455.1544185454,250.624863661605,372.297452048498,486.686821334393,411.585531988413
"3","LOC111110729",160.018312911164,0.265731412834769,0.187154051086043,2.90468327524458,0.00367624901496039,0.221461346322768,0.98388392121715,178.156503267638,168.592644270425,173.152206889653,173.215629306487,191.581302289927,129.006927857189,154.263800966536,168.951700991298,119.032942118597,179.175659489489,235.193621694411,176.813638812767,183.247646147138,173.290169575378,143.871149051111,226.339262223402,187.529272709415,170.908417442455,75.4088119732031,84.4698614563186,128.063005618648,116.725701051745,143.431321753538
"4","LOC111112434",13.0480739457338,0.0344570004756419,0.178803486996391,0.881392986200242,0.378105152575431,0.851299107144951,0.980203574520662,5.96696422427494,1.90500163017429,8.36484091254363,21.3707594598912,18.741649137058,9.58835274614246,18.2116987252161,22.0371783901694,13.8231803750629,12.452362435563,24.0251549042678,7.85838394723408,35.0326382340117,7.64515454009023,5.7167343993819,25.6039889392988,6.55696757725228,17.75671869532,0,9.28240235783721,6.40315028093239,21.7624188401558,0
"5","LOC111120752",403.233516656779,-0.103390295938278,0.171058101647791,-1.61465392431616,0.106385660752626,0.638837795545966,0.983173089997136,499.520147917874,397.192839891339,324.555827406693,227.204916363054,343.596900846064,739.174829884437,252.821229361823,163.704753755544,536.800171231608,492.560114117824,212.43294862721,495.078188675747,214.687193280226,354.225493690847,386.832361024842,288.812995235291,301.620508553605,318.141209957816,539.644310683235,862.335179043077,396.080581663389,614.293731806215,313.054450088157
"6","LOC111128944",1.59456897844446,0.0127967021516864,0.230007516887713,0.650468763129746,0.515389472680081,0.904119706367381,0.969990968942448,0,0,0,0,0,0,2.14255279120189,4.19755778860369,0,4.15078747852099,0,0,0,17.8386939268772,1.9055781331273,0,0,1.47972655794333,0,3.71296094313488,0,0,1.24722888481337
"7","LOC111128953",0.075797254910217,0,0.26343829642592,0,1,NA,0.9762457355687,0,0,0,0,0,1.74333686293499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","LOC111105691",17.385312926618,-0.0153053378697509,0.197783751727605,-0.61805231896707,0.536540851374646,0.909961454404968,0.977125913336427,11.0815049879392,16.1925138564815,2.50945227376309,38.2424116650685,3.12360818950967,2.61500529440249,43.9223322196387,9.44450502435829,0,0.691797913086831,26.5541185784012,31.4335357889363,0,0,1.9055781331273,51.2079778785976,0,118.378124635467,10.6043641837317,0,0,25.7192222656386,6.23614442406687
"9","LOC111105685",0,0,1.13219020531654,NA,NA,NA,0.990681834007096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","LOC111105702",0,0,1.13219020531654,NA,NA,NA,0.990682085062328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","LOC111133554",3.80229099386594,0.123571705427795,0.635085003725637,2.36898083717631,NA,NA,0.811027710101661,39.2114791880925,1.90500163017429,2.50945227376309,3.37433044103546,0,6.97334745173997,3.21382918680283,0,0,0.691797913086831,2.52896367413345,1.96459598680852,0,2.54838484669674,0,22.531510266583,0,0,0,0,0,0,0
"12","LOC111125466",2.66363967308813,0.0125593220127028,0.22394201197552,0.626362261161535,0.531077356997955,0.908805915003371,0.971059814217527,0.852423460610706,0,0,0,0,0,6.42765837360567,0,1.53590893056254,0.691797913086831,17.7027457189342,16.6990658878724,0,0,0,8.19327646057562,0,0,0,0,0,7.91360685096574,1.24722888481337
"13","LOC111128964",0.852423460610706,0,0.26343829642592,0,NA,NA,0.976247253814348,19.6057395940462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","LOC111113860",671.838462818893,0.0495836503082305,0.172654242394243,1.04581520944399,0.295646357633127,0.808153708132347,0.982102550023862,796.1635122104,707.708105609748,1329.17322100318,229.454469990411,807.973318353169,306.827287876559,700.614762723018,806.980484859059,563.678577516453,443.442462288659,2464.47510044305,450.874778972555,618.909942134207,761.967069162326,649.80214339641,947.347590754056,352.764855656173,433.559881477396,361.726644933959,41.7708106102674,150.016663724702,753.771052554486,773.281908584292
"15","LOC111109550",32.7661216465863,-0.0149315876442293,0.185703368761304,-0.516497798049229,0.605506776454487,0.931305831441655,0.980565173815356,0,18.0975154866557,13.3837454600698,0,1.04120272983656,6.97334745173997,36.4233974504321,32.5310728616786,10.7513625139378,38.7406831328625,146.67989309974,0,23.3550921560078,89.193469634386,0,63.4978925694611,2.62278703090091,15.537128858405,28.2783044899512,144.80547678226,40.2483731944322,22.7516196965265,18.7084332722006
"16","LOC111109753",30.2884888292859,0.004716448590656,0.180666185565442,0.159582043510678,0.873210324891734,0.982032994598982,0.983566020099479,5.11454076366424,3.81000326034858,27.603975011394,0,0,20.0483739237524,27.8531862856246,34.6298517559804,26.8784062848445,85.7829412227671,46.7858279714688,54.0263896372343,57.4894576147885,78.999930247599,0,0,31.4734443708109,40.6924803434416,15.3174149320569,98.3934649930744,32.0157514046619,0.989200856370717,8.73060219369361
