"Sample","raw.reads","paired.reads","total.success.paired","overall.align.rate.percent","aligned.paired.reads","total.assigned.reads","paired.assigned.reads","align.assign.percent"
"H5_B3_B34",71441382,35696268,71392536,81.62,29135293.9416,42424939,21212469.5,72.81
"H5_C2_B22",62468244,31211944,62423888,83.63,26102548.7672,36908449,18454224.5,70.7
"H5_C4_B46",62896736,31425625,62851250,82.08,25794153,38386087,19193043.5,74.41
"H5_Nu_B35",79136700,39544244,79088488,80.23,31726346.9612,47906115,23953057.5,75.5
"H6_C3_B36",69471212,34712833,69425666,83.46,28971330.4218,39876122,19938061,68.82
"H6_H3_B35",98631262,49286324,98572648,82.63,40725289.5212,60750860,30375430,74.59
"H6_Nu_B45",80659268,40306736,80613472,82.67,33321578.6512,50180425,25090212.5,75.3
"W1_C1_G02",70608548,35279635,70559270,81.8,28858741.43,42218718,21109359,73.15
"W1_C6_G61",110356022,55143003,110286006,82.98,45757663.8894,67832209,33916104.5,74.12
"W1_H5_G49",109920476,54925384,109850768,82.87,45516665.7208,68222124,34111062,74.94
"W1_Nu_G02",109564264,54750722,109501444,80.29,43959354.6938,68733213,34366606.5,78.18
"W1_W1_G01",74102990,37014686,74029372,80.53,29807926.6358,44575510,22287755,74.77
"W1_W6_G62",99417786,49678690,99357380,81.06,40269546.114,60924943,30462471.5,75.65
"W2_B2_G04",62928490,31441638,62883276,86.19,27099547.7922,37967301,18983650.5,70.05
"W2_B6_G64",64965726,32460675,64921350,82.62,26819009.685,39225421,19612710.5,73.13
"W2_C2_G15",72998874,36469104,72938208,84.15,30688751.016,43307833,21653916.5,70.56
"W2_Nu_G15",78493098,39219238,78438476,82.62,32402934.4356,48731374,24365687,75.2
"W3_B5_G54",82111234,41024946,82049892,82.87,33997372.7502,49901592,24950796,73.39
"W3_C3_G29",65430834,32692631,65385262,83.77,27386616.9887,38141684,19070842,69.64
"W3_H2_G18",67213104,33585007,67170014,81.52,27378497.7064,39896850,19948425,72.86
"W3_H3_G30",98282712,49109705,98219410,83.03,40775788.0615,61601139,30800569.5,75.54
