Sample,Assigned,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity
counts_B1_B1_O01.bam,42575470,20404042,0,0,0,0,0,0,8764110,0,0,1325055,0,3709262
counts_B1_Nu_O03.bam,60154873,28795872,0,0,0,0,0,0,13904187,0,0,1844923,0,4995194
counts_B1_W5_O50.bam,40669850,19026018,0,0,0,0,0,0,10003575,0,0,1164887,0,3535442
counts_B2_B5_O51.bam,44831889,22358261,0,0,0,0,0,0,10875146,0,0,1308727,0,3798714
counts_B2_C4_O40.bam,44115239,22923083,0,0,0,0,0,0,15346996,0,0,1391699,0,3789417
counts_B2_Nu_O12.bam,60625126,30867204,0,0,0,0,0,0,12780841,0,0,1492057,0,4820846
counts_B3_B4_O41.bam,37091070,19319640,0,0,0,0,0,0,9204633,0,0,1092125,0,3219502
counts_B3_C3_O30.bam,37865842,19900783,0,0,0,0,0,0,23269328,0,0,1250241,0,3649860
counts_B3_C6_O66.bam,63178185,31189138,0,0,0,0,0,0,8816659,0,0,1727777,0,5293893
counts_B3_H4_O41.bam,38105913,21535730,0,0,0,0,0,0,8579598,0,0,1184731,0,3215879
counts_B3_Nu_O24.bam,665171,3006402,0,0,0,0,0,0,2676485,0,0,25844,0,61090
counts_B3_W1_O06.bam,40931099,22460905,0,0,0,0,0,0,10488030,0,0,1489656,0,3794910
counts_B3_W4_O41.bam,38019524,19263392,0,0,0,0,0,0,15330381,0,0,1185876,0,3406005
counts_B4_B2_O19.bam,39780264,23112439,0,0,0,0,0,0,9397438,0,0,1279322,0,3620690
counts_B4_B3_O32.bam,40504300,18999415,0,0,0,0,0,0,25188436,0,0,1227841,0,3820055
counts_B4_C5_O56.bam,43122237,21214263,0,0,0,0,0,0,12375525,0,0,1140267,0,3434245
counts_B4_H1_O07.bam,30747821,19626807,0,0,0,0,0,0,20292805,0,0,648372,0,2990845
counts_B4_H5_O55.bam,35324840,20470812,0,0,0,0,0,0,8169015,0,0,934180,0,2973886
counts_B4_Nu_O32.bam,66689931,31291569,0,0,0,0,0,0,9721031,0,0,1785744,0,5764876
counts_B4_W2_O19.bam,38469463,18635542,0,0,0,0,0,0,11444698,0,0,1147405,0,3467554
counts_B4_W6_O67.bam,41387258,23681931,0,0,0,0,0,0,7674464,0,0,1327779,0,3940345
counts_B5_B6_O69.bam,53009735,26877586,0,0,0,0,0,0,7855428,0,0,1574220,0,4830959
counts_B5_C1_O09.bam,39824107,20552599,0,0,0,0,0,0,42767168,0,0,1021088,0,2987080
counts_B5_H2_O21.bam,44647126,23508704,0,0,0,0,0,0,12491870,0,0,1357219,0,3945093
counts_B5_Nu_O36.bam,49410523,23444815,0,0,0,0,0,0,6664346,0,0,1336058,0,4094261
counts_B5_W3_O33.bam,42459014,22392591,0,0,0,0,0,0,7414685,0,0,1341979,0,3602293
counts_B6_C2_O24.bam,40242101,21443280,0,0,0,0,0,0,8178629,0,0,1251123,0,3541054
counts_B6_H3_O35.bam,55199931,28080589,0,0,0,0,0,0,10902176,0,0,1736926,0,4591824
counts_B6_H6_O72.bam,36535518,18423202,0,0,0,0,0,0,10735582,0,0,1098201,0,3039880
counts_B6_Nu_O47.bam,51563550,24273499,0,0,0,0,0,0,7155532,0,0,1425535,0,4122895
counts_C1_C4_W37.bam,44336069,20031358,0,0,0,0,0,0,14229411,0,0,1007461,0,3842354
counts_C1_H2_W13.bam,66034479,34830340,0,0,0,0,0,0,9517570,0,0,1970669,0,5690782
counts_C1_H6_W62.bam,37765471,20559047,0,0,0,0,0,0,7208104,0,0,1133336,0,3274770
counts_C1_Nu_W01.bam,59646519,26884875,0,0,0,0,0,0,7825943,0,0,1620673,0,4465645
counts_C1_Nu_W05.bam,49916509,25120433,0,0,0,0,0,0,6389406,0,0,1605894,0,4147695
counts_C2_B2_W16.bam,38023382,18924416,0,0,0,0,0,0,11449626,0,0,1151019,0,3404878
counts_C2_C1_W03.bam,39986015,20864009,0,0,0,0,0,0,8152934,0,0,1259990,0,3575085
counts_C2_H1_W04.bam,38092071,19972214,0,0,0,0,0,0,7357657,0,0,1052182,0,3199525
counts_C2_Nu_W15.bam,52517707,28403382,0,0,0,0,0,0,6931550,0,0,1517174,0,4414955
counts_C2_W2_W15.bam,42521618,23987086,0,0,0,0,0,0,13666728,0,0,1193765,0,3751508
counts_C3_B3_W30.bam,37397199,18196417,0,0,0,0,0,0,20016386,0,0,1148632,0,3330800
counts_C3_C2_W17.bam,43087326,22159524,0,0,0,0,0,0,11520187,0,0,1313426,0,3843402
counts_C3_Nu_W21.bam,68767717,31002720,0,0,0,0,0,0,8864800,0,0,1936517,0,5469122
counts_C3_W3_W29.bam,37434664,18641763,0,0,0,0,0,0,24857687,0,0,1086474,0,3257574
counts_C4_B1_W07.bam,40674492,19893684,0,0,0,0,0,0,6997823,0,0,1266979,0,3786743
counts_C4_B5_W56.bam,54672970,32217744,0,0,0,0,0,0,10506261,0,0,2059976,0,5151688
counts_C4_C6_W67.bam,53959449,26443910,0,0,0,0,0,0,8260137,0,0,1681465,0,4652584
counts_C4_H5_W56.bam,37112613,18497846,0,0,0,0,0,0,6771770,0,0,1122554,0,3126927
counts_C4_Nu_W29.bam,71502533,33136645,0,0,0,0,0,0,12187822,0,0,1974886,0,5894671
counts_C5_B4_W46.bam,40189615,21804559,0,0,0,0,0,0,11805599,0,0,1202089,0,3537366
counts_C5_C3_W33.bam,48462845,25324067,0,0,0,0,0,0,8819561,0,0,1505899,0,4477221
counts_C5_W1_W09.bam,37690845,20639812,0,0,0,0,0,0,16095834,0,0,1213853,0,3385539
counts_C5_W4_W45.bam,39163880,20124006,0,0,0,0,0,0,8960147,0,0,1079955,0,3278610
counts_C6_B6_W71.bam,45888315,22248584,0,0,0,0,0,0,10452444,0,0,1268876,0,3979385
counts_C6_C5_W59.bam,49075515,23721367,0,0,0,0,0,0,8680710,0,0,1436989,0,4235635
counts_C6_H3_W36.bam,51033796,24728060,0,0,0,0,0,0,8551507,0,0,1440407,0,4280595
counts_C6_H4_W48.bam,41763723,21798553,0,0,0,0,0,0,7885947,0,0,1234946,0,3508149
counts_C6_Nu_W42.bam,50540929,25403266,0,0,0,0,0,0,6602398,0,0,1471126,0,4428275
counts_C6_W6_W72.bam,40728103,20538992,0,0,0,0,0,0,7797097,0,0,1182255,0,3547452
counts_C_W5_W52.bam,41459130,23531515,0,0,0,0,0,0,11922202,0,0,1382868,0,3768372
counts_H1_B2_B13.bam,36379184,19291541,0,0,0,0,0,0,6833091,0,0,1101925,0,3304535
counts_H1_B6_B61.bam,39281692,22326610,0,0,0,0,0,0,10516001,0,0,1271107,0,3518245
counts_H1_C6_B62.bam,61520467,29901078,0,0,0,0,0,0,11205211,0,0,1719533,0,5358117
counts_H1_Nu_B08.bam,52754639,23270575,0,0,0,0,0,0,7776169,0,0,1507327,0,4412957
counts_H1_W4_B38.bam,40163236,23533714,0,0,0,0,0,0,11429058,0,0,1209610,0,3581984
counts_H1_W5_B49.bam,38824257,19518773,0,0,0,0,0,0,10453207,0,0,1103778,0,3297231
counts_H2_B5_B51.bam,39337839,21651760,0,0,0,0,0,0,11873617,0,0,1285355,0,3564847
counts_H2_C1_B04.bam,42213070,21417325,0,0,0,0,0,0,9623213,0,0,1282352,0,3520528
counts_H2_H1_B03.bam,41244310,22454983,0,0,0,0,0,0,10140872,0,0,1186893,0,3517550
counts_H2_H5_B51.bam,48091970,21606587,0,0,0,0,0,0,12491851,0,0,1073749,0,3650259
counts_H2_Nu_B14.bam,69144376,29839811,0,0,0,0,0,0,8826899,0,0,1718683,0,5357711
counts_H2_W2_B16.bam,39819584,21666154,0,0,0,0,0,0,7519349,0,0,1263410,0,3590673
counts_H3_B4_B41.bam,31582107,32045424,0,0,0,0,0,0,11220400,0,0,879033,0,3147649
counts_H3_C5_B54.bam,47160979,24622792,0,0,0,0,0,0,7630765,0,0,1351826,0,4229140
counts_H3_H4_B41.bam,38312724,17566117,0,0,0,0,0,0,9964046,0,0,1064056,0,3247972
counts_H3_H6_B66.bam,40761312,20849053,0,0,0,0,0,0,8727186,0,0,1298227,0,3632971
counts_H3_Nu_B18.bam,46479352,25022962,0,0,0,0,0,0,6604585,0,0,1306993,0,4125331
counts_H3_W3_B30.bam,37822736,20612705,0,0,0,0,0,0,7199106,0,0,1270578,0,3237073
counts_H3_W6_B66.bam,34395274,19206200,0,0,0,0,0,0,6576354,0,0,1097541,0,3174507
counts_H4_H2_B19.bam,46683788,24396409,0,0,0,0,0,0,9420082,0,0,1383995,0,3953016
counts_H4_Nu_B28.bam,53375976,27588179,0,0,0,0,0,0,8320024,0,0,1643575,0,4701834
counts_H4_W1_B07.bam,36694314,19692430,0,0,0,0,0,0,9945286,0,0,1205852,0,3134324
counts_H5_B1_B09.bam,40680240,21845304,0,0,0,0,0,0,8671363,0,0,1242925,0,3605692
counts_H5_B3_B34.bam,41190379,21795408,0,0,0,0,0,0,10614696,0,0,1313874,0,3682377
counts_H5_C2_B22.bam,35036335,19206081,0,0,0,0,0,0,12906023,0,0,1055191,0,2995594
counts_H5_C4_B46.bam,37794463,18324561,0,0,0,0,0,0,6940286,0,0,1088598,0,3242939
counts_H5_Nu_B35.bam,47313910,24110724,0,0,0,0,0,0,6361450,0,0,1486170,0,3910616
counts_H6_C3_B36.bam,38293146,22731235,0,0,0,0,0,0,12421329,0,0,1179499,0,3328254
counts_H6_H3_B35.bam,57584559,29979761,0,0,0,0,0,0,12942118,0,0,1734391,0,4899947
counts_H6_Nu_B45.bam,49557475,22821197,0,0,0,0,0,0,8250405,0,0,1175817,0,4094376
counts_W1_C1_G02.bam,41470352,20716092,0,0,0,0,0,0,11314770,0,0,1233464,0,3455700
