"","MEturquoise","MEblue","MEgreenyellow","MEyellow","MEblack","MEbrown","MEpink","MEmagenta","MEtan","MEgreen","MEred"
"B1_Nu_O03",-0.279823866545772,0.232587188072186,0.0708371112551227,0.214094737970168,-0.13415167115018,-0.119610692671704,-0.0260685743039074,0.0693243336202486,0.078653301928113,-0.129651611130298,-0.0889505779823112
"B2_Nu_O12",0.260668116674872,0.0531110688294855,0.290956633694644,0.110958196943566,-0.158234935761684,-0.174129799270543,-0.0170497653263133,-0.0658740419075488,0.00771702751625109,-0.259647931067,-0.0703019323441618
"B4_Nu_O32",0.139879969613328,-0.250167198925766,0.117641317251804,0.00473940728220753,-0.0991114108126814,0.0941706979098751,0.665168765173288,-0.0436149509858769,-0.147227006412478,-0.0136978997279498,-0.0315901062899884
"B5_Nu_O36",-0.298401236016502,-0.176526020735581,-0.303678542246218,-0.279517871570571,-0.135999424575194,0.315104299081748,-0.038436140104846,0.269477089361745,-0.0133723696109651,0.33097164901563,0.298534632142457
"B6_Nu_O47",-0.258456793926435,-0.0851800136576779,-0.213338674599817,-0.112692739390229,-0.128663981566276,0.0166531230743604,-0.000729719295554455,0.197555296318774,0.192558431176195,0.329754134321304,0.438028662381802
"C1_Nu_W01",0.0793080311083064,0.367833669706161,-0.0855208387222842,0.143783737073571,-0.173911433395974,-0.268441321793421,-0.0927382451170579,0.00613509506211003,0.218249392762411,-0.170325513453822,-0.00539296598078434
"C1_Nu_W05",-0.0294882341655554,-0.119218132419783,-0.0606949099855873,0.00176107665402955,0.213751343302049,0.0448857713194961,-0.123662016138119,0.133784573418317,0.0485635696142419,-0.0566816138629342,-0.115000654000849
"C2_Nu_W15",0.00316442957250557,-0.224301606199351,-0.0975013574285058,-0.21116801141584,0.305869035989982,0.212544212971149,-0.0856999089837925,-0.0145481344432796,-0.178033153970955,0.270620359155988,0.0171863116087783
"C3_Nu_W21",-0.0591523508500854,-0.0523344813471127,-0.0870993724864327,-0.0276362928779207,0.169569393609051,0.046096840455791,0.0154415502443699,0.0702022653360721,0.0431131872482764,0.0415428999242104,0.0781542084063315
"C4_Nu_W29",0.0531010143406846,0.115652687682436,-0.00828086042547052,0.139797764086341,-0.124512584192027,-0.242441335206111,-0.0835453384831015,0.161575834749444,0.229379812950433,-0.0989919865121766,0.00708975315840199
"C6_Nu_W42",0.00210211305180272,-0.281394363601132,0.235586039510483,0.00620273844529715,0.468058852396528,0.443953023576139,-0.0331991840724022,-0.051749963918349,-0.433464357768466,-0.0814381082942537,-0.399336274027396
"H1_Nu_B08",0.322608891798024,-0.0162822008315101,-0.0169624659964225,0.0274803856402259,-0.104798377831353,-0.157063523511399,-0.00884148277827498,0.108597302075937,0.157186969022701,-0.123118148042982,0.00799796265049441
"H2_Nu_B14",-0.169912429652978,-0.255791098306727,-0.158968303261196,-0.304387676090656,-0.110168569648738,0.506786328269492,-0.119685218159867,-0.0517876378996205,-0.361895385118666,0.398337791206241,-0.0679498396083801
"H3_Nu_B18",0.183691761285107,0.0676634613396517,0.179103224972809,-0.073883268055254,0.453517250499869,0.0949595022259979,-0.148474300457634,-0.43084409505035,-0.343056809112673,-0.0871687723200285,-0.279208759176534
"H4_Nu_B28",0.0038232739153962,-0.14922677283244,0.00739900593497899,0.100998973758879,-0.121784721359599,-0.0941949578455653,0.652230803278791,0.182006159093274,0.153124963880937,-0.0105141770753696,0.0900269316692797
"H5_Nu_B35",-0.250351845347945,-0.120808542169101,-0.303075961367579,-0.0730300132059463,0.194114768530096,-0.0179828752453439,0.0223540969875205,0.229627901535248,0.24296372576638,0.181361709695451,0.364529068960424
"H6_Nu_B45",0.564183046717678,-0.18726405644748,0.169869417231279,-0.199256721224365,-0.0718689133638001,0.0671116029216863,-0.120965464212354,-0.339625328505141,-0.222748272795368,-0.143870436890318,-0.149947436993358
"W1_Nu_G02",0.0711535848874398,0.066000180928584,-0.447230207227027,-0.375234404054167,-0.140375379164455,-0.0212786858273453,-0.0697063923456518,-0.188832694091321,-0.0295037236126253,0.317668681724706,0.28862303458386
"W2_Nu_G15",-0.0271184273965264,0.359312164221375,0.196139783495372,0.0251323986160364,0.287957408059739,-0.0478452966080641,-0.119288120591305,-0.483884115050712,-0.205651090788686,-0.169888780703391,-0.20420511764213
"W3_Nu_G21",-0.134118644932462,0.429085758630182,0.434930331866861,0.421021439787031,-0.1709451551087,-0.229543860594323,-0.100157633737115,-0.176275482388423,-0.00608755159068997,-0.358994246259701,-0.297585960510866
"W4_Nu_G27",0.0581324679891829,0.0649715963258515,-0.0721941878909647,-0.0890723394968968,-0.116580763517036,-0.033490415108426,-0.0546779596918495,-0.0682813486964326,0.0052211819963746,0.117225032420084,0.0970890147186201
"W6_Nu_G41",-0.294117242656878,0.267941709836614,0.237695800521828,0.533272491274188,-0.181123339536002,-0.301072981193978,-0.0475339925115502,0.241768788340606,0.319970166960795,-0.255720847041344,-0.15717382453486
"W6_Nu_G45",0.059124370536811,-0.105664998098866,-0.0856129840976775,0.0166359898503047,-0.120607391403613,-0.13516965692951,-0.0647357593732737,0.245263154025279,0.244337989958463,-0.0277721850820448,0.179383868811169
