"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"119","LOC111136376","GO:0005509;GO:0005743;GO:0030003;GO:0043022","blue",0.438835108957274,0.354421537723655,0.0361865527720018,0.0970499566722116,"Growth"
"120","LOC111136414","GO:0000027;GO:0005515;GO:0005730;GO:0007219","blue",0.458209455612241,0.221206403533676,0.0278891316173722,0.310418269933494,"Growth"
"121","LOC111136487","GO:0003735;GO:0005763","blue",0.47134452894242,0.217135564187567,0.0231847523585644,0.319632518690828,"Growth"
"122","LOC111136494","GO:0005524;GO:0051131;GO:0140662","blue",0.481335482142874,0.147512181950078,0.0200521489132255,0.501786610097003,"Growth"
"123","LOC111137965","GO:0003779","blue",0.487042179996385,0.330309226782857,0.018422339088506,0.123720454968245,"Growth"
"124","LOC111137992","GO:0016491","blue",0.519983898533611,-0.055040106875678,0.010981030578582,0.803026994258886,"Growth"
"125","LOC111138014","GO:0005783;GO:0005789","blue",0.465524650724076,0.374222825071054,0.0251835060861869,0.0785450585948976,"Growth"
"126","LOC111138145","GO:0005758","blue",0.454380454669268,0.291590764460389,0.0293950789149102,0.177019125883732,"Growth"
"127","LOC111138190","GO:0004512;GO:0006021;GO:0008654","blue",0.478782858527837,0.277070054131512,0.0208179106932459,0.200575422941895,"Growth"
"128","LOC111138391","GO:0000398;GO:0000974;GO:0005515;GO:0005737;GO:0006281;GO:0016567;GO:0061630;GO:0071006","blue",0.486805657319513,0.341271197386783,0.0184876858827857,0.111007759024393,"Growth"
"129","LOC144617848","GO:0006513;GO:0008270;GO:0061630","blue",0.44010003364401,0.324663580391851,0.0355914757009174,0.130663562352678,"Growth"
"130","LOC144618506","GO:0097361;GO:0097428","blue",0.430521178703576,0.358512513484859,0.0402957032701508,0.0929852562082938,"Growth"
"131","LOC144618954","GO:0003723","blue",0.434350532703479,-0.143384052849194,0.0383598103697437,0.513960030512571,"Growth"
"132","LOC144618962","GO:0003723","blue",0.538072377044431,0.0297543928247489,0.00808663660009372,0.892794747525692,"Growth"
"133","LOC144619181","GO:0005515;GO:0031012","blue",0.505706622593671,0.214611745773769,0.0138247848353847,0.325427431341394,"Growth"
"134","LOC144620634","GO:0005515;GO:0042981","blue",0.426909034177446,0.378197796220968,0.0421913033929876,0.0751753265567325,"Growth"
"135","LOC144621293","GO:0008270","blue",0.492183438115427,0.348369303050338,0.0170475120245954,0.103302555918336,"Growth"
"136","LOC144621313","GO:0000502;GO:0005515;GO:0006511;GO:0008541;GO:0030234;GO:0042176","blue",0.536545797963222,0.322592849420385,0.00830345842643413,0.133279010000868,"Growth"
"137","LOC144621561","GO:0000209;GO:0043161;GO:0061630","blue",0.43093900153429,0.410979068014832,0.0400808236182732,0.0513982146871798,"Growth"
"138","LOC144621755","GO:0004601;GO:0006979;GO:0020037","blue",-0.420133734600068,0.00415084540716418,0.0459346547301203,0.98500334677098,"Growth"
"139","LOC144622290","GO:0000398;GO:0000932;GO:0003723;GO:0005688;GO:0046540;GO:0071011;GO:0071013;GO:1990726","blue",0.485836023653007,0.275227974070567,0.0187575429877209,0.203708137404119,"Growth"
"140","LOC144622414","GO:0005615;GO:0062023","blue",0.497801294884996,-0.0865327963531264,0.0156417306537049,0.694621137465474,"Growth"
"141","LOC144623044","GO:0004930;GO:0007186;GO:0016020","blue",0.501057534085576,0.19803730517782,0.0148711143137383,0.365038256984741,"Growth"
"142","LOC144623107","GO:0000724;GO:0003676;GO:0005524;GO:0005634;GO:0005694;GO:0005737;GO:0006268;GO:0009378;GO:0043138","blue",0.524771320207535,0.0872999958633459,0.0101429059705014,0.692041829932918,"Growth"
"143","LOC144623910","GO:0004725;GO:0006470","blue",0.445984044620045,0.389944987703514,0.03292421830422,0.0658542126288143,"Growth"
"144","LOC144623969","GO:0016805","blue",0.417104828027505,0.357561089284031,0.0476896620757126,0.0939190738880757,"Growth"
"145","LOC144624545","GO:0005044","blue",0.530350666110877,-0.0141386915855274,0.0092333737513246,0.948947637991234,"Growth"
"146","LOC144624844","GO:0008270","blue",0.51855390735337,0.384200260599309,0.0112421385550194,0.0702954666093947,"Growth"
"147","LOC144625098","GO:0008270","blue",0.494236706538107,-0.133608460805886,0.016522281233937,0.543342991841251,"Growth"
"148","LOC144625484","GO:0016020","blue",0.560244352531097,-0.0459920643025513,0.00542985414139508,0.83493261167234,"Growth"
"149","LOC144626230","GO:0000387;GO:0003723;GO:0006396","blue",0.46432536779962,0.373066213685528,0.0256120456260371,0.0795466132742492,"Growth"
"150","LOC144626258","GO:0004376;GO:0006506;GO:0016020;GO:0051751;GO:1990529","blue",0.442257275933088,0.263721265428274,0.0345944662880189,0.224022935111555,"Growth"
"151","LOC144626854","GO:0005515","blue",0.450472916546178,0.118672737777774,0.0309979687934938,0.589674444695732,"Growth"
"152","LOC144626880","GO:0005730","blue",0.450891090999007,0.36150497249102,0.0308231847768309,0.0900931472228433,"Growth"
"153","LOC144627390","GO:0043565","blue",0.504137059383439,0.386542360981224,0.0141710820835803,0.0684581161104348,"Growth"
"154","LOC144627594","GO:0000209;GO:0005515;GO:0043161;GO:0061630","blue",0.661675105272884,0.0364694763635413,0.000584827055610493,0.868784774767985,"Growth"
