"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"81","LOC111135220","GO:0016020;GO:0030246","blue",0.477312369720029,0.511311199434848,0.0212696423851895,0.0126441934175959,"Both"
"82","LOC111135316","GO:0000062","blue",0.420116451286733,0.430405009501178,0.0459445240494748,0.0403556076442542,"Both"
"83","LOC111135387","GO:0003676;GO:0005515;GO:0005634","blue",0.474807016689672,0.461909720337754,0.0220574605194821,0.0264929513431657,"Both"
"84","LOC111135545","GO:0000727;GO:0003697;GO:0005524;GO:0005634;GO:0006260;GO:0006268;GO:0006271;GO:0016887;GO:0017116;GO:0042555;GO:1902975","blue",0.448521180253845,0.580299163865367,0.031824176848938,0.0036973489987943,"Both"
"85","LOC111135565","GO:0005730;GO:0042273","blue",0.430361093857154,0.461804781866509,0.0403782715992017,0.0265317609816302,"Both"
"86","LOC111135686","GO:0005096;GO:0005643;GO:0005737;GO:0006913","blue",0.464444940464012,0.477445649741213,0.0255690584726439,0.0212283761439806,"Both"
"87","LOC111135733","GO:0002161;GO:0003743;GO:0003924;GO:0004813;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0006413;GO:0006419","blue",0.43467837887351,0.420360689995335,0.0381975348982027,0.0458052093459187,"Both"
"88","LOC111135847","GO:0003333;GO:0015179;GO:0016020","blue",0.47644808345391,0.423501559498305,0.0215388152914683,0.0440428484766824,"Both"
"89","LOC111135867","GO:0006338;GO:0016274;GO:0019919;GO:0042054","blue",0.456662321471933,0.465091305422677,0.0284900258901431,0.0253376852747275,"Both"
"90","LOC111136042","GO:0000727;GO:0003697;GO:0005524;GO:0005634;GO:0006260;GO:0006268;GO:0006270;GO:0006271;GO:0016887;GO:0017116;GO:0042555","blue",0.496259157495762,0.495709822174479,0.0160178692103664,0.0161536205300435,"Both"
"91","LOC111136087","GO:0002224;GO:0004888;GO:0005515;GO:0005886;GO:0006955","blue",0.465625932338435,0.588046939853764,0.0251475798748502,0.00316634479226811,"Both"
"92","LOC111136185","GO:0005515;GO:0006606","blue",0.419436844876245,0.465315376594946,0.0463339134881227,0.0252578692456722,"Both"
"93","LOC111136222","GO:0004176;GO:0004222;GO:0005524;GO:0005745;GO:0016020;GO:0016887;GO:0034982","blue",0.50736645610665,0.51080437038985,0.0134661259647016,0.0127474363565185,"Both"
"94","LOC111136413","GO:0000387;GO:0003723;GO:0005681;GO:0006396","blue",0.44624554669688,0.48757339316653,0.0328094635220859,0.0182762567169277,"Both"
"95","LOC111136440","GO:0003729;GO:0005634;GO:0005737","blue",0.480372295350373,0.562698681013749,0.0203383761489141,0.00518697645532373,"Both"
"96","LOC111138176","GO:0003924","blue",0.545222100994808,0.465553379647438,0.00713257240289458,0.0251733113013816,"Both"
"97","LOC111138363","GO:0000398;GO:0003723;GO:0005682;GO:0005685;GO:0005686;GO:0005687;GO:0005737;GO:0046540;GO:0070990;GO:0071004;GO:0071013","blue",0.472831696924857,0.527919713319559,0.022695029754504,0.00962100962410219,"Both"
"98","LOC111138406","GO:0005739;GO:0007005;GO:0016020","blue",0.508262450396439,0.44498325573587,0.0132757036870132,0.0333663350474195,"Both"
"99","LOC111138440","GO:0005524;GO:0016887","blue",0.484716321604262,0.492056267495511,0.0190731237144772,0.0170804832651922,"Both"
"100","LOC111138482","GO:0005044;GO:0005925;GO:0007157","blue",0.477477359486201,0.50116134237439,0.0212185676653683,0.0148470661924762,"Both"
"101","LOC144618030","GO:0004843;GO:0005634;GO:0005829;GO:0016579;GO:0030968;GO:0036503","blue",0.483741063730727,0.47735984370741,0.0193514817486367,0.0212549360517686,"Both"
"102","LOC144619411","GO:0006631;GO:0050104;GO:0070403","blue",0.566462819505146,0.440899022646274,0.00483216300268217,0.0352195963065719,"Both"
"103","LOC144621008","GO:0005829;GO:0006281;GO:0016607;GO:0033045;GO:0043007;GO:2000042","blue",0.429673878681433,0.494249867896421,0.0407342323870014,0.0165189574682043,"Both"
"104","LOC144622705","GO:0005739","blue",0.417660407401168,0.526478745747225,0.0473639018468898,0.00985705361915243,"Both"
"105","LOC144622927","GO:0005739;GO:0007005;GO:0016020","blue",0.62417342158403,0.481700125465494,0.00145677931779074,0.0199446418832875,"Both"
"106","LOC144624941","GO:0007155;GO:0030246","blue",0.413923413444786,0.448453877434788,0.0495887743821401,0.0318529760656756,"Both"
"107","LOC144625071","GO:0005515","blue",0.417878893932579,0.550427422448167,0.0472362693983948,0.00649843389240969,"Both"
"108","LOC144625422","GO:0004252;GO:0005829;GO:0006508;GO:0070012","blue",0.436455567507857,0.434108079260643,0.0373272532413227,0.0384801672152961,"Both"
"109","LOC144625869","GO:0003723","blue",0.415600182068937,0.537375683763185,0.0485806607162104,0.00818499961473678,"Both"
"110","LOC144626843","GO:0005829;GO:0006253;GO:0042262;GO:0047840","blue",0.617126418638468,0.546539058833932,0.00170743821975889,0.00696747289120804,"Both"
"111","LOC144627884","GO:0008270","blue",0.518698986682032,0.430967328615028,0.0112154175780875,0.0400662880870745,"Both"
