"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"134","LOC111135423","GO:0015252;GO:0016020;GO:1902600","blue",0.249725799473699,0.479346527745515,0.250482911982682,0.0206468183672808,"Warm"
"135","LOC111135499","GO:0000244;GO:0000398;GO:0005515;GO:0005634;GO:0046540;GO:0071013","blue",0.398176028780726,0.460656300207704,0.059868053824021,0.0269594852208857,"Warm"
"136","LOC111135504","GO:0005539;GO:0008449","blue",0.350558367026752,0.597445406072403,0.101007712246338,0.00260988448309645,"Warm"
"137","LOC111135530","GO:0004550;GO:0004798;GO:0005634;GO:0005737;GO:0005739;GO:0005829;GO:0006227;GO:0006233;GO:0006235","blue",-0.0424801168758416,0.4441718482812,0.847387618867702,0.0337282296732869,"Warm"
"138","LOC111135603","GO:0008757","blue",-0.0176297769558347,0.437688007245484,0.936364276471764,0.0367329635886117,"Warm"
"139","LOC111135890","GO:0005813;GO:0005814","blue",0.410372771599789,0.505196050301084,0.0517770849665043,0.0139366665141779,"Warm"
"140","LOC111135892","GO:0005044;GO:0005509;GO:0005515;GO:0007157","blue",0.0236562554680301,0.497423611771186,0.914678539886135,0.0157331784576412,"Warm"
"141","LOC111135909","GO:0004720;GO:0005507;GO:0005615;GO:0016020;GO:0018057","blue",0.325261297309067,0.461003467532336,0.129915519504321,0.0268296141671699,"Warm"
"142","LOC111136094","GO:0016055","blue",0.246869538664334,0.418836119033701,0.256121082839293,0.0466802447677896,"Warm"
"143","LOC111136484","GO:0005515;GO:0034975;GO:0072546","blue",0.211560441475322,0.435320392873516,0.332517417479408,0.03788131984842,"Warm"
"144","LOC111136493","GO:0000724;GO:0005515;GO:0031297;GO:0043596","blue",0.244589797465594,0.476098331728887,0.260679353676714,0.0216485189470655,"Warm"
"145","LOC111137986","GO:0016491","blue",0.387582177861651,0.465087621231763,0.0676542083754961,0.0253389993006732,"Warm"
