"","MEbrown","MEblue","MEpurple","MEmagenta","MEpink","MElightcyan","MEmidnightblue","MEblack","MEyellow","MEcyan","MEturquoise","MEsalmon","MEtan","MEgreenyellow","MEgreen","MEred"
"B1_B1_O01",-0.0584996639074302,-0.091507241431332,-0.0463832220023166,0.0290798952161744,-0.0291082390115476,-0.0269938073932141,-0.0202762543907306,0.0952772553409011,-0.00908836316123613,-0.0222437823478283,-0.0470110130751751,0.0140766479908692,0.0179031127752918,-0.0169943647895068,0.0877365476000331,0.0251839943807398
"B1_W5_O50",0.0706519667121213,-0.0243303287087011,-0.00483368137930473,-0.00720100692434966,0.081382256447563,-0.0529930609202169,-0.0312693791495067,-0.0747512535719013,-0.0392764980268833,0.00528801953656488,-0.0108860009540127,-0.108578082171593,-0.0575828267048103,-0.0849317106534387,0.0242836884236313,-0.0942442352841416
"B2_B5_O51",0.0688368451638461,-0.00121557515330728,0.0130366628432898,0.0757441882656134,0.130068976539965,-0.0027119365358394,0.881578668721542,0.161843063666416,0.00491834272763381,-0.0181069063688903,0.0022498240506939,-0.0669302833817578,0.0209090144341917,-0.161065939837298,-0.0284053483347139,-0.176051866234633
"B2_C4_O40",-0.00435440025483032,-0.0617183156520634,0.0482246808770271,-0.11552403656359,-0.0720376373594589,-0.0342676297710362,-0.0347663010674359,-0.058504062731629,-0.0296684944553531,-0.0119403309533268,-0.02560635996404,-0.112570275476259,-0.0423085033317008,-0.0400623680159978,0.0449083449981993,0.0920196461518674
"B3_B4_O41",0.0746125189481828,-0.00505431150508556,-0.00974464236048879,0.0875755872816146,0.0802381199248951,-0.0436231504033559,-0.0328049523625845,-0.0718333386672498,-0.0340496653052759,0.000462575507020445,-0.00394184681034169,-0.115961534548321,-0.0555875788490897,-0.0412639905355693,0.004454491454441,-0.137994914275674
"B3_C3_O30",0.0989757126908308,0.130462677407654,0.112417709686431,-0.0331740081883835,-0.0135327886718128,-0.0214212826099635,-0.0378554202366389,-0.0672166081260884,-0.0178641845801107,-0.0252225845367587,-0.0319190025286699,-0.0283930113242447,-0.0666719395876785,-0.0102918804131822,-0.178031725174437,-0.095038880183461
"B3_C6_O66",0.135922754817195,-0.015861831286921,-0.0253515334746791,-0.0478557202952065,0.023556788904495,0.0229677781438954,-0.0240749673431384,-0.0598104497628081,-0.0337335533826655,0.00552086717595986,0.157466321659905,-0.0815837985253832,-0.0472941777265802,0.0131592455158299,-0.0766612258279816,-0.0638291413497866
"B3_H4_O41",-0.139058149932414,-0.0929648789380878,-0.0373005840497205,0.0245707762672252,-0.0472565301496711,-0.0119032757413599,-0.0233474266722467,-0.0563670032355189,-0.017858565428615,-0.0279283762675892,-0.0371760198698024,0.194881709666793,0.0902703245795139,0.184606587704649,0.107197697788822,0.0763296991171453
"B3_W1_O06",-0.172945773597717,-0.033192719379193,-0.0394846953312358,0.514815143216338,-0.00174707917671696,-0.0266388470965599,-0.0187899189241479,-0.0527246813225674,-0.0271895212864027,0.0233178199169267,-0.0499286704810494,0.224059787496459,0.0463287474850639,-0.00677421306561252,0.234347559082649,-0.0508876698255595
"B3_W4_O41",-0.0563638128079694,-0.094148774875529,-0.0426876841284002,-0.100616961436982,-0.0548397580346438,-0.0390042994850871,-0.0211940877487343,-0.0483021413584566,-0.0339831961045247,-0.0337973389850631,-0.0466048775240211,-0.0795647724738614,-0.0248457865480853,0.103877586597138,0.122007802347307,0.154406257278593
"B4_B2_O19",-0.0465481088727019,0.0169837981499554,-0.0289643619231292,-0.0563050526707534,-0.0732178056331087,-0.0316289024995791,-0.0312748766593563,0.055988040245782,-0.0176897745459229,-0.0175451657061061,-0.0409860037944244,0.0614928894801239,-0.0161799732536883,0.00219597203005244,-0.0529871856147138,0.0402202153445653
"B4_B3_O32",-0.0893167994508524,-0.0271192608315298,-0.243524193673105,0.0541852616063983,0.0114568648697996,0.00516434074697029,-0.0183518730332452,-0.0341653816484615,0.096555082850257,0.0387375201323498,0.319469028076016,0.197038575350325,0.0479497512410774,0.272863264024416,-0.0130334188470231,-0.0773830779924292
"B4_C5_O56",0.308209612528251,0.0771393272700961,-0.0650316451099562,0.00356049251193767,0.132734725676128,0.0171823335845401,0.00232693482355368,-0.0719385357430142,-0.033612247867265,0.00743332899417959,0.21025999378568,-0.171304491561974,-0.0328593709381287,-0.16848486750008,-0.0830368270746545,-0.206747732660209
"B4_H5_O55",-0.0542897155456285,0.217998512500732,0.325064914204187,0.026212024079095,-0.054971982009835,-0.0110095000506455,-0.0305542767665245,-0.0500339150514681,-0.0190307207975023,-0.0520322973262624,-0.0600247945593265,0.252068414894388,-0.00104096121650852,-0.103369030608822,-0.0733582523036933,0.082955168415871
"B4_W2_O19",-0.0833700262455355,-0.134402852254016,-0.0959262017164224,-0.0839213186091467,-0.0545465807931995,-0.0266643442131103,-0.030924979193253,0.0414067453213079,-0.0137603654130433,0.216197073287345,-0.000636875475731376,0.0310857681683445,-0.0172710338529286,0.00507218752767584,0.130817256041481,0.140545229153647
"B4_W6_O67",0.0152577928685809,0.129846512421059,0.00372309103710973,0.150577537235346,0.162298735421677,-0.0351160611562405,0.00515710810059804,-0.0544760884949012,-0.0203847370342193,-0.0336042715191859,-0.0514484797224459,-0.0106065002578253,-0.00044624569125103,-0.0487569982443542,-0.0618632351911159,-0.181715369020738
"B5_B6_O69",-0.0424249501746411,-0.0204836687849298,-0.0995457745532215,-0.0520534531006915,-0.0327956723666538,0.161021298722393,-0.0186531262656212,0.17362369384575,-0.0132857511246305,0.0237467058672675,0.0863036946617928,-0.000972920301644982,-0.0185375714049733,-0.0126848357478038,-0.0555437676851733,0.0246632720532535
"B5_H2_O21",-0.140192890113073,-0.0526223429340297,0.0239576675112585,-0.033398421789267,-0.0747342549899194,-0.0393313926985144,-0.030242155599066,-0.0464657306780777,-0.0183865182953102,-0.039762152125799,-0.0325300358434616,0.131075269832957,0.00526321515725245,0.0576941453284035,0.0842080895550811,0.106573215096151
"B5_W3_O33",-0.208762456359049,-0.167109174959023,-0.11562828175676,0.0431560892299656,0.0103559806842301,0.102294565750422,0.00638826290517587,0.271615860243092,0.0420260103986705,-0.021970828495331,-0.0420789446774369,0.0709524549698027,0.138019786976862,-0.0363030198567383,0.218625029885102,0.151325816239666
"B6_C2_O24",0.11511364523361,0.0056465800097829,0.0211864425125606,-0.129279626459955,-0.0309552882112425,-0.0466034287307131,-0.0238182329165812,-0.0664684347860073,-0.0193712202106196,-0.0539421426504286,-0.0851421291011801,-0.104694329895485,-0.036494045461787,0.163107884426285,-0.0651542143359569,0.0495164734652971
"B6_H3_O35",0.0538251749243147,-0.0230476620244302,-0.105675573592974,0.058600554994989,0.105378373979958,-0.0368770659477605,-0.0216698337536475,-0.0626996967680324,-0.0203884857498285,-0.0418523574589826,-0.0675868892127291,-0.0949650125685863,-0.0181428217028327,0.0242540434993627,0.0165986801714357,-0.0893606751005055
"B6_H6_O72",-0.0700421836507221,-0.113790384395728,-0.0746524761756495,0.0261658026097261,0.0255164416085906,0.0403010662216014,-0.00383548569495633,0.309972320818773,0.000256560350363116,-0.0287508987195333,-0.058952907386963,-0.0134207475176386,-0.0105854631379767,0.0596972999318,0.136268345184293,-0.0162819399930653
"C2_W5_W52",0.0592002028876591,0.0406404650491859,0.0692253691477156,-0.0736646495485013,-0.0524006312068348,0.0264277495801208,0.256450028018363,0.173656823654761,0.0132874605379382,-0.030145217018727,-0.0531351907195119,-0.0847406153634757,-0.0176245982586479,-0.0721804479060681,-0.101940860890162,0.0114296282688782
"C1_H2_W13",-0.0517383118262769,-0.0768696256253968,0.0710574803283215,-0.0234677790691232,-0.0560563181242622,-0.0316471683241488,-0.0219111500134882,-0.0477983502699424,-0.020300289020105,-0.0448286847880498,-0.0675342912880361,0.0285400791222357,0.0061114182810518,-0.0105303868732747,0.0607619392190758,0.0976446087491215
"C1_H6_W62",0.0492895405064267,0.0577756469181872,-0.00630289773142269,0.0645546823888319,0.0726241325547688,-0.0406045798644493,-0.0340946964813852,-0.0598628931383987,0.379340465163032,0.00723050499938031,-0.0572722032419426,0.0198508772429416,-0.0131828474194504,0.10564788906489,-0.0210199937037657,-0.147546582112511
"C2_B2_W16",-0.0882254352192003,-0.0311925476224175,-0.0571080613731525,-0.0513512838032,-0.0766106003562304,-0.026776742901145,-0.0229647438620236,-0.041908101420171,-0.0169005583627271,0.0334301652507291,-0.0380424812418105,0.0986323692947222,-0.0200399422112371,0.0262237511494213,0.0351545955546789,0.0819191839647218
"C2_C1_W03",-0.0631562457870571,-0.0120368433771246,0.0815365884839843,-0.0838519584719019,-0.0511954862213862,-0.0226641496266349,-0.0108927714334173,-0.0396461831115289,-0.0192573084592981,-0.0364376182626135,-0.0526321486042121,-0.00736976815393437,-0.0178884903114678,0.0372820186024451,-0.00780187747619843,0.120634452762088
