"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","direction"
"LOC111113503",24.4003560895774,1.76973898362939,1.97889913635251,0.000443108184334522,0.0272593590436904,"Up"
"LOC111103224",1071.26436290279,0.49523790801264,0.27492090111469,0.000767037531490872,0.0390735470237248,"Down"
"LOC111109763",486.254947236374,-0.577267126313985,0.42006941314718,0.000550307542743166,0.0314650887606333,"Down"
"LOC111128935",1212.48681050473,2.17028088547526,0.721647898606644,4.52789754527692e-06,0.000787522285099997,"Up"
"LOC111136460",1015.38288849764,1.66884824847302,0.846207280596537,2.71738206522868e-05,0.00335581532367646,"Up"
"LOC111119489",1913.35955601811,1.77412903217802,0.901536690192186,3.08207784024311e-05,0.00373538513383049,"Up"
"LOC111104573",177.565320181215,-3.84375933331428,4.98642849293751,0.000513634818712347,0.0301390250714768,"Down"
"LOC111130710",111.610816562649,-2.85750521018234,1.00965878841041,9.78049842799564e-06,0.00151826241952344,"Down"
"LOC111100099",2.78383390383363,1.67736100721284,1.99201069181092,0.000519493579199672,0.0302764503526546,"Up"
"LOC111122605",475.117737050057,3.98691097911884,4.00847565778451,0.000237989498137523,0.0178465262485971,"Up"
"LOC111127890",13204.0210469547,-0.394237580378271,0.139214158928331,0.000866387191671139,0.0423846344907284,"Down"
"LOC111127317",1502.44141949174,-0.429603645804523,0.166459563902383,0.000959731867821724,0.0452231101404789,"Down"
"LOC111104267",5285.81652386632,0.542061327981697,0.151380851653572,1.07372131057371e-05,0.00162872246288852,"Up"
"LOC111120718",402.452802329223,3.06145582919468,2.08501334567467,9.23702881150074e-05,0.00861949711005771,"Up"
"LOC111114134",1856.36940929656,0.635811061719556,0.206788665152707,5.93419204672892e-06,0.00099562555450674,"Up"
"LOC111103274",269.312556045605,1.14072814218279,0.580227272085415,1.26351195747452e-05,0.00184095908891682,"Up"
"LOC111125536",1196.0391657671,-0.809232531764752,0.412235460671838,1.98070997127938e-05,0.00265319295346375,"Down"
"LOC111105902",135.527086382632,1.07962338449431,0.838505573270049,0.000177110178616745,0.0141773497196344,"Up"
"LOC111103114",737.837991296912,0.514318622129148,0.27748195747698,0.000543952076374714,0.0312631279881799,"Up"
"LOC111122050",34.5180977735986,2.01039183398832,1.54282116046601,0.000170797154998352,0.0138695396726164,"Up"
"LOC111102545",513.556070509205,-0.994170427661786,0.407537410920943,1.51145014718203e-06,0.000302472131863778,"Down"
"LOC111133283",1774.6507836856,0.462974642333176,0.176488888913831,0.000503630927210338,0.0299250835514229,"Down"
"LOC111099448",938.380778055848,-0.506740704099753,0.286639556611512,0.000670046359672912,0.0362874939332025,"Down"
"LOC111122352",1.83413833597663,-13.9477387446937,3.73452337303032,4.3419982476585e-06,0.000759164114669554,"Down"
"LOC111123472",232.894279433939,24.0332122515357,5.77037520179087,1.56686114346649e-06,0.000309828138011647,"Up"
"LOC111120886",537.228094423317,-0.66619194663458,0.323445736436177,4.85786660913697e-05,0.00534365327005066,"Down"
"LOC111110995",741.443797707039,-7.41119299707769,1.70506842673217,3.09603580692323e-07,7.61854144488813e-05,"Down"
"LOC111122804",18.723810901191,1.24639435973683,1.76888094577903,0.00094385233655405,0.0447925351718936,"Up"
"LOC111123868",814.756810523193,0.459532689545192,0.197572697478738,0.000847491575039339,0.0417710239210784,"Down"
"LOC111130465",297.895528626111,1.31084034353249,1.43366469478181,0.000561833066855066,0.0319590658919954,"Up"
"LOC111130484",4298.8889548498,0.695526496132008,0.198057564383823,4.16433307424976e-07,9.88136748046979e-05,"Up"
"LOC111130471",12145.0305806074,0.667635774549748,0.191792153099483,8.79949613243406e-07,0.000191878162046816,"Up"
"LOC111123118",3.04654181072001,-17.9444504375239,11.9442754059263,8.69297866813008e-05,0.00832221185461905,"Down"
"LOC111135878",1486.85109527601,-0.429219353885267,0.164899293280066,0.00092419424563345,0.0442484180306458,"Down"
"LOC111126049",375.502127999256,0.496942723765975,0.252254716546526,0.00062980774831517,0.0349492590474548,"Down"
"LOC111109028",877.639530408098,-0.473773089225499,0.214502521323685,0.000742628556553432,0.0387286038441209,"Down"
"LOC111137675",706.894619374574,-0.585119741906938,0.31324560706589,0.000199678092165874,0.0155711413656111,"Down"
"LOC111102962",54.1752145408526,-2.28294611711998,0.515159883923276,2.1871024855316e-07,5.46282289995187e-05,"Down"
"LOC111118469",430.310394706386,0.922184782267747,0.577228782264871,5.76471738749047e-05,0.00609885068829406,"Up"
"LOC111105219",3.13867899906451,-14.6667897729364,3.35477646917523,1.33597161381711e-06,0.000273956648216076,"Down"
"LOC111109218",860.001931093462,0.457872472326244,0.195107481649523,0.000851370708827494,0.0419000517737028,"Down"
"LOC111136736",164.118890158312,1.74242404046447,2.09586647808028,0.000511127303709849,0.030052476157949,"Up"
"LOC111106833",5.93330463182378,-10.0746775191364,7.74153978912596,0.000163229130433205,0.0134219596856215,"Down"
"LOC111126518",2264.99918350768,-0.445018731449994,0.190793227034196,0.0011008670882951,0.0494736833510604,"Down"
"LOC111105144",21.2551112908322,18.0665056551746,3.04410274514062,1.58098155983629e-09,5.64733413094209e-07,"Up"
"LOC111105368",25.5717592969413,2.83324599445015,3.4816584147821,0.000406660021855058,0.0255414606513469,"Up"
"LOC111109459",61.9250737781087,2.08976750961779,2.02869034717768,0.000288559446094669,0.0202636285528042,"Up"
"LOC111129693",706.200939045337,-0.475504540644003,0.169417475381969,0.000280343134756091,0.020072446660941,"Down"
"LOC111129539",8415.13825846534,-0.515295122431691,0.233452166147923,0.000348374963435424,0.0230998329048399,"Down"
"LOC111099738",541.852651785832,0.588605611764557,0.237242308783391,5.98577612821077e-05,0.00629264186642917,"Up"
"LOC111125239",1647.57155391987,-0.389504124358843,0.131295276667743,0.000628397047686023,0.0349492590474548,"Down"
"LOC111128589",2821.400599642,0.420701643401645,0.163552348880188,0.00112147456976819,0.049847788400075,"Down"
"LOC111101000",858.366838116231,0.492691407808185,0.253672119539984,0.000694980958044289,0.0371177932897609,"Down"
"LOC111105000",1044.6079090089,0.480747437033445,0.22770680556557,0.000723035122819262,0.0381257567937395,"Down"
"LOC111119037",113.033846355927,1.09303314737178,1.15298193828667,0.00057878262287398,0.0326992495440027,"Up"
"LOC111125529",1.4587351012409,26.7230601686396,8.75452590505626,6.95414149504878e-06,0.00114099276333233,"Up"
"LOC111135743",103.307234049081,2.77276175357833,1.6621591662588,7.08239658190517e-05,0.00720342465758792,"Up"
"LOC111112594",20.0467625238948,2.69129425284792,2.28107627633589,0.000173094878716531,0.0139907831410295,"Up"
"LOC111119591",299.645802701805,-1.13241529312396,1.07485335358454,0.000403094240217093,0.0254577769201746,"Down"
"LOC111107463",2498.35024190947,-0.479901709506983,0.281849561044018,0.00105637206330028,0.0485602990147057,"Down"
"LOC111118447",468.018567413221,0.920506656663768,0.850218788929804,0.000408746214559637,0.0255716558336557,"Up"
"LOC111119985",35.00538837908,-21.5164357533127,3.52747574983772,4.45218999994816e-10,1.74002060939151e-07,"Down"
"LOC111114190",23.8567465887684,-37.3707254918784,6.19822449083719,7.55780283109477e-11,3.48708625068011e-08,"Down"
"LOC111107752",5.41278607581151,-18.5372150948,2.9926573090484,3.09384365900148e-10,1.26885785619789e-07,"Down"
"LOC111135186",1393.27001816676,0.466028952166658,0.205210525483981,0.000801085054841528,0.0401994645344948,"Down"
"LOC111113027",1609.48650073959,0.494474510501241,0.20002624528014,0.000357759019595402,0.0234939197474153,"Down"
"LOC111128658",2140.41286913873,-0.479155461269946,0.170041819021892,0.000256582088293619,0.0188994611377251,"Down"
"LOC111102971",6.04709361029805,-17.2486945160746,2.87147189952187,1.074991548436e-09,3.96791324878268e-07,"Down"
"LOC111104585",68.3846355963998,-1.28362479156938,1.11985807162067,0.000287146986863095,0.0202636285528042,"Down"
"LOC111123322",22.4930622171026,5.60010515965463,1.23167166368802,6.90228274395952e-08,1.95472191036232e-05,"Up"
"LOC111107736",25.6085118757633,0.965651244296962,1.1087093845662,0.000808169570821849,0.0403114011151679,"Up"
"LOC111127770",20.6504288423681,2.881483996851,1.89255750489971,8.84343848328207e-05,0.00844192604639742,"Up"
"LOC111108047",35.4727788847262,0.980331430822653,1.27790807575596,0.00107386389894195,0.048935197150688,"Up"
"LOC111128415",694.881835815126,0.471865114552463,0.215197601072659,0.000782754660748631,0.0396736599036066,"Down"
"LOC111108068",1892.57868022489,-0.49757964963002,0.160299541740428,9.45205647552464e-05,0.00877910969414874,"Down"
"LOC111131746",101.906895731559,2.60442352513369,0.674661972026698,1.2679368365814e-06,0.000261620259075988,"Up"
"LOC111121976",259.895473462634,1.11590993921115,0.459716658688285,1.74987070403309e-06,0.000339568128096554,"Up"
"LOC111114504",5.47326454856003,18.482900120828,4.7268906690491,3.31354049892388e-06,0.000595004407428386,"Up"
"LOC111125623",214.2007665224,-1.36471746298307,0.655364424787292,1.17969971196582e-05,0.00174953680497788,"Down"
"LOC111137271",3529.49578542349,0.450603309349624,0.133985981689197,9.20858265198991e-05,0.00861715818870717,"Down"
"LOC111099881",43.8829940998457,1.21126999715639,1.16470329758461,0.000410107669445057,0.025608602967979,"Up"
"LOC111127502",50.4064335710492,1.69531050929937,1.01365530556069,6.47749008050376e-05,0.00672444438982297,"Up"
"LOC111118093",886.408782496067,0.439655829764244,0.168623063040038,0.00077463593618734,0.0393477152907392,"Down"
