"","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"LOC144621260",11.2237723287593,11.9383309186701,11.230534480179,11.3911732419646,11.4963119328106,11.3357869168197,11.6235122123118,11.6040871264321,10.9426431795401,11.3527387778353,11.5892022437885,11.8436906647158,10.9580787896224,11.6999152441965,11.1640140033215,11.6625826402318,12.0023996355488,11.3747881251638,11.4894502355291,11.1642131451486,11.7028409020388,11.4685645740782,11.6019147132622
"LOC144621269",9.25982600731972,14.2344802517562,13.2501077117531,6.81917060163578,7.59999984693934,13.0693699455695,11.2577163512661,11.6594083825203,11.6994046716077,11.3684238956965,11.2635811784386,13.6486675350669,10.8995959919125,13.1739815203939,11.2437682010246,8.39082823797331,15.5349247471984,13.1148572953227,11.5892141263375,11.8789759429888,13.4432552611854,6.1879645300301,12.343726765083
"LOC111120925",6.26945001022829,6.68653756484745,6.79471466216333,6.20684808510325,6.46376548063072,6.73048305440861,8.89542531984165,8.91981733016895,8.31925101771399,6.33485564235968,11.1196197933482,6.99245979294136,6.48142808354898,8.95874261040149,6.62214200490809,8.48427675504168,8.36726380304155,6.4057500564313,8.81807899088895,6.3626124580811,6.39595061694112,5.92780585466418,6.60943325672177
"LOC144621283",9.90547502227805,10.1690734704779,10.2765588333007,9.97054225380156,10.3807009806395,10.0623690869085,9.74650645355473,10.1698961325618,10.1034213097423,10.0675157332429,10.1253789083098,9.78234904478155,9.67401725460293,10.1034092427806,9.81780756935575,9.42527454530026,9.84575669385931,9.31767047093743,10.5815669385784,10.5879268121361,9.67169202333102,10.127812932493,10.1585507337215
"LOC144621276",13.5421484855684,13.7671569666868,14.1463080062313,13.2262064431565,13.0865707928721,13.0463209319648,13.8110162562119,13.5979353884221,13.3109828030566,13.4153266454849,13.5541861467977,13.5693796373574,13.5072996457747,13.9306398861885,13.6871750455177,12.8797912330676,13.9976405558781,12.9634002384061,13.8934802967284,14.1819010380083,13.3346920061977,13.9296461013068,13.5515881197732
"LOC111115920",8.74660832012204,8.49712184704219,8.3865741895079,8.98032472315249,9.32846456427022,8.50343380225576,7.95989823556419,8.19010938461193,8.39371858483935,8.21301211786353,7.38670244590391,8.56041047350281,7.88147897659476,7.62338149874527,8.2002063313353,8.72066947066911,8.06095857129747,7.84549950182238,8.05537360590927,8.47001549601467,8.13111962352433,8.17784976776032,7.82137188626756
"LOC144621308",7.03610621038808,6.90014378575955,7.66132160767321,7.06710765360841,7.16775068997244,7.48627080609739,6.72841624184196,7.93120599561566,7.32240290372715,7.40591536379536,7.08613171012392,7.03511352696309,8.14411245934273,8.32316593135874,6.90070944755296,7.59025377220838,7.7767665262744,7.95204359932177,6.85750971151759,10.9113443454713,6.94300363426852,6.11189026729558,7.15248194072644
"LOC111112629",8.84310418357004,9.47554427829049,10.6241107047752,9.43482079480711,9.34995011005708,8.90581372608839,10.2467526534824,8.54337433856471,9.08001154005465,7.72491473994322,8.19736693324944,9.54315085423519,8.98958830995148,9.93474051740196,9.90438985260604,10.0277466846928,9.59504666178328,8.0503819595483,10.4203173445749,11.8948979083141,7.65291174601087,9.44094357758267,9.89713404941198
"LOC111102827",10.8318128988853,11.0311562923899,10.8345064191002,11.4815850525284,10.710687560489,10.5532934138673,10.9853037478255,11.4668160239982,10.4942578160389,10.3335803196121,11.3192097292969,11.1137530389638,12.6307457136101,11.8523072433824,10.6447665084968,10.5627104271949,12.075469633823,11.8140228460835,11.3036172249453,10.7633395814805,11.4819936066434,9.01271361794995,10.2345631958627
"LOC111102829",8.9537573265239,8.97440258004465,9.78841806121179,8.51711378286809,9.50042648195728,9.32341922496881,9.27640505410505,9.90030600836364,8.90819046398803,8.83675079539358,8.43300492477734,9.40339171655065,9.9907362502982,9.95159884640853,8.93906246131117,9.40984445844841,10.0890225885948,9.39419630701247,8.54499266557137,9.10713798366702,8.92326193959745,10.260140216174,9.80023942827469
