"","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"LOC144621260",11.2204907293801,11.9363128510619,11.2272678716566,11.3882437083059,11.4935843286736,11.3327451952485,11.6210107290951,11.6015523419877,10.9386753774956,11.3497318321815,11.5866416474089,11.8415378555939,10.9541520400661,11.6975406232907,11.1605969757251,11.6601468411681,12.0004680310059,11.3718258312001,11.4867098795088,11.1607965777892,11.7004710111872,11.4657850431469,11.5993761776083
"LOC144621269",9.24783359988914,14.2340646437279,13.2492878048584,6.77206681922329,7.56803469589599,13.0684413286744,11.2545093298891,11.6569673108247,11.6970292242836,11.3654487806931,11.260386873803,13.6480446708723,10.8955114881117,13.1731174590179,11.2405307368209,8.37037164859666,15.5347557153488,13.1139573172617,11.586653550666,11.8768743758094,13.4425375718619,6.12656115522188,12.3421977243077
"LOC111120925",6.20995505180452,6.63654404936354,6.74708386586346,6.14588797726475,6.40876308533271,6.68145539947926,8.88035672096458,8.90497463133286,8.29791274362197,6.2768831675138,11.116098643216,6.94900828203968,6.4268289856106,8.94425423102383,6.57071909698492,8.46492569695324,8.34652032187889,6.34941651417699,8.80227400251706,6.3052831660836,6.3393913008414,5.86025742258899,6.55772636362371
"LOC144621283",9.89756628421116,10.1624231389093,10.2703650031386,9.96296353252017,10.3749208335379,10.0552340653857,9.7377337986712,10.1632494134633,10.0964765979998,10.0604048384657,10.1185340026715,9.77377855735622,9.66482206407469,10.0964644758114,9.80943279064712,9.41448176891464,9.83753321914111,9.306110627543,10.5765111433888,10.582892462662,9.66248297069034,10.1209790063202,10.1518540299
"LOC144621276",13.5414781188007,13.7665830153143,14.1458662871833,13.2253729202529,13.0856531105544,13.0453774596435,13.810459423382,13.5972903331674,13.3101965846542,13.4145949997895,13.5535213240679,13.5687217470038,13.5066129683498,13.9301272014388,13.6865685162628,12.8787331842655,13.9971510560748,12.9624013438785,13.8929542848634,14.1814700506227,13.3339185329057,13.9291330645575,13.5509221043766
"LOC111115920",8.73009518942103,8.4779187761479,8.36606605172955,8.96602955853671,9.31698385189242,8.48430310225481,7.93365931700549,8.16710206902755,8.37329695808786,8.19030823584555,7.35095617121681,8.54192272636727,7.85406281107435,7.59181345448442,8.17733318615683,8.70389262063924,8.03617925261565,7.81753008278731,8.03051530697611,8.45049901741964,8.10731583538017,8.15467869826819,7.79302682648052
"LOC144621308",6.99355061446768,6.85476497445589,7.63039053835403,7.02518224776984,7.12783474403395,7.45232490313332,6.67934334241561,7.90454088440072,7.28546170681765,7.37052125165553,7.04459044216502,6.99253766671956,8.12048595274481,8.30187667349793,6.85534257567304,7.55812207374613,7.7477172095903,7.92568852866849,6.81122655303062,10.9072920181046,6.8985249760367,6.048696066367,7.11226478267207
"LOC111112629",8.82754082228311,9.46509363796385,10.6191967112971,9.42409377019989,9.33862544095216,8.89084170363498,10.2404353164059,8.52469628697863,9.06657947084187,7.69503076734801,8.17445612103367,9.53314462741553,8.97537537588449,9.92698185181739,9.8964754976698,10.0204473340685,9.58536967074803,8.02545290478811,10.4146875159673,11.8928190681959,7.62184027365275,9.43025853138851,9.88918204175188
"LOC111102827",10.8275378554274,11.0274183629969,10.8302391088818,11.4788300078423,10.7060503870168,10.5481412103007,10.9814484022026,11.464033188552,10.4888985779929,10.3276163766083,11.3161336201739,11.1102178996586,12.6294900745472,11.8501670598114,10.6399199726625,10.5575905290288,12.0736321868714,11.8118260023954,11.3005084241452,10.7588633272778,11.4792393268513,8.99870413396379,10.2281946764725
"LOC111102829",8.93922398924382,8.9600546255174,9.77988137157549,8.49813914711222,9.49014147701664,9.3119015870015,9.26453810329361,9.89237048169985,8.89324046036807,8.82112639740603,8.41305363196249,9.39244682211651,9.98325728380435,9.94392540873263,8.92439588626891,9.39894462293709,10.0820116815588,9.38318690732775,8.52633276257641,9.09393258729549,8.90845090071563,10.253878640404,9.79176821317835
