"","MEgreen","MEred","MEblue","MEmidnightblue","MEcyan","MEbrown","MEyellow","MEturquoise","MEpink","MEblack","MEtan","MEsalmon","MEgreenyellow","MEmagenta"
"W4_C5_G55",-0.0861695967509987,-0.178150406472672,-0.0722041768204738,-0.137355010142773,-0.0316448028775928,0.0422859007581847,0.129713487030552,-0.0570456231440667,0.394043364745768,0.0309001349893326,0.249933177689953,-0.0412554797966646,0.172758006105007,0.100631540239451
"W4_H1_G08",-0.0562254624900317,0.0424360337396045,0.152856184516194,0.0865275317896031,-0.0587198294771176,-0.131679629473726,-0.0745212172734816,-0.0812851979841997,-0.0306183364682115,-0.0646060246723147,-0.0105392670666084,0.0760879668389701,-0.0346974715698044,0.0508200345821696
"W4_W5_G56",0.0845746460713815,0.0413165773068266,-0.0298792768810914,-0.159519861512458,-0.00840421792564317,-0.0108857822424565,-0.102252372014097,0.265132595179928,-0.0313371241944503,0.0620474063089748,-0.0714649799376999,0.109819549944353,-0.110807603253388,-0.0346128783658185
"W5_B2_G21",-0.0247164737357404,0.120054345928863,0.147471539149899,0.0959089503536381,-0.153779950940534,-0.0795476241376105,-0.17799948340761,-0.082043044466938,-0.0254372734896607,-0.0644683868371099,0.000875712192414829,0.125765354532989,-0.0727491024867528,0.02593165469721
"W5_C4_G45",-0.0819005207311488,-0.0295617225037132,-0.125561184306491,0.0236309434608684,0.154557488282151,0.0750430027604737,0.160237951407757,-0.0836961347622671,-0.0446118395994141,-0.0673247883137236,-0.0175510413873264,-0.107603103546347,0.0366252706029094,-0.0124296234886044
"W5_H4_G46",-0.0711412670689462,0.0908927769759675,0.0777150057797411,0.05979503620965,0.0719913824343762,-0.0723353408088964,-0.104883910570123,-0.0459310983677347,0.0216375767871032,0.117767906899787,0.0215005128215051,0.0644782682496328,-0.0681331872945314,0.00331590465301521
"W5_W2_G22",-0.0625583292157484,0.105911558262659,0.144114296297889,0.119570838555828,-0.0287822093340322,-0.0621065118398816,-0.126795259562518,-0.065182293730516,-0.0308534248490262,0.0737032383001029,0.00151541089284653,0.0176553765754799,-0.0585488018480804,-0.0533507598498568
"W6_B3_G35",-0.0653024982517829,0.0769108723277953,0.156279372174155,-0.0546605225290434,-0.00411503280488031,-0.035574783536593,-0.151033571617435,-0.0775061340837289,-0.0354061209607495,-0.0629895567130296,-0.0207989609937667,0.116996990742459,-0.0664535917464341,0.0383538899132166
"W6_B4_G48",-0.0905080283671158,-0.0498546953590775,-0.0140913394254121,-0.0430035388906265,-0.155413174538337,-0.00120236632053643,-0.0239787945538599,0.229894440437827,-0.0143698404314525,-0.0389791628360862,0.000715143896969027,-0.0422467667861454,0.0592091349747451,0.0405640594059067
"W6_H6_G71",-0.0779297581140361,0.0981824308714733,-0.00704637554638292,-0.0435698446047444,0.157380088343867,0.127053993664122,-0.0114914493650279,-0.0735886245856534,-0.0167129613855353,-0.0390775500024109,0.00180112172459295,-0.0241225908662995,-0.0528842287508762,-0.0578216622487851
"W6_W3_G36",-0.0718026084762757,0.0986496713755937,0.0751212412696549,0.0409975782775321,-0.0152455812630283,-0.0356978658962427,0.00528508332463359,-0.0487163188943728,0.00783113879638577,-0.0354532691447538,-0.00100059028443741,-0.131539134402751,-0.0560179572376931,-0.0953564849328993
"W6_W4_G48",-0.130941393580951,0.035482385828016,0.0284344565624399,-0.18145519209382,-0.0292840186462446,-0.0352500001726758,-0.0192947543624804,0.231437916469774,0.0349605025523153,-0.0454625296549563,0.0488521499461044,-0.0704481505421557,-0.0267543624614079,-0.0672132307642124
