"module","Trait","Cor","pvalue","label","sig","trait_type"
"MEgrey60","Shell Growth",-0.18706800184752,0.0741707741733068,"-0.19
(0.07)",FALSE,"Phase 2 Growth"
"MEgrey60","Tissue Growth",-0.168146513817632,0.109115090092388,"-0.17
(0.1)",FALSE,"Phase 2 Growth"
"MEgrey60","Tissue:Shell Growth",0.1322680565813,0.208806191161129,"0.13
(0.2)",FALSE,"Phase 2 Growth"
"MEgrey60","Phase 1 Interaction",0.0311497693246821,0.768173759295949,"0.03
(0.8)",FALSE,"Treatments"
"MEgrey60","Phase 1 Temp",0.043933692060777,0.677529696873297,"0.04
(0.7)",FALSE,"Treatments"
"MEgrey60","Phase 1 DO",0.012551811586999,0.905472377927039,"0.01
(0.9)",FALSE,"Treatments"
"MEgrey60","Phase 2 Interaction",-0.019011779677371,0.857248699837613,"-0.02
(0.9)",FALSE,"Treatments"
"MEgrey60","Phase 2 Temp",-0.286153268291476,0.0056882079303017,"-0.29
(0.006)",TRUE,"Treatments"
"MEgrey60","Phase 2 DO",0.121689539688482,0.247866657651506,"0.12
(0.2)",FALSE,"Treatments"
"MEgrey60","P1_both",0.0279057464192394,0.791738095944073,"0.03
(0.8)",FALSE,"Treatments"
"MEgrey60","P1_control",-0.0377309986025871,0.721030387789252,"-0.04
(0.7)",FALSE,"Treatments"
"MEgrey60","P1_hypoxic",-0.0129992592729804,0.902119036225537,"-0.01
(0.9)",FALSE,"Treatments"
"MEgrey60","P1_warm",0.0229181844383956,0.828328053033761,"0.02
(0.8)",FALSE,"Treatments"
"MEgrey60","P2_both",-0.228477623306017,0.0284822259291808,"-0.23
(0.03)",TRUE,"Treatments"
"MEgrey60","P2_warm",-0.0970483081617838,0.357414866551885,"-0.10
(0.4)",FALSE,"Treatments"
"MEgrey60","P2_control",-0.0427379777564939,0.685838916198248,"-0.04
(0.7)",FALSE,"Treatments"
"MEgrey60","P2_hypoxic",0.377846372236629,0.000204598910987977,"0.38
(0.0002)",TRUE,"Treatments"
"MElightcyan","Shell Growth",0.249637421028813,0.0164028454705376,"0.25
(0.02)",TRUE,"Phase 2 Growth"
"MElightcyan","Tissue Growth",0.17503910196198,0.0951428123238014,"0.18
(0.1)",FALSE,"Phase 2 Growth"
"MElightcyan","Tissue:Shell Growth",0.125130577595165,0.234645132743515,"0.13
(0.2)",FALSE,"Phase 2 Growth"
"MElightcyan","Phase 1 Interaction",-0.0887519089888098,0.400179279218443,"-0.09
(0.4)",FALSE,"Treatments"
"MElightcyan","Phase 1 Temp",-0.0180625797520296,0.864306084468859,"-0.02
(0.9)",FALSE,"Treatments"
"MElightcyan","Phase 1 DO",-0.0893319137945404,0.397094827639306,"-0.09
(0.4)",FALSE,"Treatments"
"MElightcyan","Phase 2 Interaction",-0.31317151585572,0.00236879778838153,"-0.31
(0.002)",TRUE,"Treatments"
"MElightcyan","Phase 2 Temp",-0.461227010245482,3.70885059953561e-06,"-0.46
(4e-06)",TRUE,"Treatments"
"MElightcyan","Phase 2 DO",-0.119674773585201,0.255841617130342,"-0.12
(0.3)",FALSE,"Treatments"
"MElightcyan","P1_both",-0.123492752211309,0.240875597634712,"-0.12
(0.2)",FALSE,"Treatments"
"MElightcyan","P1_control",0.00233375135455885,0.982385315863214,"0.00
(1)",FALSE,"Treatments"
"MElightcyan","P1_hypoxic",0.0185231192096279,0.860880568348097,"0.02
(0.9)",FALSE,"Treatments"
"MElightcyan","P1_warm",0.0993941509787344,0.345856260112983,"0.10
(0.3)",FALSE,"Treatments"
"MElightcyan","P2_both",-0.347011780969932,0.000701831401137281,"-0.35
(0.0007)",TRUE,"Treatments"
"MElightcyan","P2_warm",-0.177676799470588,0.0901845191409028,"-0.18
(0.09)",FALSE,"Treatments"
"MElightcyan","P2_control",0.323188445652656,0.00167618862291204,"0.32
(0.002)",TRUE,"Treatments"
"MElightcyan","P2_hypoxic",0.216945321880624,0.0377809247293015,"0.22
(0.04)",TRUE,"Treatments"
"MEblue","Shell Growth",0.303841275292628,0.00323535244673442,"0.30
(0.003)",TRUE,"Phase 2 Growth"
"MEblue","Tissue Growth",0.240066360839793,0.0211682805570855,"0.24
(0.02)",TRUE,"Phase 2 Growth"
"MEblue","Tissue:Shell Growth",0.0324030841720937,0.759124604560174,"0.03
(0.8)",FALSE,"Phase 2 Growth"
"MEblue","Phase 1 Interaction",-0.026695334272355,0.800579850749459,"-0.03
(0.8)",FALSE,"Treatments"
"MEblue","Phase 1 Temp",-0.0590769551962119,0.575897211919916,"-0.06
(0.6)",FALSE,"Treatments"
"MEblue","Phase 1 DO",-4.14596882122078e-05,0.999687045653069,"-0.00
(1)",FALSE,"Treatments"
"MEblue","Phase 2 Interaction",-0.385581316229351,0.00014724401408069,"-0.39
(0.0001)",TRUE,"Treatments"
"MEblue","Phase 2 Temp",-0.343084038321055,0.000814026725666789,"-0.34
(0.0008)",TRUE,"Treatments"
"MEblue","Phase 2 DO",-0.259631712754799,0.0124450243574122,"-0.26
(0.01)",TRUE,"Treatments"
"MEblue","P1_both",-0.0743412503042443,0.481257002031594,"-0.07
(0.5)",FALSE,"Treatments"
"MEblue","P1_control",-0.00496809132946994,0.962512425253616,"-0.00
(1)",FALSE,"Treatments"
"MEblue","P1_hypoxic",0.0731842833003428,0.48812642291664,"0.07
(0.5)",FALSE,"Treatments"
"MEblue","P1_warm",0.00494631637785178,0.96267661369441,"0.00
(1)",FALSE,"Treatments"
"MEblue","P2_both",-0.13164510512048,0.210977107466299,"-0.13
(0.2)",FALSE,"Treatments"
"MEblue","P2_warm",-0.258644867148633,0.0127947909731523,"-0.26
(0.01)",TRUE,"Treatments"
"MEblue","P2_control",0.570595879667518,2.88318086293883e-09,"0.57
(3e-09)",TRUE,"Treatments"
"MEblue","P2_hypoxic",-0.168816994037524,0.107689595183367,"-0.17
(0.1)",FALSE,"Treatments"
"MEyellow","Shell Growth",0.251054669218381,0.0157826568645422,"0.25
(0.02)",TRUE,"Phase 2 Growth"
"MEyellow","Tissue Growth",0.137741529288495,0.190413369795347,"0.14
(0.2)",FALSE,"Phase 2 Growth"
"MEyellow","Tissue:Shell Growth",-0.0641356196760063,0.543597364140527,"-0.06
(0.5)",FALSE,"Phase 2 Growth"
"MEyellow","Phase 1 Interaction",-0.0410472473881255,0.697651909029161,"-0.04
(0.7)",FALSE,"Treatments"
"MEyellow","Phase 1 Temp",-0.0187184113793242,0.859428747976965,"-0.02
(0.9)",FALSE,"Treatments"
"MEyellow","Phase 1 DO",-0.0361319852206795,0.732396771149646,"-0.04
(0.7)",FALSE,"Treatments"
"MEyellow","Phase 2 Interaction",0.002816974159109,0.978738823763543,"0.00
(1)",FALSE,"Treatments"
"MEyellow","Phase 2 Temp",0.031157262709214,0.768119561959425,"0.03
(0.8)",FALSE,"Treatments"
"MEyellow","Phase 2 DO",-0.0124150223494773,0.906497861663353,"-0.01
(0.9)",FALSE,"Treatments"
"MEyellow","P1_both",-0.0867400247989851,0.410987639932966,"-0.09
(0.4)",FALSE,"Treatments"
"MEyellow","P1_control",-0.022120018695442,0.834219938296438,"-0.02
(0.8)",FALSE,"Treatments"
"MEyellow","P1_hypoxic",0.043734178392752,0.678913505498691,"0.04
(0.7)",FALSE,"Treatments"
"MEyellow","P1_warm",0.0629455964406412,0.551115360230121,"0.06
(0.6)",FALSE,"Treatments"
"MEyellow","P2_both",0.192275061605783,0.0663287936144942,"0.19
(0.07)",FALSE,"Treatments"
"MEyellow","P2_warm",-0.156830780203857,0.135448739372977,"-0.16
(0.1)",FALSE,"Treatments"
"MEyellow","P2_control",0.176000133689056,0.0933119973154033,"0.18
(0.09)",FALSE,"Treatments"
"MEyellow","P2_hypoxic",-0.212487783630014,0.041999016388251,"-0.21
(0.04)",TRUE,"Treatments"
"MEblack","Shell Growth",-0.303297641011395,0.00329365575102032,"-0.30
(0.003)",TRUE,"Phase 2 Growth"
"MEblack","Tissue Growth",-0.2083513381655,0.0462568546063556,"-0.21
(0.05)",TRUE,"Phase 2 Growth"
"MEblack","Tissue:Shell Growth",0.0202922247336563,0.847746327084449,"0.02
(0.8)",FALSE,"Phase 2 Growth"
"MEblack","Phase 1 Interaction",0.135680473402388,0.197196419514839,"0.14
(0.2)",FALSE,"Treatments"
"MEblack","Phase 1 Temp",0.0243730081945337,0.817613475204,"0.02
(0.8)",FALSE,"Treatments"
"MEblack","Phase 1 DO",0.138187726511775,0.188967425956138,"0.14
(0.2)",FALSE,"Treatments"
"MEblack","Phase 2 Interaction",0.506078528674762,2.65678453264822e-07,"0.51
(3e-07)",TRUE,"Treatments"
"MEblack","Phase 2 Temp",0.357756299268428,0.000463181864484105,"0.36
(0.0005)",TRUE,"Treatments"
"MEblack","Phase 2 DO",0.386997029263176,0.000138517151063686,"0.39
(0.0001)",TRUE,"Treatments"
