"Gene","GO.terms","ModuleColor","phase1_temp.GS.warm","phase1_temp.GS.ambient","phase1_DO.GS.hypoxic","phase1_DO.GS.normoxic","phase1_treatment.GS.both","phase1_treatment.GS.control","phase1_treatment.GS.hypoxic","phase1_treatment.GS.warm","phase1_temp.p.GS.warm","phase1_temp.p.GS.ambient","phase1_DO.p.GS.hypoxic","phase1_DO.p.GS.normoxic","phase1_treatment.p.GS.both","phase1_treatment.p.GS.control","phase1_treatment.p.GS.hypoxic","phase1_treatment.p.GS.warm","MMroyalblue","MMdarkturquoise","MMmagenta","MMpink","MMlightyellow","MMmidnightblue","MMsalmon","MMgrey60","MMbrown","MMred","MMdarkgrey","MMblue","MMcyan","MMorange","MMdarkgreen","MMturquoise","MMblack","MMtan","MMlightgreen","MMlightcyan","MMdarkorange","MMgreenyellow","MMdarkred","MMwhite"
"COX2","GO:0004129; GO:0005507; GO:0005743; GO:0070469","cyan",-0.200261771548091,0.200261771548091,-0.101779217326432,0.101779217326432,-0.329604712671602,0.0339899735894166,0.193826399467631,0.0817933432396004,0.359566306449328,0.359566306449328,0.644010562718395,0.644010562718395,0.124571993067766,0.877638380252123,0.37552759866667,0.710626817026721,-0.279192347000344,-0.113131074510852,-0.0909717194433228,0.413551672542131,0.363728710575424,0.202992563602194,0.125109017820634,-0.428070849308703,0.201555250816054,-0.271425310964955,0.218743945768419,-0.00303574732052942,0.566833781581639,-0.00696576915655596,0.242478760768204,0.376442489074554,0.0570887985904712,-0.121567507780127,-0.0532123751712883,-0.337368307257123,-0.477854337758633,-0.59687902599025,0.0601567828695672,-0.103014671613456
"COX3","GO:0004129; GO:0005743; GO:0008535; GO:0019646; GO:0045277","cyan",0.184803313814837,-0.184803313814837,-0.175497662990458,0.175497662990458,-0.0794466173708259,-0.0852131449383311,-0.125017796078334,0.284858043479903,0.398576059672683,0.398576059672683,0.423151118936226,0.423151118936226,0.718596456396973,0.699065435075536,0.569786279798699,0.187691477687977,-0.173139799920414,-0.240145974069374,-0.312194793919207,0.0431959381091791,0.200911378491151,0.334012300302156,0.0195751698511315,-0.388381319647276,-0.122281087316664,-0.659295968268169,0.221374570649485,0.481545141961159,0.871081918644204,0.100861360321872,0.381168854709501,0.269994833956063,-0.0328292119536044,-0.129676055887078,-0.338640403019336,-0.250637727523891,-0.365307594012846,-0.776251360881148,-0.0564669875171615,-0.214452871248118
"CYTB","GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872","cyan",0.18843731747272,-0.18843731747272,-0.202047108253823,0.202047108253823,-0.102563672039535,-0.080859392613176,-0.133505565228643,0.31070675206289,0.38920014859013,0.38920014859013,0.355209309814637,0.355209309814637,0.641445171570951,0.713795118938763,0.543656334916342,0.149020588470005,-0.0682108336381178,-0.031854932270809,0.0509075887828697,0.117560675525819,0.380200834462181,0.373125127708931,-0.0727431709764191,-0.30184394552744,0.0617600432482076,-0.379004611474624,0.0681598251283243,0.250784981228538,0.537670206883109,0.00636764782513148,0.225725867680192,0.251867661552363,-0.362728543095006,0.00267958328285085,-0.308501843728124,-0.418589773863642,-0.29518001180189,-0.49364258059661,-0.270202812190888,-0.434650576687039
"LOC111099029","GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604","black",0.322576748857224,-0.322576748857224,-0.0685227563779151,0.0685227563779151,0.0579219401864919,-0.23460183373396,-0.132359191273948,0.312552836110565,0.133299491793589,0.133299491793589,0.756057054305731,0.756057054305731,0.792925982809662,0.281259261378758,0.54715295602316,0.146493323706796,-0.0464447659459136,-0.13842204367868,0.0274825008560605,-0.0520711452716357,0.261187290997665,0.394216954889006,-0.244256222138385,0.233153860023389,0.106003648404334,-0.0402090107653549,-0.178143750356249,-0.0989298912123329,-0.00360364209723737,-0.0496632052878941,0.0875916534419,0.174792145053124,0.449118994067398,0.0036060615913215,-0.160561031105021,-0.286715776697843,-0.0827609929502511,0.0335708005341651,-0.110621132757569,-0.23949003857372
"LOC111099033","GO:0005737; GO:0005886; GO:0005903; GO:0006814; GO:0007420; GO:0008520; GO:0009636; GO:0009925; GO:0015081; GO:0015229; GO:0015882; GO:0016324; GO:0030324; GO:0033300; GO:0043229; GO:0070837","red",-0.313430419942786,0.313430419942786,0.266996232566635,-0.266996232566635,0.157854132856123,0.201101341375715,0.15545488463353,-0.504834364673274,0.145302635045863,0.145302635045863,0.218109567032692,0.218109567032692,0.471923051555794,0.357513532469173,0.478769143691879,0.0140163694100416,0.464031681036553,0.304791859959926,0.464402491287968,0.324867850041926,0.358844509392941,-0.033518019462334,0.157767169173565,0.371407382793558,0.737346252355678,0.839432557380224,-0.308295545247923,-0.636298595298588,-0.572342437653463,-0.0871497842567188,-0.222968396815157,-0.301179218387804,-0.149390053060933,-0.139349907163396,0.0371220472504242,-0.297223245719637,-0.237456834598936,0.380196875307325,0.132376356637986,-0.225950013522564
"LOC111099035","GO:0004090; GO:0005739; GO:0005743; GO:0005783; GO:0016616; GO:0047045","red",-0.329422272327482,0.329422272327482,0.170258549916607,-0.170258549916607,0.0556942091604555,0.233379123388967,0.141369320638635,-0.427064044001183,0.124793194993978,0.124793194993978,0.437339975134682,0.437339975134682,0.800731586413085,0.283846829793865,0.519952475202445,0.0421085481740104,0.16777320287917,0.0633183987679435,-0.17676259915762,0.0859353050910743,-0.339339657130347,-0.475413466788064,0.259296300891724,0.142952144273677,0.114645196647934,0.426919820588289,-0.0110015528922791,-0.228807566996494,-0.295290342519843,0.11080063248647,0.0429183995496462,-0.301907671535421,-0.285872457579137,0.0709026659591361,0.547340067647591,0.399645966332176,0.10179595290299,0.285462880141136,0.207410101623794,0.278854865552732
"LOC111099036","GO:0005308; GO:0005886; GO:0008028; GO:0015292; GO:0015718; GO:0015881; GO:0016323; GO:0046449","turquoise",0.204555174408844,-0.204555174408844,-0.0705056846862553,0.0705056846862553,-0.0759180779781104,-0.223806367012045,-0.00889415073346855,0.304013134589098,0.349140956692136,0.349140956692136,0.749214753917985,0.749214753917985,0.730632946071234,0.304619256152948,0.967872481144122,0.158442346081406,0.0279909842355283,0.143781879497934,0.219391074508655,-0.0384640872290778,0.255647639762775,0.273354830443599,0.0614007757959643,-0.290288180811655,-0.148859014493816,-0.235416240978606,-0.19315927242815,0.141428997083531,-0.0701189346193552,-0.194075370797947,0.204456185304583,0.231854724822222,-0.451773546072408,0.0645498276814457,-0.180373393338075,-0.243303131357217,0.114076956067103,0.00674653453627667,-0.101927286572065,0.18999545172978
"LOC111099037","GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006355; GO:0016604; GO:0043565; GO:0046872; GO:1990837; GO:2001222","darkred",-0.370892378648112,0.370892378648112,-0.276531111340698,0.276531111340698,-0.239752969628676,0.511295676989104,-0.0893711337029021,-0.196715843124287,0.0814549972530007,0.0814549972530007,0.201488579040719,0.201488579040719,0.270521539625402,0.0126473451961685,0.685095288564542,0.36831159291183,0.234571705446354,-0.104860414423855,0.109614038283846,0.32153851285502,0.202207705087235,-0.0646500538978226,0.259203852644958,0.00021323455203871,0.314515882460866,0.286759006468343,-0.18050557458528,-0.236440913656814,-0.13429083474746,-0.101597758303989,-0.112954746398597,-0.115297690142286,-0.0512343931937978,-0.095734708384665,0.0156906248388762,-0.0929761542759509,-0.119419785146612,0.0245585690063281,0.897653983929563,-0.0280306475712607
"LOC111099041","GO:0005542; GO:0005768; GO:0005886; GO:0010008; GO:0015293; GO:0015350; GO:0016323; GO:0016324; GO:0022857; GO:0055085","greenyellow",0.147907459562741,-0.147907459562741,0.022287926661919,-0.022287926661919,0.275969658014936,0.0656152891335394,-0.233873767649864,-0.0909698766607975,0.500628447065351,0.500628447065351,0.919597728656215,0.919597728656215,0.202442858101339,0.766121569710586,0.282798243501511,0.679749933689109,-0.209899277676769,0.115958082648428,0.0998984965187557,-0.0079744914289843,-0.0662218480106458,0.0899824809335444,-0.330978492654017,0.025482174098516,-0.198648413472526,-0.0650217455818742,-0.246515593691954,0.0367536695406552,-0.174737063604265,0.325068467872902,0.394939294541026,-0.0369332198167267,0.0500480721875117,-0.0904548060782787,0.199249218353203,-0.00843055011248994,0.33026214259242,0.314357368921353,0.0442270942455193,-0.555651301640961
"LOC111099043","GO:0005222; GO:0005223; GO:0005737; GO:0005886; GO:0006812; GO:0007165; GO:0007601; GO:0015276; GO:0017022; GO:0017071; GO:0030425; GO:0030553; GO:0031960; GO:0032026; GO:0043194; GO:0043204; GO:0044877; GO:0045296; GO:0051591; GO:0097386; GO:0098655; GO:0098659; GO:1902495","greenyellow",0.0306892811675999,-0.0306892811675999,0.202669742005502,-0.202669742005502,0.133183393467536,-0.140363557872778,0.105451648958342,-0.0901921053233477,0.889446088905763,0.889446088905763,0.353697105156093,0.353697105156093,0.544637967856937,0.522956364703276,0.632034979540472,0.682348547708026,0.103081491484472,0.45425734415723,0.434413946546356,-0.128568010406813,-0.0340779240931855,-0.158550407228627,-0.37715586893444,0.177054469950523,-0.0560611610753556,0.282258302426123,-0.509440468374033,-0.308845702240807,-0.562971432539564,-0.222911874926073,0.0801379482093031,-0.0815730974145297,-0.048838246794012,-0.0719551565368133,0.272807671833404,0.0555425941501758,0.449249862632351,0.704120258051106,0.466494643329555,0.220535067057082
"LOC111099047","GO:0003333; GO:0005886; GO:0006865; GO:0015171; GO:0015175; GO:0015184; GO:0015297; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605; GO:0046982","greenyellow",0.226734114714004,-0.226734114714004,-0.133387120663131,0.133387120663131,0.288241974420668,0.164565309791012,-0.422496432956177,-0.0128250659736842,0.298169474244118,0.298169474244118,0.544017131700746,0.544017131700746,0.182273812082172,0.453041834902184,0.0446009644003928,0.953685719454427,-0.0149656634068209,0.2128673278923,0.250925791993865,-0.31659582977478,-0.227282513143383,-0.174973165710282,-0.265020028104921,0.03997384724675,-0.284726690255238,0.0154284148375069,-0.122063295301903,0.185141461221852,-0.296456499848798,0.152261232842548,0.0826739522048422,-0.248411159112264,-0.367113193219186,-0.0388952399942253,-0.237079115714548,0.198117821701402,0.478172176534255,0.373192002882489,0.144742026174098,-0.00199644231411551
