"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111104490",383.375349672193,-1.25749317003999,1.05053934109882,0.000147861169884129,0.0211043385169232,304.075901750219,318.834952900884,115.905513402284,678.772551018133,225.447844081122,426.616292429121,509.989353923279,104.213415772576,185.345371378602,117.758979417599,648.62880296724,762.813371339556,1599.51985939112,75.5680169150198,309.570702353912,288.573253379318,653.644476772062,118.054996172085,150.687505970476,190.745243164154,178.260859380216,270.185444712958,259.311231066961,990.910030298501,177.208139831582,652.117141091606,300.962421463193,190.699651315,183.275897232006,421.492523139812,318.902807080998,801.269397389552,174.931612461422,251.275915170352,277.266674225747,227.646917016065,265.318119168279,212.396434687745,177.855285999937,658.678505980896,475.828830201913,221.196155142817,142.557444907727,293.244962586639,2227.23748986031,232.187431774402,210.508528234821,228.321414405973,194.931615355613,293.84783393896,258.057795940131,238.908443213585,511.156749228113,230.349409192418,211.378354165337,216.152840613215,130.962188987032,265.930300829823,268.569459298408,460.24323897984,110.222033379433,249.714472910566,393.635391489401,240.322252588299,442.773864114283,312.774778519536,1659.92245925515,211.136768379895,111.461263663452,152.391270939827,236.676837396875,210.67736791025,421.725524652594,202.163388916183,98.3986108178822,228.356632619095,135.780654309236,473.076977879937,325.326319075716,355.224666691992,740.531615505405,267.329544458545,284.473544176443,654.490726398279,570.188036263824,249.001026430802,389.706408540788,1705.02491444214,108.312297809648,221.335554947801,1154.06318288029,290.606169791262,360.781062290474,"CH vs. BH","CH"
"LOC144622004",488.148304047848,-2.79330128512852,2.35316066001019,0.000191550564259074,0.0252584213591774,20.7753721692697,94.246809976991,18.050858644618,609.670706262421,1109.89707855321,897.405388978969,436.666109200035,0,202.997311509898,0.997957452691516,997.657676725662,151.713925036935,523.040897664592,66.2877341359823,502.927160458458,2486.66468897122,398.94852547812,32.5972750624413,118.723489552496,774.092346044818,5.01134946048801,7.41685534506158,19.8742184394386,1493.57771644097,265.217551560019,923.460403566366,174.516404112338,1642.24859297333,2004.03466199521,37.5587396857258,248.539910144977,226.54661988766,186.073753382531,22.0241837997918,754.685228908206,660.326818894281,363.233139337525,6006.3986682509,75.862444265376,359.558562362822,288.705132931498,3.89772960604083,440.068634280376,207.127454586512,120.944391679967,3.02853171879654,1160.70448164835,22.626446472664,1324.98972115843,482.75001289972,0,15.0039118926406,37.8976975015418,21.9835535743801,670.681787281607,727.059554789906,952.771898402298,92.5437446887785,62.0521494407873,689.274234680708,3.75756931975341,28.9524026562975,322.435191478398,67.1345563910631,58.5882987222804,9.33656055282198,1.07022724645722,1900.23091541906,815.016119016835,504.137160467603,130.884325551853,29.5992996237541,461.290392637059,958.378659401293,2058.283270122,467.798538666302,627.225559831471,189.585155929413,4.53416472579395,1029.06310128042,21.6807060349249,2137.63512141945,84.6976248033422,169.562778951369,405.993487139141,18.5821661515524,62.5953298692457,0,4.24754109057442,121.042881612079,4.42169801869841,448.921471244711,7.47179714802756,"CH vs. BH","CH"
"LOC144618614",3.7806481683802,-2.48732442755616,2.9883715892199,0.000430965398552866,0.0451939057514505,1.88867019720633,0,11.400542301864,6.99765516513539,2.3122855803192,0,3.92803096731665,0,2.20649251641193,0.997957452691516,4.03501588160025,3.18280961615948,0,0,4.00738773273672,4.29105209485974,3.0052619621704,0,6.39280328359593,0,0,0,8.51752218833083,4.43856676505487,2.37863274941721,0,2.09001681571662,0,77.455885139717,4.17319329841398,2.2697708689039,3.71387901455181,1.11421409211097,4.0043970545076,1.73291671391092,0,2.1056993584784,2.15630898160147,5.90041233175147,2.0487667371101,2.13855654023332,0,0,0,0,2.01902114586436,2.32606108546764,0,0,2.098913099564,0,5.77073534332331,1.84866817080692,0,3.95099727411845,1.63752151979709,0,10.6372120331929,0,4.36249515620701,0,5.42857549805577,0,0,0,0,0,4.22273536759791,8.51933225453138,3.83374266515287,0,0,1.79840309020296,4.13986461944403,2.69585235117486,2.21705468562228,80.0497887345496,4.42955971797694,0,0,0,0,0,7.56012390229036,0,2.47762215354032,0,0,0,0,4.42169801869841,0,4.26959837030146,"CH vs. BH","CH"
"LOC144622036",59.4346469079026,-19.0636123970432,3.85139193561159,1.75401879151844e-07,4.79622591023942e-05,0,203.533004524778,0,0,201.16884548777,0,767.930054110406,0,0,0,0,190.968576969569,12.5781378195894,0,0,0,116.453901034103,0,0,1.85189556470052,0,0,1.89278270851796,85.4424102273063,0,0,0,0,49.0917581871446,16.6927731936559,0,0,275.210880751409,20.021985272538,9.53104192651007,0,0,2.15630898160147,0,0,0,44.8238904694695,0,0,0,37.3518911984907,160.498214897267,0,0,1088.28644212393,0,0,0,0,137.297155275616,846.598625735093,0,0,0,0,0,0,0,0,50.9045874144404,0,0,301.92557878325,0,127.471943616333,0,224.606450086134,0,0,62.0046040770217,17.7364374849783,0,0,0,0,0,0,0,397.446513720407,0,0,0,0.928662807430361,0,18.4446295789834,0,0,56.5721784064944,"CH vs. BH","CH"
"LOC144622046",14.8241599356916,21.7096983566701,3.36555546233908,3.81900281689415e-11,1.98412472348919e-08,0,0,0,0,0,0,0,0,0,0,22.1925873488014,6.36561923231896,0,0,27.0498671959729,0,78.1368110164304,0,291.329178209586,0,10.022698920976,188.60003591728,102.21026625997,1.10964169126372,0,0,0,0,0,0,28.3721358612988,0,0,105.115422680825,0,0,0,0,0,0,0,0,0,0,0,0,68.6188020212954,10.2847483966655,0,0,0,0,0,1.91161335429392,0,0,0,0,0,18.5406044138798,0,83.2381576368552,103.748862873175,11.6755750245327,0,0,62.0731802945189,13.7238899446932,0,0,66.4593984667442,3.48227054397107,0,0,26.9585235117486,0,0,0,13.6024941773819,0.989483751231176,0,4.00493699563363,0,18.3603009055623,0,0,5.04801047332626,0,0,0,0,5.42175689909071,0,"CH vs. BH","BH"
"LOC144622059",37.6456569300173,-15.6742480647953,3.10820462408047,1.24338500321746e-07,3.5493859591846e-05,3.77734039441266,71.1864203017698,0.950045191822,0,0,0,0,0,0,0,0,166.567036579013,0,0,0,0,173.553878315341,0,0,0.925947782350261,0,0,0,644.70182262422,0.594658187354303,0,0,0,5.45463979857162,223.265841465148,0,0,13.3705691053316,6.00659558176141,121.304169973765,0.753797738463791,0,1.07815449080074,0,0,0,3.89772960604083,0,0,0,10.0951057293218,0,2.05694967933309,2.7263162986799,0,0,0,0,0,104.701427764139,0,4.39470432842389,49.9948965560068,0,11.9968616795693,0,0,0,0.972964585377727,0,0,7.49159072520056,0,0,2.87530699886466,0,0,0,0,14.8271879314617,94.2248241389471,0,1.77182388719077,0,0,0,0,0,696.61141671104,0,2.47762215354032,2.01920418933051,0,0,401.17069334289,0,0,653.248550656124,"CH vs. BH","CH"
"LOC144619349",53.7232230655907,-20.9214219843592,4.15153108630317,1.10853048173903e-07,3.21057101166249e-05,0,0,440.820969005408,0,126.019564127396,0,0,0,122.460334660862,0,0,0,0,0,0,0,0,0,446.582972239773,0,0,0,342.593670241751,169.775178763349,0,0,7.31505885500817,1.01435984742021,1.09092795971432,0,0,0,0,129.14180500787,0,0,0,210.240125706144,0,0,0,0,2.32430616697382,0,286.545174134075,0,273.312177542448,194.381744696977,0,0,0,42.7034415405925,0,0,0,0,0,0,85.3217054810825,0,0,0,0,165.403979514214,0,0,272.907947846592,0,0,540.557715786555,4.06894276327005,125.942118006954,0,0,0,0,0,303.867796653218,0,0,0,0,0.920626356558067,0,0,2.47762215354032,0,355.677855245828,0,56.4866780856368,286.304946710722,0,0,"CH vs. BH","CH"
"LOC111105307",318.366398173038,-9.67291771757839,7.66086445719058,0.000144056196171669,0.0207897100441746,0,0,111.155287443174,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7723633392242,0,0,0,0,0,0,52.1531594893948,1.18931637470861,0,0,0,0,3.12989497381048,0,0,0,6.00659558176141,24.2608339947529,1218.89094309595,0,0,0,0,0,1.94886480302041,0,0,0,128.207842762387,0,0,0,0,0,0,0,0,0,0,0,0,12.6043428551599,55.6218132416394,0,0,0,0,0,10.5036306219247,1450.15791894954,1.05568384189948,0,0,0,0,230.195595545979,0,0,4.43410937124457,0,226.793457560419,0,0,186.996089551228,0,22093.1913046805,5.40008850163597,0,7.43286646062097,143.363497442466,0,3598.72918898918,0,15.4759430654444,0,6.4043975554522,"CH vs. BH","CH"
"LOC144623446",55.2439058813434,-2.92673398500835,2.58600819503983,0.000210125639624717,0.0270219492105509,0.944335098603166,101.265189443363,1.900090383644,103.215413685747,3.46842837047879,47.6601307618364,8.51073376251942,0,11.0324625820597,55.8856173507249,80.700317632005,5.30468269359914,3.14453445489735,0,68.1255914565242,2.14552604742987,1.5026309810852,5.28604460472022,2.73977283582683,59.2606580704167,1.431814131568,3.17865229074068,14.1958703138847,150.911270011866,2.37863274941721,173.07903573493,1.04500840785831,1.01435984742021,0,1.04329832460349,3.40465630335585,65.9213525082946,7.79949864477676,5.0054963181345,582.26001587407,21.1063366769862,91.5979220938105,18.3286263436125,0.842916047393067,58.3898520076377,99.4428791208493,524.244632012491,4.64861233394763,123.237123517423,94.8948303950508,18.1711903127793,2.32606108546764,0,3.40789537334987,0,0,2.30829413732932,92.4334085403459,2.86742003144088,47.4119672894214,8.18760759898543,67.6784466577278,139.347477634827,0,9.81561410146577,11.2727079592602,10.8571509961115,107.817445730947,3.89185834151091,33.6162369718003,0,96.3204521811501,20.0579929960901,2.83977741817713,2.87530699886466,560.157787076844,3.48227054397107,6.29441081571036,6.20979692916604,0,4.43410937124457,3.0398653949829,5.31547166157232,53.276435528079,55.4110900689459,129.406714145958,4.00493699563363,1.84125271311613,12.9602124039263,45.7457450297624,27.2538436889435,5.04801047332626,107.724885661922,7.43319690850524,5.76394674343233,789.273096337666,4.33740551927257,4.26959837030146,"CH vs. BH","CH"
"LOC144619428",12.8340191350384,-19.1051308515943,2.93681224802981,3.27119828153122e-11,1.77033161998618e-08,0,51.1339075407079,1.900090383644,0,36.9965692851071,0,0.654671827886109,0,0,0,0,0,52.4089075816225,0,2.00369386636836,0,87.1525969029416,0,1.82651522388455,0,0,0,0,11.0964169126372,0,0,0,0,33.818766751144,6.25978994762097,2.2697708689039,0,262.954525738188,18.0197867452842,2.59937507086638,0,0,0,0,0,16.0391740517499,0.974432401510207,0,0,0,0,2.32606108546764,1.02847483966655,0,112.291850826674,0,0,0,0,1.97549863705923,45.8506025543184,0,0,0,4.36249515620701,0,0,1.0171457144429,0,1.92092782696001,0,0,116.125222608942,0.709944354544282,0.958435666288219,0,35.4030838637059,0,0,0,2.21705468562228,4.0531538599772,1.77182388719077,0,0,2.03256619077421,0,0,262.444301179508,0,0,0,0,0,5.76394674343233,0,0,3.2021987777261,"CH vs. BH","CH"
