"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111104083",356.349047557752,-1.20894284158912,0.731594714668073,1.26005238786254e-05,0.00973894490578959,491.99858637225,315.827075986725,418.969929593502,436.47874092532,450.895688162243,525.423880593904,516.53607220214,166.122375637472,272.501825776874,764.435408761702,582.051040920836,180.359211582371,508.366403541738,250.246138449846,181.628391532591,246.454345563308,219.916419861562,206.611759899215,311.876631678493,249.319328060241,591.680632921816,285.646919247816,220.386558824687,351.111192430082,373.949249955873,194.453227264857,378.540600736394,405.463262249024,424.00241622165,294.550549122867,470.527544396176,155.479304519917,2969.24627213417,122.563550132206,197.216554934499,249.540006803173,212.570962246789,254.789622375887,336.38420112983,279.848127734498,434.33854826734,626.597066288362,252.377991991144,659.328182698239,242.762285483116,130.247806424579,196.854561721775,196.552161722016,300.314653182631,218.105303894392,417.683706813236,256.978056208164,100.410794973826,472.334717641168,381.366864181637,392.136479456256,116.264027905593,467.596540544301,205.298192240624,228.817301062903,63.2561797650016,249.25209821031,227.095408335333,320.400900049512,299.67309229634,231.471803148682,690.905480908826,378.860445245857,164.686679336318,239.251247481423,146.640656942097,356.710648913341,416.131330004543,409.136703021174,418.816304000421,327.546060667745,198.426394363194,281.694193268415,193.128803703794,553.168096546862,369.077439209229,684.97480629091,299.369040423614,320.377972082207,250.564106475909,271.206916962163,419.956955025085,261.486942518301,377.037099816727,393.959436150777,402.323482691576,246.509664542436,263.497385295808,409.881443548941,"CC vs. CH","CC"
"LOC111104484",211.157426666905,-1.61942545391774,0.923955050928343,1.13116241281719e-05,0.00971417143184897,57.6044410147931,157.412225174336,175.75836048707,185.437861876088,145.673991560109,179.016100910312,521.118774997343,161.995111646479,276.914810809698,175.640511673707,116.006706596007,1040.77874448415,233.743727814036,303.870310974813,127.272449541086,174.321366374047,192.024581244973,138.993365750381,104.839884660284,168.952658209321,130.558637311387,66.5793571179121,59.3348427604927,39.7484368788772,1543.51159254783,77.3055643560594,107.197338261634,146.301177100163,173.455533908857,82.9105249382886,334.898762197722,70.362896936021,201.477936539435,640.673102963805,160.175882180304,288.530632866168,147.744356738903,100.020719527724,131.53484787769,232.644829080486,216.144890765115,318.644924494764,185.142156286939,201.439867804397,73.4968387242461,110.710635460893,305.881703598451,408.223720499571,155.299700789648,90.6500169311066,363.111966224572,170.598877650798,124.647883415783,96.1307448819597,64.0390473688464,169.892882787093,245.628227969563,87.0151457027929,115.945611161803,125.073863716587,79.6155366007779,122.747264445278,168.285840439729,156.640440024206,98.2694231231504,251.641545331762,110.871656564761,185.1493136371,171.020782387715,127.789983817971,258.777629897819,211.585023690043,223.445693238144,212.211564643949,169.044471960631,245.322563956912,140.782972537015,150.979981284151,162.121885677956,185.900753757552,132.590822664978,52.8467209601295,225.277706004392,87.4595038730163,510.848372254763,313.685108775513,255.195081814653,163.555539335771,111.439536891643,98.7553303558553,355.059119395431,165.81367570119,95.4229214239965,848.582676097416,"CC vs. CH","CC"
"LOC111127247",12.0649782777015,23.1567826589659,2.10325654906532,1.31001196627403e-28,3.03752474619959e-24,0.944335098603166,1.0026256380531,0.950045191822,6.99765516513539,2.3122855803192,6.97465328221997,0,0,0,0,2.01750794080012,0,224.310124449344,0,0,4.00738773273672,0,4.5078929432556,0,0,4.6297389117513,6.44316359205601,8.47640610864181,5.67834812555389,0,1.18931637470861,0,2.09001681571662,0,0,0,2.2697708689039,0,2.22842818422193,0,0,0,2.1056993584784,0,0,0,0,6.82102681057145,0,0,314.455418367913,0,0,5.14237419833273,0,0,0,2.30829413732932,0.924334085403459,5.73484006288177,3.95099727411845,1.63752151979709,3.51576346273911,126.582823194996,11.6347780201476,0,0,0,0,1.94592917075545,161.357937464641,0,1.07022724645722,0,0,0.958435666288219,0,1.16075684799036,2.69760463530444,0.689977436574005,0,0,12.1594615799316,0,3.40062354434547,0,0,0,0,171.722814352024,0.816888304102899,0,1.00960209466525,0,0,0,1.1054245046746,2.16870275963628,0,"CC vs. CH","CH"
"LOC111125810",36.0422180233689,-21.069173236205,2.05270468379463,3.69939078939544e-25,4.2888887116856e-21,0,12.0315076566371,0,0,19.6544274327132,0,0,0,0,14.9693617903727,1.00875397040006,239.771657750681,4.1927126065298,0,14.5833015099161,2.00369386636836,0,6.7618394148834,2.64302230236011,6.39280328359593,5.55568669410156,1.431814131568,5.29775381790113,37.8556541703592,61.0302930195045,0,0,0,2.02871969484043,0,0,0,1.8569395072759,0,0,33.791875921263,13.5683592923482,0,1.07815449080074,0,0,32.0783481034998,0,3.87384361162303,0,0,49.4660180736769,0,2.05694967933309,0.681579074669974,0,0,2.30829413732932,14.7893453664553,46.8345271802011,0,1.63752151979709,4.39470432842389,0,10.6652131851353,0,3.75756931975341,10.8571509961115,16.2743314310863,44.7563709273754,1.92092782696001,0,0,0,19.1684975726956,18.2102776594762,0,23.2151369598072,0.89920154510148,1.37995487314801,48.5253423211474,4.43410937124457,0,541.292197536782,4.53416472579395,0,2.71008825436562,1892.33273043689,2.7618790696742,4.32007080130877,0,0,35.3360733132839,0,0,6.91673609211879,1.1054245046746,0,46.9655820733161,"CC vs. CH","CC"
"LOC111126116",217.495418321959,-4.67704058169859,2.54456323645324,1.24049635510558e-05,0.00973894490578959,5.666010591619,148.388594431858,96.904609565844,53.3571206341573,190.763560376334,36.0357086248032,262.52340298233,8.25452798198618,6.6194775492358,3.99182981076607,3.02626191120019,161.262353885414,1090.10527769775,35.749448349978,37.1211311161501,176.325060240416,0,129.226264373327,5.28604460472022,69.407578507613,0,0,2.11910152716045,1.89278270851796,7836.28962370438,4.75726549883443,5.58319470112676,12.5401008942997,4.05743938968086,86.1833088174316,197.183383350061,18.1581669512312,16.7124555654831,738.72394306957,63.0692536084948,559.732098593228,6.03038190771033,0,7.54708143560516,10.1149925687168,8.19506694844038,194.608645161232,130.573941802368,7.74768722324605,0,1.86068294892256,34.3233594796942,1678.2530731649,0,4.08947444801985,54.571740588664,6.47843839180245,4.61658827465864,3.69733634161384,8.60226009432265,55.3139618376583,1233.05370440721,14.0630538509564,422.297317717759,1.9391296700246,40.3530801949148,10.0201848526758,0.904762583009296,8.13716571554317,7.78371668302181,34.5767008852803,4.66828027641099,97.3906794276073,176.299201597213,7.8093878999871,30.669941321223,385.871405383443,197.328664158361,3.59680618040592,1.37995487314801,168.490771948428,57.6434218261794,0,48.7251568977463,10.2018706330364,17.8107075221612,1.35504412718281,12.0148109869009,5.5237581393484,891.014602769935,6.53510643282319,7.43286646062097,12.115225135983,5.57197684458217,10.6188527264361,1173.53955696282,15.4759430654444,8.67481103854514,1030.04060683523,"CC vs. CH","CC"
"LOC111111122",102.710342371667,3.00019940325186,1.3415429994811,7.41563202339608e-06,0.00716442748860354,16.998031774857,54.1417844548672,22.801084603728,125.083086076795,252.039128254792,814.871991806033,21.6041703202416,62.9407758626447,34.200634004385,25.9468937699794,76.6653017504047,68.9608750167888,16.7708504261192,60.3271940905878,54.3559419915055,478.882834062038,37.5467058300227,37.56577452713,36.1213047989215,36.530304477691,97.2245171467774,75.1702419073201,25.4292183259254,1.89278270851796,13.3157002951646,440.047058642185,685.616309298366,71.060571734365,28.402075727766,77.455885139717,4.17319329841398,64.6884697637612,27.8540926091385,80.2234146319895,108.118720471705,357.847301422605,7.53797738463791,650.661101769827,57.142188012439,23.6016493270059,24.5852008453212,12.8313392413999,62.3636736966533,61.9814977859684,40.0891847586797,48.3777566719867,501.726754747294,51.1733438802881,74.0501884559912,109.734231021866,52.4728274891,50.7477674024525,31.1619708539459,16.6380135372623,23.895166928674,91.860686623254,29.4753873563476,66.7995057920431,72.3330418257119,42.6608527405413,47.9874467182771,42.585785623872,84.1429202198645,36.6172457199443,57.4049105372859,63.3906182896805,29.1767517275687,20.3343176826872,91.8444942452545,27.687829827227,57.5061399772931,27.8044422156787,372.602948204905,8.9920154510148,27.5990974629602,63.3525302526091,31.038765598712,58.7707309696693,80.6179868671803,34.0062354434546,614.46940951456,38.61875762471,190.234507292597,44.1900651147872,362.885947309937,37.5768619887334,16.1045439980121,54.5185131119237,59.4344196755431,25.4852465434465,106.056620079155,57.4820742430793,65.0610827890885,22.4153914440827,"CC vs. CH","CH"
"LOC144623134",274.832972244593,-23.7359081389699,3.65005798850492,2.00870974516665e-11,8.98276545233445e-08,0,0,870.241395708952,0,0,0,0,0,0,0.997957452691516,560.867207542435,4.24374615487931,0,0,275.756974005686,3313.10780804008,0,0,0.881007434120036,0,1080.58106200275,0,14.8337106901232,235.651447210486,418.334917606422,0,0,685.525515555051,18.2584772535639,0,0,391.535474885923,616.5039164156,851.259566372778,0,0,4.52278643078275,0,0,235.173577222666,2904.12684985356,1535.48359588752,0,0,0,0,0,0,0,0,0,0,0,1127.68758419222,38.2322670858784,2097.9795525569,404.46781538988,820.051827683897,887.14348356829,13.5739076901722,1502.87958131331,0,0,0,0,1317.75648929457,0,0,0,0,637.359718081665,1011.13227667261,0,0,0,0,177.364374849783,0,0,0,0,429.54898831695,129.159218109185,0,1179.3793287573,0,0,0,0,0,0,0,0,42.6959837030146,"CC vs. CH","CC"
"LOC111112191",253.121329762338,-23.5333299947228,3.73450605769356,6.95637954633041e-11,2.01621965675954e-07,0,0,2577.47260541309,0,0,0,0,0,0,0,138.199293944809,0,0,0,762.308942563796,2804.16956598252,0,0.7513154905426,0,0,1582.4447600366,0,52.9775381790113,822.414086851054,641.372897550429,0,0,196.461580677362,76.0769885565161,0,0,72.6326678049249,107.702491422002,151.533116527091,0,0,8.2917751231017,0,0,66.5903677440523,2458.52008453212,977.320338886626,0,0,0,0,0,0,0,0,0,0,0,1128.61191827762,193.072948783686,2500.98127451698,73.6884683908689,1652.40882748738,206.361913443943,12.6043428551599,1506.15145268047,0,0,0,0,255.483400985682,0,0,0,0,1013.06649926665,798.869095855354,0,0,0,0,158.519410021993,0,0,0,0,130.761758273141,308.380148663789,0,241.923964873291,0,0,0,0,0,0,0,0,115.27915599814,"CC vs. CH","CC"
"LOC111116102",482.195006685931,1.19214228099667,0.628318551158119,7.943245329388e-06,0.00736720117810078,707.306988853771,518.35745487345,396.168844989774,644.658982088097,381.527120752667,678.866252802743,326.026570287282,380.740103169113,1173.85401873115,359.264682968946,510.429509022432,335.255946235465,763.073694388423,71.4988966999559,267.802445909368,256.47281489515,1227.24089912989,464.312973155327,460.766888044779,431.057592836754,332.415253863744,357.237625826217,537.192237135175,388.966846600441,345.098565983016,1156.61017440412,1528.67870916851,356.347867079684,306.336673920905,518.190780864304,594.680045023992,393.805245754827,310.108897715076,474.655203239271,577.634275112722,738.222520126053,455.29383403213,978.097352013218,541.23355438197,157.625300862503,506.045384066194,411.672133994914,511.577010792859,278.141971314533,804.753264414978,566.577957946921,1018.59616808857,844.360174024753,491.610973360609,505.731673405121,289.650007739832,408.141618683554,568.994504851678,460.318374530923,283.874583112647,191.623367794745,320.954217880229,519.454051619703,270.1851856431,522.59544607163,521.318171166738,256.767236849817,437.00032759349,416.012597207144,540.968309470016,255.483400985682,308.106498243125,510.498396560095,450.777000491077,298.176628908598,363.247117523235,245.492880050626,416.131330004543,357.882214950389,393.977116283757,59.3087517258468,484.426448808469,273.587885548461,698.984523496761,275.450507091983,771.797325960317,368.572002593724,408.50357355463,434.535640295408,119.881964736318,390.472609361186,168.478306440742,531.050701793923,466.188729330041,853.755759205459,617.895090895945,433.326405832444,606.152421318341,414.151041919242,"CC vs. CH","CH"
"LOC144624203",151.48668819524,3.07126287315839,2.54601642873622,4.04524277552287e-05,0.0234492610590122,28.330052958095,60.1575382831857,4.75022595911,103.215413685747,11.561427901596,2127.26925107709,14.4027802134944,0,15.4454476148835,1.99591490538303,59.5164842536037,4.24374615487931,0,0,6.62877341359823,1588.92923603011,2.14552604742987,26.296042168991,4.40503717060018,3.6530304477691,2050.97433790583,7.15907065784001,7.41685534506158,73.8185256322005,3.32892507379116,44.5993640515728,1813.42163892597,164.066320033755,5.07179923710107,4.3637118388573,0,31.7767921646546,18.569395072759,138.16254742176,46.0505661268374,3.46583342782184,17.3373479846672,1994.09729247905,3.23446347240221,45.5174665592256,99.3651867498397,38.4940177241997,8.76989161359186,6.97291850092145,3.7119615517296,15.8158050658418,26.2472748962367,141.889726213526,23.6549213123305,17.0394768667494,133.280981822314,0,4.61658827465864,77.6440631738906,19.1161335429392,0,167.027195019303,1.75788173136955,82.9702538589049,27.1478153803444,39.2624564058631,7.51513863950682,0.904762583009296,11.1886028588719,12.6485396099104,24.0115978370002,4.66828027641099,1.07022724645722,60.1739789882702,1.41988870908856,10.5427923291704,9.49419978096345,8.70567635992768,88.1217514199451,2.06993230972201,8.08755705352457,12.1938007709226,6.07973078996579,0,0,2243.15966404108,66.3971622319576,6.00740549345044,9.20626356558067,1.08001770032719,80.871942106187,2.47762215354032,9.08641885198728,6.50063965201253,10.6188527264361,4.61115739474586,4.42169801869841,47.7114607119982,8.53919674060293,"CC vs. CH","CH"
