"X","Gene","log2FoldChange","lfcSE","pvalue","padj","pair","DEG_group"
"LOC111103995",5480.33134006026,-1.55509812820031,0.747341152011864,2.72611765314807e-05,0.01742897886246,"C vs. W","C"
"LOC111105159",57.179076008928,-3.97032175073041,2.75318752225864,3.73003728831377e-05,0.020667722165959,"C vs. W","C"
"LOC111137262",591.067088835115,2.60152879626095,2.8370743397405,0.000127508157841083,0.0489121293478394,"C vs. W","W"
"LOC144619626",531.702557153563,4.41239727925581,0.772832034971663,1.92752378846084e-09,3.69699062626788e-06,"C vs. W","W"
"LOC111104589",326.866539917654,1.71863584516012,0.648799685561028,1.24088686022321e-05,0.0103134243242685,"C vs. W","W"
"LOC144620735",7.87269816309884,-2.77602326250806,2.63517058115632,0.000110345643357255,0.0451042339585213,"C vs. W","C"
"LOC111101829",107.222109059858,-3.63079899073876,0.77315092612001,3.67436808504677e-07,0.000572604336453476,"C vs. W","C"
"LOC111099646",291.018803844339,-5.46520514518659,1.24832170562857,2.50548698459238e-07,0.000416478749825509,"C vs. W","C"
"LOC144620906",55.1256017779122,-6.62046251925995,3.05796569683153,4.51623030667032e-06,0.00511853120302354,"C vs. W","C"
"LOC144625901",138.627023632352,-2.52998461659789,1.32911962154415,4.46179774815746e-05,0.0236703117133102,"C vs. W","C"
"LOC111101301",1453.41693781126,9.66419070986866,1.66257023157326,2.9780123073544e-12,1.48507517743149e-08,"C vs. W","W"
"LOC111099706",1924.96936180981,4.5123831510467,2.61378099739865,2.13000799442855e-05,0.015174176952309,"C vs. W","W"
"LOC111101329",22.2548962412829,-1.70958368056511,1.30724264267933,0.000124530223591829,0.0485161967974792,"C vs. W","C"
"LOC111101236",395.505315560119,-2.74794964691303,2.81957880320148,0.000112676796088038,0.0453142457041796,"C vs. W","C"
"LOC111126239",14.1864172934727,-3.17386061164131,3.15616018565182,7.66942287990564e-05,0.0335490158048364,"C vs. W","C"
"LOC111124578",5096.43663548747,-1.23838575431446,0.479718784534796,7.76632423567488e-06,0.00806856368717989,"C vs. W","C"
"LOC111113281",41.9319736915694,-3.87488275964368,1.39268898265712,9.9985199053574e-06,0.00958858058923775,"C vs. W","C"
"LOC111124393",178.480156195149,-2.89406540543191,2.0180527671244,7.5782666633657e-05,0.0335490158048364,"C vs. W","C"
"LOC111123894",13632.6937655738,-3.9544568914123,0.951363654848175,1.22393993177985e-06,0.0016954287921666,"C vs. W","C"
"LOC111123696",19.4589399393642,-2.33424298396128,1.33279854456423,5.69760889027041e-05,0.0275258537779628,"C vs. W","C"
"LOC111126287",129.242125791043,-2.18713346228133,1.03726415149763,3.29752098133574e-05,0.0192233941776171,"C vs. W","C"
"LOC111123321",291.018473125749,2.10944298745117,1.20737139696012,5.74053259185877e-05,0.0275258537779628,"C vs. W","W"
"LOC111127619",58.4082013367342,-23.8017333267147,3.86589620307842,2.90428139134198e-10,6.03461268431008e-07,"C vs. W","C"
"LOC111127630",44.7604601953012,-5.08986136933175,2.49402330659124,1.13302224296272e-05,0.00974164710552842,"C vs. W","C"
"LOC111127616",64.3974797464896,-3.7562634408115,1.44732640273798,1.31665194747567e-05,0.0105901289220511,"C vs. W","C"
"LOC144622232",33.8063925062989,21.3960545873314,2.6691705501208,5.59011615593445e-16,6.96919781160347e-12,"C vs. W","W"
"LOC111126852",445.250563241377,3.8419639989383,1.8802656600291,2.38127785500466e-05,0.0160472383882935,"C vs. W","W"
"LOC144624489",166.314364783398,21.744811959254,3.19742297983633,4.84123898784273e-12,2.01185754871451e-08,"C vs. W","W"
"LOC144623813",125.209162845081,21.2139170193386,2.91503003195676,1.67954973173068e-13,1.39592976703243e-09,"C vs. W","W"
"LOC144623939",223.854604931196,-4.13547007663194,3.0488176800584,3.46736805944469e-05,0.0196489443623168,"C vs. W","C"
"LOC111113641",332.381750302913,-12.1071208170654,5.52329452454234,2.3740181528855e-06,0.00311546150652879,"C vs. W","C"
"LOC144624111",13.7212774461449,20.7171350509949,3.31060163683279,1.59394326316699e-10,3.61303466580052e-07,"C vs. W","W"
"LOC111112070",16.457659762607,19.3802745371987,3.01447650360995,5.07455322985691e-11,1.26528910233252e-07,"C vs. W","W"
"LOC111117444",7559.25304606235,-2.60322838015455,1.30286092854958,3.86698241378707e-05,0.0209607259794275,"C vs. W","C"
"LOC111115834",81.3566281595209,-4.57758860757282,1.9264438616226,1.10887038973714e-05,0.00974164710552842,"C vs. W","C"
"LOC111116248",58.5891768884467,-2.90016626087285,1.87364168907733,6.5919563325265e-05,0.030437747999114,"C vs. W","C"
"LOC111117756",122.233383112492,-24.4970393770857,3.69844724399253,1.43204288212186e-11,4.46331965285331e-08,"C vs. W","C"
"LOC111100804",2132.06781193006,4.23591337116182,2.24235810033916,2.21343884212049e-05,0.0153305233581756,"C vs. W","W"
"LOC144624942",166.514632824628,4.64076635258944,1.10015255941014,7.25982864349041e-07,0.00106480333762818,"C vs. W","W"
"LOC111117514",13362.4169802242,4.70378257309807,2.03276281219537,1.09785338949456e-05,0.00974164710552842,"C vs. W","W"
"LOC144626342",58.6447626702662,-21.8350121497943,4.14271672907653,2.04623254412211e-08,3.64434016108147e-05,"C vs. W","C"
"LOC111133377",470.891345949709,-3.1671911672544,1.93885238465079,5.26053651056901e-05,0.0262332434709055,"C vs. W","C"
"LOC111134602",70.745382643054,-3.80960377405276,1.03718577975275,3.06744514635862e-06,0.00364207987044314,"C vs. W","C"
"LOC111137711",277.064907102972,-3.26289002463922,4.1015673344572,6.86942542034234e-05,0.031142227896512,"C vs. W","C"
"LOC111136087",2844.87143242481,1.15017817464056,0.64363927561559,3.315175862828e-05,0.0192233941776171,"C vs. W","W"
"LOC111135264",50.7007525058627,2.84033358891973,1.26656163989551,2.68224879992511e-05,0.01742897886246,"C vs. W","W"
"LOC144627184",50.2604139829499,4.97847928652529,1.77620353161985,5.43233840912708e-06,0.00588912721274673,"C vs. W","W"
"LOC111110326",803.790895056099,-1.23682363292714,0.813390538578123,6.45619319593805e-05,0.0303733436127395,"C vs. W","C"
"LOC144627666",67.8068894828349,-3.67985287673978,0.978185703222029,2.794849813436e-06,0.00348433926241066,"C vs. W","C"
"LOC111106424",915.033568858898,-25.4980875043812,3.59872783984062,5.45570221135978e-13,3.40081197345112e-09,"C vs. W","C"
