"","MEmagenta","MEviolet","MEdarkturquoise","MEsienna3","MEdarkgreen","MEdarkgrey","MEpaleturquoise","MEsalmon","MEgreenyellow","MEred","MEgreen","MEblack","MEsteelblue","MEsaddlebrown","MEblue","MEorangered4","MEpurple","MEdarkred","MEmediumpurple3","MEskyblue","MEwhite","MEdarkolivegreen","MEdarkorange","MEgrey60","MEdarkmagenta","MEturquoise","MEroyalblue","MElightgreen","MEorange","MEmidnightblue","MEcyan","MEbrown","MEskyblue3"
"H1_Nu_B08",-0.0370087614496072,-0.0616961229528382,-0.0525350540540679,-0.0413774662027579,-0.063950095711077,-0.0358738725409681,0.163179555629128,-0.00256908130465094,-0.0532868309525505,-0.0627042962122299,-0.0506385241844198,-0.0331257896721665,-0.0770446807701961,-0.0190958529733042,-0.153396864539504,-0.0490857305374554,-0.0961480034629157,-0.0392497967579746,-0.0338433456388484,-0.0334632031392232,-0.0589572535625449,-0.0704066941488016,-0.100543936418976,-0.0346621199063621,-0.0141364270608535,-0.0262785303761553,-0.000635280364144873,-0.0505885907071919,-0.0342621350352873,-0.0576254469754934,-0.0250878785479699,0.967361866501245,0.620491556165945
"H2_Nu_B14",-0.066607823232085,-0.10894541950433,-0.0792629200872053,-0.0967485859835042,-0.0534069644842215,-0.0550995309872961,-0.269557409178288,-0.0645567184144281,-0.0622321067025064,0.0104370089850263,-0.0710894444076873,0.03373161018201,0.31832275206501,0.0235171963541288,0.636638836684942,0.742625163662669,0.946565939873619,-0.081136405101362,-0.206133615114068,-0.090350445064462,-0.0205344423871654,-0.0416233194769509,-0.120360159748285,-0.0391645275941537,-0.133127275022986,-0.0350224640123202,-0.0720766121255584,-0.0868591416397478,-0.0812850952033831,-0.0235438859042446,-0.0921873121667813,-0.0868016414816039,-0.16634570543207
"H3_Nu_B18",-0.0832377583195969,-0.123365278508607,-0.0757751580206024,-0.112988463361469,-0.0862460053411182,-0.0752150330620172,-0.327162664050882,-0.0702543431820643,-0.112210569983664,0.000928627183709314,-0.105887467049376,-0.309760170742088,-0.264830681475313,-0.0751715893065785,0.0177914563978909,-0.0877348602740282,-0.0207880668372043,-0.0809003830206403,0.017617965215995,-0.0406861595456271,-0.000902130931920822,0.186209419420523,0.538773440420982,0.954043621172483,0.403927346905382,0.00586366327810515,-0.0427624187209721,-0.104534952919946,-0.0607077226130979,-0.0334517426219185,-0.0597257347186722,-0.0165424171228593,0.352977830468029
"H4_Nu_B28",-0.0117991226974418,-0.0676346551511783,-0.0335954407864931,-0.00527507415441027,-0.0528433229576288,-0.00757613124747925,0.159578948454939,-0.0389917327776976,-0.0655137659379469,-0.0340071850725588,-0.0101581171287339,0.0484518804150413,-0.0165375118956471,-0.0387627802020298,-0.123592192091626,-0.0364729623347105,-0.0832945718608091,-0.040074670672742,-0.0826586794182575,-0.023161120894639,-0.0427651206849985,-0.0747179988957953,-0.136586595492894,-0.0647158850375682,-0.0122937877022832,-0.0347058760162682,0.0186150219641368,0.684291726033126,0.971788882830231,-0.063545403799651,-0.0532196998956737,-0.00950798212793463,-0.0383822773067812
"H5_Nu_B35",0.970272806705415,-0.0486637626696566,0.010084636314588,0.64289679130613,-0.0537307492872108,-0.0299800415745552,0.129053355613178,-0.0393161960406548,0.0150456943649961,-0.0399564884394229,0.0147435630780274,0.298330405599346,0.205353347726382,-0.0641740874332872,-0.0536770205495813,-0.0391212780319698,-0.0316978381015111,-0.0397650375744373,-0.17550123364163,-0.022342089069916,-0.036863962392156,-0.0754918089762572,0.111390734367413,-0.0845918016349424,-0.281863446430839,-0.0329520855523314,-0.0616570914081108,-0.0144661141162143,-0.00984289209350251,-0.0562536848513341,-0.0601488588606655,-0.0595069019742349,-0.231013744589426
"W1_Nu_G02",-0.0279508923585574,-0.0887506458330868,-0.0379489002892416,-0.0965887092361696,-0.0742769960465283,-0.0887620331111983,-0.182386851344879,-0.0569580779067454,0.947785306559306,0.0380963104165292,-0.00351252431246219,0.302247056633926,0.0209056875434279,-0.0588037543598099,-0.0628935069899991,-0.0887965212487504,0.0723345106968039,-0.0229335801590144,-0.157543609997189,-0.0798502219898427,-0.0159781991979279,-0.00388403496451229,-0.14547112510696,-0.0296148205110722,-0.35998513669857,-0.111864250430359,-0.0419754750136824,-0.0869369038783025,-0.0604535906973741,0.0551035723679973,0.00242628895045036,-0.026581559634466,0.18996925168874
"W2_Nu_G15",-0.0607077719368647,-0.109703907370375,-0.0656215311055185,-0.142783852154999,-0.119823097731693,-0.0773725441786389,-0.306088162010246,-0.0655010031991284,-0.0314491042702353,-0.113942345112245,-0.0797535564900104,-0.253409865269017,-0.306920763614236,-0.0783811658099253,-0.0777346734234105,-0.106985966643082,-0.0822266787204239,-0.05601902159253,0.239332154156884,-0.0492673594173524,-0.0126850852171838,0.942006875153985,0.169222835830259,0.0301147776783475,0.111131551846543,-0.0369328090059437,-0.0670511382938283,-0.0920761074686395,-0.06605296285791,-0.0574983515473099,-0.0364205488717185,-0.0465866486315266,-0.0554562734144279
"W3_Nu_G21",-0.0876311630962483,-0.110849190104678,-0.0625560898734335,-0.105186756317717,-0.0820363061289918,-0.0738645989112908,-0.0625868360112953,-0.0876990558240942,-0.0894868267047013,-0.0965684197851176,-0.112692178256972,-0.318635331031609,-0.346787886385372,-0.0774132721725616,-0.170077617262383,-0.0929269126141014,-0.103375121572434,-0.0358808141864636,0.585319886919863,0.970267164006147,-0.0962984857116223,-0.0645058558194099,-0.152733771241462,-0.0912097372517548,0.383492261712977,-0.081124440561188,-0.0641462880700188,-0.103053384976931,-0.0694465299522201,0.078380612993117,-0.0578646854564018,-0.0892168457023522,-0.100628689029859
"W4_Nu_G27",-0.0527407697906077,-0.0901344732253812,-0.0292016029210848,-0.0576393988016905,-0.0770178366010263,-0.0670004322449014,-0.093624228664198,-0.0433133339128874,0.0108346576149765,0.0588539595438498,-0.0777367593818935,0.0368223713376648,-0.080422071161334,-0.0609308677186419,-0.0823310611624595,-0.0719013812372787,0.0201902496635934,-0.0761998453719862,-0.0500159355700424,0.00692740659736559,-0.0551910537781239,-0.0429510496758977,-0.116995663327348,-0.0343096408131623,-0.12825815189079,-0.0789933160712758,-0.0167903650088425,-0.0859231712685288,-0.0617813271206421,0.950633192559327,-0.0433904908116905,-0.0462518556353025,0.128839536913285
"W6_Nu_G41",-0.0672574575835293,-0.068651220661343,-0.0762476857947306,-0.0537872476250826,0.0609091765919367,0.966281545716875,0.509065411150558,-0.0758735986111519,-0.0976651127308509,-0.106148466516773,-0.0916593077119912,-0.160189934427155,-0.151282722517646,-0.0765735332931194,-0.209426866653418,-0.0667429115828349,-0.107660967491515,-0.0488372726255412,0.451157132874422,-0.0500568825040482,-0.071337382039895,-0.0923232090584095,-0.167607664511052,-0.121448275340408,0.0167005036842771,-0.10458792524912,-0.066728028615154,-0.0797831457296805,-0.0613529792983209,-0.095226839966097,-0.033753261185048,-0.0782625159125441,-0.238698449048225
"W6_Nu_G45",0.00389482451631628,0.69366270964566,0.967826142247268,0.68348396777807,-0.0163587123354146,-0.0203151953059721,0.232502150549455,-0.0186867460082065,-0.0384798314828989,-0.0524622651571859,-0.0324680212975742,0.139858065074686,0.0424095594336178,0.0231300348301786,-0.1318086902755,-0.0364140081840254,-0.0808893381826251,-0.0616152800702898,-0.103665728963226,-0.0552106673683964,-0.0586026018225967,-0.070653821969098,-0.122017384454346,-0.0632509303282116,-0.0895968934870429,-0.0678826031654409,-0.0387272754273921,-0.0468012697652218,-0.0212053862886101,-0.0407506760171718,-0.0375194913470199,-0.0167540930827568,0.0192113513374455
