"","MEmagenta","MEviolet","MEdarkturquoise","MEsienna3","MEdarkgreen","MEdarkgrey","MEpaleturquoise","MEsalmon","MEgreenyellow","MEred","MEgreen","MEblack","MEsteelblue","MEsaddlebrown","MEblue","MEorangered4","MEpurple","MEdarkred","MEmediumpurple3","MEskyblue","MEwhite","MEdarkolivegreen","MEdarkorange","MEgrey60","MEdarkmagenta","MEturquoise","MEroyalblue","MElightgreen","MEorange","MEmidnightblue","MEcyan","MEbrown","MEskyblue3"
"B1_Nu_O03",-0.0563179632650095,-0.0595151576683976,-0.0795754149687107,-0.0531151241534983,-0.0605541924175712,-0.0544647656778767,0.0910583254125478,-0.0739360999472374,-0.0190460936613396,-0.074613099146685,-0.0514719814651185,-0.129640653947798,-0.108665297223355,-0.0654983960946536,-0.130518119559523,-0.0445737657121305,-0.110596793867502,0.971423152258594,0.182914064096433,-0.0191008011896853,-0.0938000089998289,-0.0662220679704197,-0.150144791399303,-0.105793850207526,-0.0266110609199769,-0.00200831685145379,-0.0550663933049642,-0.0719012833638157,-0.0597749852849168,-0.103363411982927,-0.0369413712510163,-0.0969659500298874,-0.244896297693405
"B4_Nu_O32",-0.032307698555758,-0.0631599568526794,-0.016283712027171,-0.0366873863435622,-0.0575758441241038,-0.0270549061446136,-0.155967787254687,-0.0333979462079899,-0.105938135607586,-0.0515528519766185,-0.0149689857313742,-0.0993243005245132,-0.0214913902526731,-0.0517744464020792,0.0377087627122265,-0.0526017749005312,-0.0331180105836467,-0.0518589809308406,-0.146889973551979,-0.0267691507857175,-0.0474008070660908,-0.0427163375082465,-0.111468282148058,-0.0371608628387339,0.22494892864994,0.0143444748311077,0.970438401640155,0.653258648460765,-0.00997010552800923,-0.00250487023272673,-0.0497315705363985,-0.0174072967582573,0.21851876507744
"B5_Nu_O36",-0.0441006957337416,-0.0808570743321818,-0.0749167620226537,-0.0561950322056346,-0.0323675755091431,-0.0732581986215397,-0.0775913123527255,-0.0691499391871072,-0.00353302912920812,-0.0536984698763155,0.963356744622702,0.382711316484207,0.634247521498244,-0.0656914248320943,0.319029168072893,-0.101719191908591,-0.00798966306160465,-0.0324516817220904,-0.224643196262413,-0.0685433143746894,-0.0371114218429756,-0.0719862478145324,-0.15052814621503,-0.108459365637124,-0.196185267100716,-0.0288282013610492,-0.0821032269439099,-0.0737799766882996,-0.0591785547383464,-0.117938473386506,-0.0630074097473534,-0.0920606656139474,-0.241643013174671
"B6_Nu_O47",-0.0192880188844668,-0.0888242113142851,-0.0381241886286486,-0.0134179409240458,-0.0585317514521496,-0.0620187902801172,0.102969959895499,-0.0337411743728656,0.0595106250782181,0.949725043081302,0.00610367358333062,0.459034955048227,0.180672410818088,-0.0607870944838502,-0.0444824214075687,-0.0403607650393785,0.0196277286673285,-0.0518590324649027,-0.156046829940373,-0.0591870432686863,-0.0440340277243701,-0.0789227719439327,-0.148268961099536,-0.060703505089181,-0.155687957267517,-0.0890391137690683,-0.0579385452810048,-0.0425111700100377,-0.0292235529389349,-0.0413080224342284,-0.0508763772261602,-0.0703945910627142,-0.22676958596585
"C1_Nu_W01",-0.0617700751350299,-0.0841090691567525,-0.0882644016939183,-0.0991895468374279,-0.0696428005120123,-0.0698994683235028,0.170184546895963,-0.0705022417747291,0.0084396366781103,-0.0909248249243535,-0.067846580259839,-0.0718879798722801,-0.164442294572852,-0.0480189478074126,-0.218488829982067,-0.0643889505587054,-0.109621173520417,-0.0300057346800905,0.260951181634542,-0.0500277876168076,-0.0705167001177496,-0.0777219372586014,-0.150883420119436,-0.0683853757965592,-0.137095722722794,-0.113437656960856,-0.0540662348739399,-0.0874612922366464,-0.0670758006568436,-0.0663596476161698,0.971362123165626,-0.0282225378912861,0.217343770733996
"C1_Nu_W05",-0.0652466233025249,0.268429753594639,0.0178887033077497,-0.0510493279372966,0.962209671425216,0.0465940128069062,0.162318027088968,-0.0439876583578551,-0.0604649935972877,-0.0982882096334945,-0.0469417736285001,-0.0699931672250099,0.106317728567977,-0.0332111647873449,0.0554512383944285,-0.0946393832070921,-0.0443949001385528,-0.0537858127121178,-0.0831191666254563,-0.0757823425674308,-0.048076504619804,-0.0659467391636523,0.234352054719607,-0.0320616080410186,0.0487340075731144,-0.0359737050964814,-0.0568759771906545,-0.0803755039821051,-0.0662268420724969,-0.111234865609046,-0.0407247410520662,-0.0659163776237387,-0.0722827435753132
"C2_Nu_W15",-0.0572111734768682,-0.110346599896505,-0.0527586838660826,-0.122853032235778,-0.0200895157108601,-0.0649728418765005,-0.16549334927901,-0.0103024594898127,-0.0282354458786089,0.0486377004118549,-0.0364545103312701,0.0411557419989153,0.17892495303264,-0.0563921282765634,0.191344898734292,-0.0542728290905976,0.0509675623901901,-0.0898362916976307,-0.199172546357606,-0.0864033240297073,0.970298339841667,-0.0165297935014617,0.283923299366521,0.0750503474539596,-0.00757563838514353,-0.0127206422873454,-0.0441529521473257,-0.0653413544184048,-0.0526199225552264,0.00137238185568649,-0.0698585801257889,-0.0383831483468242,-0.0130871797429669
"C3_Nu_W21",-0.0207919473658897,-0.0532043872125321,-0.0355354348223665,-0.0335632662159763,-0.0265581595748273,-0.0397462013550781,-0.0208046121180067,0.970650646129894,-0.0386022828098461,-0.0583284367683118,-0.0214421641223636,0.0423983670644203,0.017899005821438,-0.0305206736769218,-0.0166606512088785,-0.0569884928877963,-0.0318404097158982,-0.0395576855650694,-0.0894738488599786,-0.0508187884588907,-0.0523900065506569,-0.03038104234881,0.0515299771276949,0.00920384166753591,-0.0672601394858401,-0.0106133807615639,-0.0543746644997429,-0.0277630152537059,-0.0395462814753851,-0.0322342496340699,-0.056231390016618,-0.0515726751286863,-0.100631804467555
"C4_Nu_W29",-0.0460205367533233,0.556602934063107,-0.0348519190507461,-0.0460462230519021,-0.00853650511740388,-0.0198547047938544,0.257575319606988,-0.0226513091819815,-0.0511408047562853,-0.0786115149205518,-0.0737510154762323,-0.00815131636628949,-0.117664138313452,0.967864558651976,-0.21721549895723,0.58378627579646,-0.0807937417726553,-0.0409764720942379,0.0952346574000098,-0.0488580819054391,-0.0472241266155358,-0.0957287209472193,-0.131685811660943,-0.077537532768194,-0.103681535830352,-0.0784661412566763,-0.0584465099382078,-0.059925325764474,-0.0266106920332751,-0.0976843129314162,-0.0191408118165557,0.000857646707624047,0.0370400185051417
"C6_Nu_W42",-0.076171378284581,-0.100284264888599,-0.06274458185693,-0.101888325341277,-0.00957241697417111,-0.0705462682863804,-0.316222388033009,-0.0492619304286069,-0.184330986090091,-0.0948717760804081,-0.0357310700482427,-0.330623260760517,-0.0489635283247484,-0.0533106102061045,0.434339653066476,-0.14068375346607,-0.0852507124018198,0.0015206467413678,-0.123819332357082,-0.0473157874129512,-0.0596290185785205,-0.0455028431325,0.516103371111153,-0.0153427491763538,0.524423839633471,0.961223320675684,-0.0534789463768376,-0.0774686703059979,-0.0351715243864485,-0.0849658742658162,-0.0879581984824778,-0.0312838094479467,-0.0545563174494715
