"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Module","Eigengene"
"1","B1_Nu_O03","both","warm","hypoxic","MElightyellow",-0.0466670007399857
"2","B4_Nu_O32","both","warm","hypoxic","MElightyellow",-0.0412118954217089
"3","B5_Nu_O36","both","warm","hypoxic","MElightyellow",-0.0530864449942292
"4","B6_Nu_O47","both","warm","hypoxic","MElightyellow",-0.0562179306936981
"5","C1_Nu_W01","control","ambient","normoxic","MElightyellow",0.969405324887672
"6","C1_Nu_W05","control","ambient","normoxic","MElightyellow",-0.0432662951020265
"7","C2_Nu_W15","control","ambient","normoxic","MElightyellow",-0.0724125651106414
"8","C3_Nu_W21","control","ambient","normoxic","MElightyellow",-0.0612097705742375
"9","C4_Nu_W29","control","ambient","normoxic","MElightyellow",-0.0254867763744029
"10","C6_Nu_W42","control","ambient","normoxic","MElightyellow",-0.0981872205449048
"11","H1_Nu_B08","hypoxic","ambient","hypoxic","MElightyellow",-0.0337248850854048
"12","H2_Nu_B14","hypoxic","ambient","hypoxic","MElightyellow",-0.0899575220020615
"13","H3_Nu_B18","hypoxic","ambient","hypoxic","MElightyellow",-0.0681539566044456
"14","H4_Nu_B28","hypoxic","ambient","hypoxic","MElightyellow",-0.0558494541577983
"15","H5_Nu_B35","hypoxic","ambient","hypoxic","MElightyellow",-0.0598032894935443
"16","W1_Nu_G02","warm","warm","normoxic","MElightyellow",0.013942587393009
"17","W2_Nu_G15","warm","warm","normoxic","MElightyellow",-0.0582213658747117
"18","W4_Nu_G27","warm","warm","normoxic","MElightyellow",-0.0290537481211592
"19","W6_Nu_G41","warm","warm","normoxic","MElightyellow",-0.0532192303260539
"20","W6_Nu_G45","warm","warm","normoxic","MElightyellow",-0.0376185610596667
"21","B1_Nu_O03","both","warm","hypoxic","MEcyan",0.224933988708002
"22","B4_Nu_O32","both","warm","hypoxic","MEcyan",-0.255805921361195
"23","B5_Nu_O36","both","warm","hypoxic","MEcyan",-0.124879640992215
"24","B6_Nu_O47","both","warm","hypoxic","MEcyan",-0.104028765697471
"25","C1_Nu_W01","control","ambient","normoxic","MEcyan",0.507563663328761
"26","C1_Nu_W05","control","ambient","normoxic","MEcyan",-0.0904095065324193
"27","C2_Nu_W15","control","ambient","normoxic","MEcyan",-0.171479212378252
"28","C3_Nu_W21","control","ambient","normoxic","MEcyan",-0.0741968233759926
"29","C4_Nu_W29","control","ambient","normoxic","MEcyan",0.0835627888143781
"30","C6_Nu_W42","control","ambient","normoxic","MEcyan",-0.26004436713283
"31","H1_Nu_B08","hypoxic","ambient","hypoxic","MEcyan",-0.0731126060810443
"32","H2_Nu_B14","hypoxic","ambient","hypoxic","MEcyan",-0.181304246639049
"33","H3_Nu_B18","hypoxic","ambient","hypoxic","MEcyan",0.0671675359977936
"34","H4_Nu_B28","hypoxic","ambient","hypoxic","MEcyan",-0.198948575892666
"35","H5_Nu_B35","hypoxic","ambient","hypoxic","MEcyan",-0.152547503104477
"36","W1_Nu_G02","warm","warm","normoxic","MEcyan",0.231681375512135
"37","W2_Nu_G15","warm","warm","normoxic","MEcyan",0.535258531161043
"38","W4_Nu_G27","warm","warm","normoxic","MEcyan",0.00863797422487847
"39","W6_Nu_G41","warm","warm","normoxic","MEcyan",0.148172572515845
"40","W6_Nu_G45","warm","warm","normoxic","MEcyan",-0.120221261075225
"41","B1_Nu_O03","both","warm","hypoxic","MEmagenta",-0.036922674107634
"42","B4_Nu_O32","both","warm","hypoxic","MEmagenta",-0.0453023454806991
"43","B5_Nu_O36","both","warm","hypoxic","MEmagenta",-0.0804920849627829
"44","B6_Nu_O47","both","warm","hypoxic","MEmagenta",-0.124811753302814
"45","C1_Nu_W01","control","ambient","normoxic","MEmagenta",-0.0463201799435488
"46","C1_Nu_W05","control","ambient","normoxic","MEmagenta",-0.0670556645537933
"47","C2_Nu_W15","control","ambient","normoxic","MEmagenta",-0.0332054848973169
"48","C3_Nu_W21","control","ambient","normoxic","MEmagenta",-0.0310309140601086
"49","C4_Nu_W29","control","ambient","normoxic","MEmagenta",-0.123351399996626
"50","C6_Nu_W42","control","ambient","normoxic","MEmagenta",-0.0563623880803385
"51","H1_Nu_B08","hypoxic","ambient","hypoxic","MEmagenta",-0.0827362425623241
"52","H2_Nu_B14","hypoxic","ambient","hypoxic","MEmagenta",-0.0148252466793011
"53","H3_Nu_B18","hypoxic","ambient","hypoxic","MEmagenta",0.226664459844929
"54","H4_Nu_B28","hypoxic","ambient","hypoxic","MEmagenta",-0.100391681841221
"55","H5_Nu_B35","hypoxic","ambient","hypoxic","MEmagenta",-0.114356425261118
"56","W1_Nu_G02","warm","warm","normoxic","MEmagenta",0.0171633112181468
"57","W2_Nu_G15","warm","warm","normoxic","MEmagenta",0.921082195006534
"58","W4_Nu_G27","warm","warm","normoxic","MEmagenta",-0.0301390586818875
"59","W6_Nu_G41","warm","warm","normoxic","MEmagenta",-0.0735958294658994
"60","W6_Nu_G45","warm","warm","normoxic","MEmagenta",-0.104010592192197
"61","B1_Nu_O03","both","warm","hypoxic","MEdarkorange",-0.0541625998514161
"62","B4_Nu_O32","both","warm","hypoxic","MEdarkorange",-0.067657061033492
"63","B5_Nu_O36","both","warm","hypoxic","MEdarkorange",-0.072557120884092
"64","B6_Nu_O47","both","warm","hypoxic","MEdarkorange",-0.0629204384603047
"65","C1_Nu_W01","control","ambient","normoxic","MEdarkorange",-0.0609926209043985
"66","C1_Nu_W05","control","ambient","normoxic","MEdarkorange",-0.0634910679802772
"67","C2_Nu_W15","control","ambient","normoxic","MEdarkorange",-0.0668537508981598
"68","C3_Nu_W21","control","ambient","normoxic","MEdarkorange",-0.0752926993509529
"69","C4_Nu_W29","control","ambient","normoxic","MEdarkorange",0.906865073888248
"70","C6_Nu_W42","control","ambient","normoxic","MEdarkorange",-0.0793121147157326
"71","H1_Nu_B08","hypoxic","ambient","hypoxic","MEdarkorange",-0.0394528441903353
"72","H2_Nu_B14","hypoxic","ambient","hypoxic","MEdarkorange",0.292963745191778
"73","H3_Nu_B18","hypoxic","ambient","hypoxic","MEdarkorange",-0.10927252767956
"74","H4_Nu_B28","hypoxic","ambient","hypoxic","MEdarkorange",-0.0383207358991332
"75","H5_Nu_B35","hypoxic","ambient","hypoxic","MEdarkorange",-0.0652442061229555
"76","W1_Nu_G02","warm","warm","normoxic","MEdarkorange",-0.102768075591881
"77","W2_Nu_G15","warm","warm","normoxic","MEdarkorange",-0.115272483274949
"78","W4_Nu_G27","warm","warm","normoxic","MEdarkorange",-0.071084093852886
"79","W6_Nu_G41","warm","warm","normoxic","MEdarkorange",-0.0521532531441596
"80","W6_Nu_G45","warm","warm","normoxic","MEdarkorange",-0.00302112524534061
"81","B1_Nu_O03","both","warm","hypoxic","MEpaleturquoise",-0.093488328395249
"82","B4_Nu_O32","both","warm","hypoxic","MEpaleturquoise",-0.087067429521395
"83","B5_Nu_O36","both","warm","hypoxic","MEpaleturquoise",-0.0782444536236711
"84","B6_Nu_O47","both","warm","hypoxic","MEpaleturquoise",-0.0872174108067829
"85","C1_Nu_W01","control","ambient","normoxic","MEpaleturquoise",-0.102553460949236
"86","C1_Nu_W05","control","ambient","normoxic","MEpaleturquoise",0.296456425477317
"87","C2_Nu_W15","control","ambient","normoxic","MEpaleturquoise",-0.11467331652356
"88","C3_Nu_W21","control","ambient","normoxic","MEpaleturquoise",-0.0722688391048426
"89","C4_Nu_W29","control","ambient","normoxic","MEpaleturquoise",0.574664360738039
"90","C6_Nu_W42","control","ambient","normoxic","MEpaleturquoise",-0.105671759362071
"91","H1_Nu_B08","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.0561303268506108
"92","H2_Nu_B14","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.100018237968472
"93","H3_Nu_B18","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.125218819731112
"94","H4_Nu_B28","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.0634764877848942
"95","H5_Nu_B35","hypoxic","ambient","hypoxic","MEpaleturquoise",-0.0229827222896413
"96","W1_Nu_G02","warm","warm","normoxic","MEpaleturquoise",-0.103611740226977
"97","W2_Nu_G15","warm","warm","normoxic","MEpaleturquoise",-0.115822055516936
"98","W4_Nu_G27","warm","warm","normoxic","MEpaleturquoise",-0.104499005049555
"99","W6_Nu_G41","warm","warm","normoxic","MEpaleturquoise",-0.0969000183600665
"100","W6_Nu_G45","warm","warm","normoxic","MEpaleturquoise",0.658723625849716
"101","B1_Nu_O03","both","warm","hypoxic","MEsaddlebrown",-0.0883214029496455
"102","B4_Nu_O32","both","warm","hypoxic","MEsaddlebrown",-0.0101837585381933
"103","B5_Nu_O36","both","warm","hypoxic","MEsaddlebrown",-0.0525172564164397
