"B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
11.1945995459851,11.9204817245867,11.2014967141747,11.3651671189825,11.4721180560396,11.3087726835464,11.6013442232085,11.581621011219,10.9072727541969,11.3260371343071,11.5665049950225,11.8246393813668,10.9230800940388,11.6788822506619,11.1336207403574,11.6410024495733,11.9853211335508,11.3484877143946,11.4651420015578,11.1338240320747,11.6818502044753,11.4439049518073,11.5794150107232
9.14945000833285,14.2308280145407,13.2428908469804,6.32820232467637,7.28285374739931,13.0611926220107,11.2292151038182,11.6377810192068,11.6783642881079,11.3420082918031,11.235194398657,13.6431894104719,10.8631681713083,13.166374649786,11.2149928803033,8.1962682547948,15.5334408253733,13.106933079018,11.566517063022,11.8603819648629,13.436940727273,5.52365481647041,12.3302295012889
5.62858429268982,6.16108071497916,6.29748260636627,5.54798893773577,5.87779266890488,6.21659171807493,8.75505451721038,8.78167261602763,8.11562498918799,5.71264488290365,11.0882872815453,6.5445515414814,5.90035775058767,8.82408199834849,6.07950359229874,8.30100606445165,8.16975989802742,5.80356367311267,8.67042584699738,5.74826767515585,5.79100962269987,5.18773315926378,6.06337238951253
9.83385294447839,10.1091492900553,10.2208498261952,9.90199906087107,10.3287987499075,9.99795292481561,9.66678702018944,10.110005367662,10.0407709201654,10.0033235743925,10.0636535112915,9.70452935626159,9.59031770449892,10.0407583411689,9.74182410354113,9.32640894916419,9.77119091888902,9.21145698824577,10.5363005130634,10.5428562738077,9.58786167767748,10.0661892479334,10.0981975237554
13.5362514423058,13.7621100299319,14.1424259039265,13.2188693262683,13.0784901149431,13.0380122945867,13.8061201866994,13.5922615838822,13.3040634072883,13.4088889547894,13.5483380039124,13.5635926374108,13.5012587240651,13.9261328015336,13.6818409394471,12.870469274589,13.9933376962863,12.9546015604993,13.8888558026253,14.17811341641,13.3278851285607,13.9251359157627,13.5457294573287
8.59191507090678,8.31535570048626,8.19148567871995,8.8475601889829,9.22301107588819,8.32240285752234,7.70488141900391,7.96917006257037,8.19951696668783,7.9952350199157,7.02736700830919,8.3858946291645,7.6138687478916,7.31061383916477,7.98066606259337,8.56334512944232,7.82142331984257,7.57193835059557,7.81500440831133,8.28506116123499,7.90184907630673,7.95520119482612,7.543758465386
6.59866190691181,6.4295908749756,7.35555581982837,6.63699909066529,6.76089273697893,7.14713498944026,6.21398396263741,7.67164098967159,6.94955229366691,7.05054669168268,6.66048454160624,6.5974329955707,7.91670015689468,8.1200453725624,6.43029736618017,7.27126832439887,7.49153029848196,7.69578848010995,6.37627051709848,10.8752081625461,6.48304938376947,5.42553329797011,6.7421527128793
8.69784489019708,9.37994225074529,10.5801388936686,9.33658305369442,9.24599396415816,8.7663950710008,10.1899047159564,8.36693322030445,8.9556836731958,7.43060143259115,7.97743402193502,9.45177527284713,8.8576299066684,9.86451951801867,9.83271530390053,9.96180369644762,9.50679289570024,7.80926528873989,10.3697953024872,11.8765066961978,7.34560486011855,9.343106518095,9.8251077024567
10.7936565558141,10.9978657999801,10.7964202807074,11.4571450781073,10.6692388675989,10.5071459751054,10.9509513251312,11.4421267560971,10.4462161564004,10.279988298454,11.2918863118677,11.0822942769294,12.6196740588304,11.8333686533328,10.6014100596825,10.5168582811483,12.0592298017986,11.7945784292398,11.2759997925879,10.7233550725411,11.4575604928241,8.88274758329503,10.177242952272
8.81865513896588,8.84112027123811,9.71091567683764,8.33766698370045,9.40640135544311,9.21761115064331,9.16723771372369,9.82843365990075,8.76898879784583,8.69088719851233,8.24361570915321,9.30307235840783,9.92312216165124,9.88217280776592,8.8026507523632,9.30995589516581,10.0257583096639,9.29325997611257,8.36873526560597,8.98501683099541,8.78542891610503,10.2038066234105,9.72335150300914
10.5790437192113,10.6297071063896,10.0231260234502,10.5036457450556,10.6776889609168,10.4310701689261,10.6264509600865,10.6801467535117,10.6275076816689,10.110097610093,9.78012369566397,10.4064443288761,11.6620356880346,10.832054154079,10.3960058876271,10.4785648672717,11.2590057954266,11.1027466027881,10.6708741838251,10.3743305501867,10.6759922756448,10.2749346216963,10.4260190355083
10.1829445274344,10.8380144507335,10.7991409184792,11.0974818813277,10.2185396525959,10.2871769988377,10.1951792015858,10.6280361469135,11.6153642806702,10.4121357943364,9.81475516265287,10.784434645955,11.5407003586114,10.6723053242748,9.57020354237721,9.7520098691504,10.0293992854745,10.9206383367285,10.5176813909625,10.7539462971973,10.4041227105122,10.6326076486089,9.63229833140657
13.4466832642223,13.3869022469316,13.2057103655739,14.0971495708432,14.0267760653852,13.4686952215424,13.7947752514768,13.2134909180937,13.6436943992176,13.4851375996093,13.3938135856465,13.5910793050512,14.2267238059715,13.6394713688842,13.465080778345,13.5924959077916,13.9765998044871,13.8307805568985,13.5843038301612,13.3375288944382,13.521426754081,13.5509142334801,13.4368008817545
8.17322774291231,7.63861535358985,7.59001489671363,8.52123235362379,8.25477329333371,7.54044486021134,8.2041677446876,8.14975722010252,8.24528806147798,8.26829208419204,8.25568095801554,8.29199806401402,9.68261376743022,8.01543967288252,8.08818601302724,8.8642617089033,9.12556973639386,8.00713966597118,7.81500440831133,8.24978720029316,8.15171397050665,8.54702515153247,8.61822368411795
10.6086753560279,10.4288500685071,10.6890359210608,11.3942391910602,11.1846652072332,10.4190725652705,10.4280136575826,11.1937115114909,10.8402667045843,10.9019429124498,10.7982313352058,10.4874044278495,10.7050313272751,10.5647766359206,10.6777092820855,10.9002063872438,10.1243776161541,9.96004892490456,9.96653349768355,10.1185784859663,10.5903670445185,10.5792953574389,10.9750507632691
10.5479634198037,11.0496135969082,11.5484256035107,10.7769867941623,10.1833499733918,10.6259089909522,11.2914395244937,10.7937302023689,11.1587582502518,10.8297271727033,11.3767014374575,11.2543143755724,11.2840030533837,10.7329550281334,11.0302894192127,11.3877178217016,10.6597877532531,9.89674124536575,10.9625733113201,10.9975820707451,10.8536610232296,11.5750141513358,10.7614727234076
10.307369335173,9.85221077714913,10.3619141674454,10.4645019961984,9.84589219722913,11.1096608588784,9.70430072002137,9.63625783841194,10.188648806781,10.8780925604,10.2655245737815,10.4459553534105,10.2010270758359,9.85660352137753,10.5852930923122,9.71683380891594,9.84951830648963,9.60992557928605,10.0483168429376,10.7884555245525,9.90299416122215,10.4884715256291,10.0372261202326
7.17281975275387,7.17069125475164,7.098271431345,6.378506699787,7.24051753999312,7.5190268259296,7.1792814051448,7.29963184082555,6.71987852943167,7.16043356427454,6.61858174846084,7.94174599507765,6.83115318025277,7.43851101662207,7.57367441748016,7.32153678186645,8.16975989802742,7.73293057573931,7.50911975187439,7.2328722589488,6.95514585055398,7.11632921135001,6.99950604989037
6.08555290913965,11.6384661553813,10.9283933694114,5.69590534150167,5.78674333166553,9.44450429551875,9.72086760887701,9.01021854719134,8.75335910931488,9.41686410838493,8.87336847301358,10.6810696503394,5.9978502027008,10.7297118523566,9.29803538606661,5.7795441830782,12.6352677146152,8.85122480736039,8.98185854762692,9.36749787188799,10.0168601349707,5.18773315926378,9.32970868805912
9.00454570179968,10.2789654881157,9.25297166621357,7.34852517640606,8.1762613697979,8.74869143250449,8.73697214346293,9.07420048038663,8.24528806147798,8.36106742916693,8.61898184007647,8.42429505214787,8.67291408576103,8.07914237007085,7.82082473234906,10.0017871018396,8.57432465330567,8.09437066130115,8.10976500431216,7.48960220106568,8.00619777923905,7.53788662534524,9.62540375988893
5.56989031458567,6.4295908749756,6.77358610818568,6.42634869064441,6.67831496173041,5.85389336169475,5.996384712503,5.6769370397129,7.81315763360092,7.45477961327951,6.02242909203582,6.68023301080135,5.41514730380885,6.53896396358053,6.71867701309342,5.18773315926378,6.40712692451378,8.20650059389856,7.44889906172016,6.31057481343168,6.94333350744876,5.96778351436278,5.45543526313275
7.00661483706483,5.65330278269295,5.72082930774032,6.90793812488804,6.67831496173041,6.39917980421844,6.90057937447839,6.84951766815147,6.89877624588575,5.99951677162778,5.88894833842778,5.5234032336838,6.0838562055038,6.67063161934936,5.59160447734799,6.90521837714921,5.95392706083998,7.31941478780555,5.91709665886862,6.37266880610613,6.61706385314216,7.37617830411333,7.44944791457888
12.5229256750896,12.5229648683799,12.7572143310432,12.5806041498165,12.6218867564043,12.5141158961277,12.7999680339876,12.7945710748257,12.783833934322,12.7685260146194,12.7915852950692,12.7219346736719,12.9398159070216,12.5284960117535,12.6645621090825,12.8038492300624,12.8719037182797,12.6790905622837,12.2970872119048,12.8272294751371,12.6744782530987,12.8674027921317,12.7587295664788
6.55311305259903,6.2595172091363,7.0298932113249,6.67459741086013,5.78674333166553,6.89292683535905,6.03137061755186,6.26189110394565,6.33108775199958,5.53244653932801,6.20324562469761,6.84348410744262,6.75163406845467,6.38848465173328,6.07950359229874,6.05199461332445,5.66034659626668,6.39337595363196,6.47366563215653,6.60460775562747,7.1199141070186,6.0015950975097,6.722804846637
6.65656840021725,6.0496430746945,7.76684002476631,7.27180010318758,6.71207137380801,6.47045038367293,5.87976294926753,6.5676337780796,6.74380987845469,5.8136680342306,5.64934657221299,7.15861608393099,6.96433079203569,6.24268811571671,7.44735005651606,6.08362668621783,5.18773315926378,6.72886808619228,7.4992706885007,6.78184935266064,7.09916783727767,6.48981224285077,6.17164125453542
6.03263690877637,6.44891228900581,9.62137054995312,8.61753819077865,6.4919371280288,9.13171190432237,7.06030438037248,5.95583931152954,6.3655274509712,6.75464554646375,5.98066780439553,9.94432495575923,6.72386010186791,5.98645576351038,9.30463137800758,6.80485882751732,6.69301748800066,6.90038537581307,6.14522831240822,6.74007633811375,7.2927841584728,6.38971134703671,6.35458611239535
5.18773315926378,5.80165717337801,8.3465876143569,8.60050797398776,5.87779266890488,7.63610281678343,5.6793942998279,7.15919749360047,6.75559009310166,5.38706868958956,5.18773315926378,9.39327817849487,5.41514730380885,6.41516696658704,7.38805750890984,5.53100579904406,5.66034659626668,6.37741299520355,7.43859070385032,7.39286414648286,7.15040581690255,6.17820896589924,5.78296168099184
5.80881217289352,6.57489460700073,6.07608063555995,7.11588413496057,7.04300253521642,6.09634659452854,6.84226859256958,6.60473752789525,6.67044134874395,6.38301669533415,6.02242909203582,7.26138768626104,6.25499909814369,6.06834037432784,6.73349277606978,6.87740102980614,6.19281680676978,7.11897805885025,7.39653223317077,6.60460775562747,7.35420367229052,6.52726620685561,6.53163168342772
10.3383007606859,10.4887385030255,10.6344735240769,10.0163510710344,5.43374024823593,7.20334357734567,10.2264267152503,7.60832623963674,8.58680786867924,8.44519050368356,9.44231886797042,7.92379323618042,5.41514730380885,8.42112598315139,8.06207637417265,10.4722580872489,6.25927365238904,5.39439529402488,8.89753497442618,9.53439064613713,9.73458793500642,9.76043903815861,5.18773315926378
5.50006592860658,5.59136241294776,5.96737958099181,5.69590534150167,5.61280712066961,5.85389336169475,5.18773315926378,5.91726214608513,6.44667389325926,6.16633455122894,5.18773315926378,5.85463494089292,6.2094679348571,5.65277190995699,6.65738794097802,6.17171536012772,5.79608909091164,5.83633891141178,6.82691300032882,6.19687458150915,6.3078001934628,5.76698315013586,6.02375008021274
9.63933873003296,10.5845327359565,8.28894365697547,11.0074646427869,9.69662096896601,8.76345972370123,8.90175361801914,7.93770731449374,9.42101839765541,9.1869592563914,9.02078098911407,11.2091231965267,8.51938116000635,7.02429795220665,11.2483460093512,9.15270112333982,7.62734578462266,9.76732397340788,8.90835203902794,11.2036664219941,9.89460553095972,9.32081793809985,8.3354112556729
7.56493728062731,10.2164459003155,7.34775756074085,8.97489475761851,8.279995852415,7.23948477821568,9.21749536468761,7.42631602890269,8.31125935502552,8.36415992563015,7.3212589840341,7.81738581756875,7.23138291042268,7.43851101662207,11.3204139279787,7.82444934817175,8.79708037226782,7.85788614637268,7.86871459767453,7.39286414648286,7.6590494709652,8.51970953277987,8.26536999865967
5.40880098564054,5.4212743073808,5.49667973194315,6.55769489830619,5.53522080636924,6.32236534354607,6.15746207380896,5.95583931152954,5.18773315926378,5.99951677162778,6.06199238955177,5.5234032336838,5.50901410240968,5.18773315926378,6.32754370386921,5.4307491563737,5.73265855602168,5.60000667454193,5.63732550360528,6.43104078436614,5.51187033968202,5.18773315926378,5.18773315926378
7.6439782988089,7.69478764442429,6.85758165445754,7.29418853586772,6.57039968005482,7.23948477821568,6.92870039011228,7.13615060890085,8.24528806147798,6.97440172059243,8.18799787437331,7.26138768626104,7.66814890252351,7.14112819284876,8.68237979674872,7.28147939072777,7.08148572024066,6.60693837129505,7.46927788783367,7.50505993901827,7.38804445567613,6.83067608496945,7.37114632142892
7.59180396466441,8.01794084314614,8.2369967441284,7.40068969391647,8.1380572882298,8.6407793302627,7.8898955004242,7.54188375744794,7.36093772245944,7.7825426139264,7.27261272879137,8.72635464470495,7.38812059667778,7.39343340162071,7.50409697222587,7.57217546585016,8.49687170281957,8.06589780317414,7.16307498340054,6.74007633811375,7.80739685607851,7.73850434436573,7.80086693284176
5.80881217289352,7.88692372222132,8.81636930590867,8.29044850687816,5.91880180821691,8.66932083093352,8.74423270811672,9.3169066498742,5.18773315926378,8.58925325686571,6.23517928587968,7.30984651434247,8.36331957906929,8.17278051146472,5.75705889100029,9.93910102423732,9.47506110686921,5.73174855262594,5.18773315926378,5.18773315926378,5.18773315926378,5.42553329797011,9.46726659618225
9.33390528802667,7.42113427643597,10.0137793810067,8.48452105047081,9.05956828998928,8.84621926161918,6.68230214162276,7.76860541932309,7.27179330482578,7.03402774784007,7.78067492146194,8.9522920877513,7.52070388489277,7.09858671423249,6.55856407171016,8.94887805742294,9.14925838776754,7.9942181477847,7.02806299675642,8.05869768261459,8.56194242411741,7.53788662534524,7.80086693284176
8.90687132295748,6.71783129305032,8.93803459715728,8.02057394366142,8.48005005706504,8.10585101392603,7.36893797817471,6.62282420484111,7.75559098658796,7.801194762645,8.00646467847407,7.79772045174417,6.92945130238397,10.5291482911877,6.64152491345348,7.5557601204858,7.86383036261982,8.00284586945051,11.0132828939425,8.85138473006666,8.2438982766294,6.97565604214862,7.1587073970405
10.0641994478078,10.4187903424367,10.0880198537714,10.4170462101401,10.5320182589405,9.42243777174743,10.6205849206523,10.5115341618239,10.5122940839355,10.2596110137884,10.3161294459943,9.94577732735429,10.766477423111,10.3908690249184,9.76588687609867,10.5086644242048,10.3375684778349,10.4895483783826,10.2136760930254,10.1507867057334,10.2968822290966,10.0781733821842,10.3939687625301
13.091429426121,11.6907896697145,12.8938839457905,13.0962670131739,12.3134618117797,13.0222475932064,13.378870257211,12.7467465582821,12.0474051114913,12.8444485272357,12.4604878449018,12.1556921414032,12.3813421159486,12.1150989980313,11.9556459244505,12.5549643506625,11.9226561836733,12.6303159303988,11.6527288349789,12.1171695327515,12.37738204002,12.4521754928422,13.0668294490751
7.49531037288662,8.38393681303481,7.48149737951863,7.44097946903928,7.27239930635398,7.83226525106207,7.12119966125279,7.64035490588666,7.5036879637213,7.7825426139264,7.35658458490235,7.97115816202109,7.70099969164264,7.24804882741159,7.28909674262453,7.15323209671066,7.31531712438427,7.03256359786316,8.03842416677637,8.4375913052598,7.71904011304971,8.63323837717645,7.66922392386109
8.04084539956685,8.3414669203972,7.49555490801657,7.74963153736091,7.85010351593364,8.03374582435402,8.16104441680166,7.28935718870593,7.67861983700473,8.79715467556648,6.81404743257203,8.57203146641142,6.79207437665835,7.18228248272762,8.11888453759322,8.25707292664155,7.21059007466789,7.67409880728867,7.84595295131266,8.25424526333393,7.4128641499257,9.02494525678469,7.91325303810711
