"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,-0.000973760089923865,0.0940134082481599,0.98215404095662,0.998296346972277
"LOC144621269",6797.38137233509,-0.00165847779605423,0.124171226342077,0.893775095614372,0.98805584520529
"LOC111120925",191.443047044146,0.053683701985072,0.329310345236165,0.0448300678763404,0.550334545675105
"LOC144621283",932.054004330847,-0.00168975722542407,0.0960776423004787,0.967320878332031,0.997313564555479
"LOC144621276",12350.8891848022,0.0147940640301922,0.0980936367105998,0.703389889491638,0.957846983651353
"LOC111115920",213.338614302169,-0.136264924180794,0.235106830072645,0.0029072354364714,0.206998133275225
"LOC144621308",146.442699012248,0.249108898012545,0.757850820638511,0.00421470822748549,0.238955631680047
"LOC111112629",733.384303107351,0.0182306047406745,0.115371306108376,0.32759236990797,0.848645200623898
"LOC111102827",2230.64879804404,0.00085759680019463,0.1052604223636,0.972701151026915,0.997313564555479
"LOC111102829",563.572280701599,0.0203586554176316,0.104887197801037,0.465597596971563,0.897213816398811
"LOC111103567",1513.49770390369,0.0176489226607397,0.0988647416043077,0.641180195883004,0.947422069759727
"LOC111103568",1470.36526034892,-0.0114032635944883,0.1038439130458,0.69080683188577,0.955452780982857
"LOC111103866",12610.8072525661,-0.0314898042771893,0.0923139285166179,0.49159446784171,0.905214548068759
"LOC111102774",260.517657240637,0.0198332017431096,0.103478680897772,0.512435065268282,0.910926677671699
"LOC111102932",1567.29305772311,-0.0904809446975508,0.106143349975846,0.0299633941761397,0.489529325242736
"LOC111102934",1963.20810649898,0.00324401499499661,0.0998448454825968,0.927991732193396,0.991877681221585
"LOC111102931",1137.58795397586,0.00113397913628393,0.100807445551969,0.97356520297607,0.997752366251334
"LOC111104503",92.7991692457294,0.0276088849547964,0.106208511894798,0.315796813524575,0.845673974438714
"LOC111104592",923.922087565474,-0.0107496244591019,0.141339978593559,0.419590640427541,0.88230363146545
"LOC111102912",359.677655604557,-0.037953974728349,0.1292276756715,0.0949195672290875,0.659470915468507
"LOC144621350",45.1656633935124,0.0170038495836218,0.149055777488711,0.254944751678881,0.810223757682818
"LOC144621354",39.2553750228974,0.0161017799189668,0.12492797059033,0.314753663999538,0.84490377638481
"LOC111103115",6613.72050902916,0.0450015550048616,0.075103234847495,0.386790009921027,0.870366528311449
"LOC111103117",3.803037884052,-1.05440892834874e-05,0.135576127402228,0.999287342251305,NA
"LOC111102741",30.3088553431862,0.00341388441755868,0.110342662418637,0.842427397549243,0.980486870364097
"LOC111102740",47.5086408026678,-0.00550140413745686,0.113501303586053,0.721903732836024,0.960750479978288
"LOC111102739",13.3895019912355,-0.00760128129005833,0.147372173044873,0.54340545273073,0.919519174712035
"LOC144621380",10.792495742979,-0.111716782340801,0.624279543242451,0.0203067434176751,0.437242444431029
"LOC144621402",14.1205596258288,-0.0254665830923646,0.199191353984923,0.139016584608821,0.714396624407043
"LOC144621377",159.19004421986,-0.0687883397171477,0.352658621515792,0.0275073033369173,0.483383885999838
"LOC144621385",84.099095964078,-0.00959103341920646,0.14697192585353,0.458240910552206,0.89430209804691
