"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111121183",21.4604169355867,15.2117404280548,3.15686451916592,5.16694191672931,2.37955169734607e-07,0.00028441591662529,0.000533531403371087,"C vs. H","H"
"LOC111120021",13.2616055762802,18.0859112383841,3.19944607898151,5.81981223244833,5.89137728319413e-09,1.31444482357772e-05,3.2695011728013e-05,"C vs. H","H"
"LOC111119724",15.1320911867311,21.128405203268,3.94285903806633,5.61910499142672,1.91949191530017e-08,3.38103346996583e-05,0.000103128579448027,"C vs. H","H"
"LOC111119726",13.8432650309648,21.1474790754016,3.94236218936912,5.62402895282375,1.86554362161577e-08,3.38103346996583e-05,9.4257727490111e-05,"C vs. H","H"
"LOC111125414",1018.2236193813,6.49495744453837,1.94557458116391,4.70479857626587,2.54116716775727e-06,0.00274339489043008,0.00286271191829508,"C vs. H","H"
"LOC111123780",1160.93596613108,7.69232155901547,1.40932175660785,5.57809187133157,2.4317122388416e-08,4.06910567486559e-05,0.00013170819138839,"C vs. H","H"
"LOC111126999",3161.49179156774,2.51924962230879,1.24928990898486,4.50591825878417,6.60865257700945e-06,0.0065050522292581,0.0148831858573569,"C vs. H","H"
"LOC111131598",80.8249190547121,3.42677019268544,3.0303623243465,4.05419314886028,5.03076379097989e-05,0.0350759524568175,0.0481608748103076,"C vs. H","H"
"LOC111138278",7.64662499477389,-5.7504690209363,2.17256451841958,-4.54255681781133,5.55760105583443e-06,0.00563624953138214,0.00690540728777522,"C vs. H","C"
"LOC111133380",85.0729223627539,6.65902256798047,3.42280881013905,4.31392886483963,1.60378569636262e-05,0.0130911941219921,0.0166667135233202,"C vs. H","H"
"LOC111138436",18.837971936664,3.65961700043628,2.33332115689775,4.26782006421853,1.97392441893528e-05,0.0153630996577923,0.0324473344872578,"C vs. H","H"
"LOC111134035",629.890146628202,5.14020232012127,0.92851753712706,5.63015741600811,1.80045221490283e-08,3.38103346996583e-05,0.000140825838291073,"C vs. H","H"
"LOC111134915",1750.80047630355,-11.3177921464942,2.09037770228821,-5.54414839203269,2.95388252476473e-08,4.70750411696672e-05,0.000122252944794432,"C vs. H","C"
"LOC111132972",21.6716607387441,12.6704904556326,7.28838130517436,4.21156469959392,2.53607893340641e-05,0.0192897621964346,0.0276258764387243,"C vs. H","H"
"LOC111132199",30.8851566187796,-16.0247193571239,2.71763201492538,-6.01926183783027,1.75214246839598e-09,6.84598388717922e-06,3.57280966763383e-06,"C vs. H","C"
"LOC111100048",8.57056106812763,-21.2935198415138,2.89724097358125,-7.51218791539972,5.81472391087568e-14,6.48671217084254e-10,4.4009927044881e-10,"C vs. H","C"
"LOC111100009",119.457077517667,22.3779460660374,3.5896788482703,6.45010965208562,1.11769253982504e-10,6.23430270505409e-07,6.87429970449615e-07,"C vs. H","H"
"LOC111101825",176.474647890765,22.485882160915,3.92200739157872,5.97863495474417,2.25015157495358e-09,6.84598388717922e-06,1.52890830761654e-05,"C vs. H","H"
"LOC111102389",79.9582190717089,6.26029124483874,3.38670190660524,4.28897935227528,1.79496056914061e-05,0.0143028441351021,0.02377338757167,"C vs. H","H"
"LOC111105273",163.672730914522,-4.8991149955562,2.55679790261911,-4.34977306152299,1.36278491343157e-05,0.0116944417173883,0.0201923502298233,"C vs. H","C"
"LOC111104227",80.9338565469443,22.4966600117414,3.92205577939775,5.9813467727568,2.21300175096055e-09,6.84598388717922e-06,1.28958676959627e-05,"C vs. H","H"
"LOC111105438",26.2842467135852,2.35857779112962,2.10995616728705,4.11750624974389,3.82994146447199e-05,0.0284837002203298,0.0518855909171418,"C vs. H","H"
"LOC111102795",228.896724764375,-6.1463818333907,0.909030553719453,-6.81426458120238,9.47471896702881e-12,6.34180839339106e-08,8.39684529455019e-08,"C vs. H","C"
"LOC111104307",69.1589008377089,1.83357638167414,2.15831842815675,3.9594856360849,7.51113616644328e-05,0.0483413834773764,0.108336692581189,"C vs. H","H"
"LOC111104391",1524.43744025258,-25.8803935025889,3.23640992541546,-8.21905320672443,2.05116033246509e-16,3.43230914233046e-12,4.74938623133078e-12,"C vs. H","C"
"LOC111108483",22.4190030480332,20.6802124818353,3.96050779157923,5.50207043515111,3.7535693012844e-08,5.46176973069934e-05,0.000195717393414651,"C vs. H","H"
"LOC111106759",78.8235614091384,6.70478498085725,2.78233045810268,4.45582146578507,8.35725616683404e-06,0.0079912083467267,0.0100626082825004,"C vs. H","H"
"LOC111110229",48.2216070534343,-22.5194169647106,3.92196727994914,-5.98733390302405,2.13308591354488e-09,6.84598388717922e-06,1.02998824397021e-05,"C vs. H","C"
"LOC111108713",273.713857763961,-3.45648038492423,1.75710418599275,-4.42734303928911,9.54009466557717e-06,0.00876540104982551,0.0184121478834601,"C vs. H","C"
"LOC111105823",110.107250536901,-21.6357084251482,3.93096522284765,-5.75312729480939,8.76074665987143e-09,1.83247442791198e-05,5.45872328880186e-05,"C vs. H","C"
"LOC111107745",40.02215850865,-20.7163358656594,3.95937946724317,-5.5108089718075,3.57188213856481e-08,5.43364452415221e-05,0.000182896619791882,"C vs. H","C"
"LOC111105776",18.8493118393968,-20.8772450723642,2.95812037435429,-7.22070519659243,5.17186643177002e-13,4.32717134680118e-09,2.98632680369831e-09,"C vs. H","C"
"LOC111105743",516.730964751397,23.7575542320491,2.38811070352884,10.0960898716634,5.74888826397836e-24,1.92398043530564e-19,2.4258146691897e-19,"C vs. H","H"
"LOC111106330",26.9062047384017,-3.11449845715366,3.14332249132868,-3.97472871857243,7.04595222343158e-05,0.0462366437375656,0.0716458868817462,"C vs. H","C"
"LOC111109206",41.0712290586568,6.41454675572515,2.81490895077483,4.42396137535934,9.6907353166864e-06,0.00876540104982551,0.0113831763769323,"C vs. H","H"
